elmore leonard has quickly become one of hollywood's favorite authors . 	Translation	Positive	Negative	EmotionRationale
out of four film adaptations in as many years , the witty and inventive out of sight gives get shorty a run for its money as the best leonard adaptation around . 	out of four film adaptations in as many years , the witty and inventive out of sight gives get shorty a run for its money as the best leonard adaptation around .	2	-1	 out[0] of[0] four[0] film[0] adaptations[0] in[0] as[0] many[0] years[0] the[0] witty[0] and[0] inventive[0] out[0] of[0] sight[0] gives[0] get[0] shorty[0] a[0] run[0] for[0] its[0] money[0] as[0] the[0] best[1] leonard[0] adaptation[0] around[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
george clooney stars as jack foley , a nice bank robber . . . you 	george clooney stars as jack foley , a nice bank robber .<br> .<br> .<br> you	2	-2	 george[0] clooney[0] stars[0] as[0] jack[0] foley[0] a[0] nice[1] bank[0] robber[-1] [[Sentence=-2,2=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
know the type , he uses his charm and his wits rather than a gun . 	know the type , he uses his charm and his wits rather than a gun .	2	-2	 know[0] the[0] type[0] he[0] uses[0] his[0] charm[1] and[0] his[0] wits[0] rather[0] than[0] a[0] gun[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but even charming guys end up unlucky , and jack ends up in jail . 	but even charming guys end up unlucky , and jack ends up in jail .	2	-2	 but[0] even[0] charming[1] guys[0] end[0] up[0] unlucky[-1] and[0] jack[0] ends[0] up[0] in[0] jail[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but not for long . 	but not for long .	1	-1	 but[0] not[0] for[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he plots an escape with the help of his best friend , and fellow robber , buddy bragg ( ving rhames ) , and their slow-witted pothead associate , glenn michaels ( steve zahn ) . 	he plots an escape with the help of his best friend , and fellow robber , buddy brag ( ving rhames ) , and their slow-witted pothead associate , glen michaels ( steve zahn ) .	2	-2	 he[0] plots[0] an[0] escape[0] with[0] the[0] help[0] of[0] his[0] best[1] friend[1] and[0] fellow[0] robber[-1] buddy[0] bragg/brag[-1] ving[0] rhames[0] and[0] their[0] slow[0] witted[0] pothead[0] associate[0] glenn/glen[0] michaels[0] steve[0] zahn[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but jack didn't count on u . s . marshal karen sisco ( jennifer lopez ) . 	but jack didn't count on you .<br> s .<br> marshal karen sisco ( jennifer lopez ) .	1	-1	 but[0] jack[0] didn't[0] count[0] on[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] marshal[0] karen[0] sisco[0] jennifer[0] lopez[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
appearing at the right place at the wrong time , karen gets involved in foley's escape attempt and the subsequent manhunt to bring him in . 	appearing at the right place at the wrong time , karen gets involved in foley's escape attempt and the subsequent manhunt to bring him in .	1	-2	 appearing[0] at[0] the[0] right[0] place[0] at[0] the[0] wrong[-1] time[0] karen[0] gets[0] involved[0] in[0] foley's[0] escape[0] attempt[0] and[0] the[0] subsequent[0] manhunt[0] to[0] bring[0] him[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , karen develops a rapport with jack foley , and finds that she begrudgingly likes the guy . 	however , karen develops a rapport with jack foley , and finds that she begrudgingly likes the guy .	3	-1	 however[0] karen[0] develops[0] a[0] rapport[0] with[0] jack[0] foley[0] and[0] finds[0] that[0] she[0] begrudgingly[0] likes[2] the[0] guy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but , can love prosper on opposite sides of the law ? 	but , can love prosper on opposite sides of the law ?	3	-1	 but[0] can[0] love[2] prosper[0] on[0] opposite[0] sides[0] of[0] the[0] law[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
or can karen straighten out jack before he goes too far in pursuit of just one last crime . 	or can karen straighten out jack before he goes too far in pursuit of just one last crime .	1	-2	 or[0] can[0] karen[0] straighten[0] out[0] jack[0] before[0] he[0] goes[0] too[0] far[0] in[0] pursuit[0] of[0] just[0] one[0] last[0] crime[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
clooney , who has had a string of solid , but never stellar , film roles , delivers his best performance to date . 	clooney , who has had a string of solid , but never stellar , film roles , delivers his best performance to date .	2	-1	 clooney[0] who[0] has[0] had[0] a[0] string[0] of[0] solid[0] but[0] never[0] stellar[0] film[0] roles[0] delivers[0] his[0] best[1] performance[0] to[0] date[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
