with the opening scene of a young couple in a van pulling up , loading their guns , kissing each other and uttering what sounds like " rock and roll ! " 	Translation	Positive	Negative	EmotionRationale
 ( actually , it's " lock and load " ) , you can't help thinking tarantino . 	 ( actually , it's " lock and load " ) , you can't help thinking tarantino .	1	-1	 actually[0] it's[0] lock[0] and[0] load[0] you[0] can't[0] help[0] thinking[0] tarantino[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and of course with its storyline of a crazy girl and boy in love who turn to violent bank robbery , the film unapologetically takes its place alongside all those other films from bonnie & clyde to natural born killers . 	and of course with its storyline of a crazy girl and boy in love who turn to violent bank robbery , the film unapologetically takes its place alongside all those other films from bonnie & clyde to natural born killers .	3	-3	 and[0] of[0] course[0] with[0] its[0] storyline[0] of[0] a[0] crazy[-1] girl[0] and[0] boy[0] in[0] love[2] who[0] turn[0] to[0] violent[-2] bank[0] robbery[-1] the[0] film[0] unapologetically[0] takes[0] its[0] place[0] alongside[0] all[0] those[0] other[0] films[0] from[0] bonnie[0] &[0] clyde[0] to[0] natural[0] born[0] killers[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but if most of those movies have their roots in pulp fiction , exploring a modern myth of the doomed rebels on the run , normal life takes a much more psychologically realistic look at the phenomenon . 	but if most of those movies have their roots in pulp fiction , exploring a modern myth of the doomed rebels on the run , normal life takes a much more psychologically realistic look at the phenomenon .	1	-2	 but[0] if[0] most[0] of[0] those[0] movies[0] have[0] their[0] roots[0] in[0] pulp[0] fiction[0] exploring[0] a[0] modern[0] myth[0] of[0] the[0] doomed[-1] rebels[-1] on[0] the[0] run[0] normal[0] life[0] takes[0] a[0] much[0] more[0] psychologically[0] realistic[0] look[0] at[0] the[0] phenomenon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " inspired by true events " -- we've heard that one before , and yet in no other tale of violent couples has it seemed so solidly demonstrated . . . 	 " inspired by true events " - we've heard that one before , and yet in no other tale of violent couples has it seemed so solidly demonstrated .<br> .<br> .	3	-3	 inspired[2] by[0] true[1] events[0] we've[0] heard[0] that[0] one[0] before[0] and[0] yet[0] in[0] no[0] other[0] tale[0] of[0] violent[-2] couples[0] has[0] it[0] seemed[0] so[0] solidly[0] demonstrated[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
or so strangely poignant . 	or so strangely poignant .	1	-1	 or[0] so[0] strangely[0] poignant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for this is a story of real people whose lives take on a steadily unreal quality , who in their search for a normal life find themselves increasingly unhinged . 	for this is a story of real people whose lives take on a steadily unreal quality , who in their search for a normal life find themselves increasingly unhinged .	1	-1	 for[0] this[0] is[0] a[0] story[0] of[0] real[0] people[0] whose[0] lives[0] take[0] on[0] a[0] steadily[0] unreal[0] quality[0] who[0] in[0] their[0] search[0] for[0] a[0] normal[0] life[0] find[0] themselves[0] increasingly[0] unhinged[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beginning with their final arrest , the film goes back to trace the relationship between chris ( luke perry ) , a policeman , and pam ( ashley judd ) , a factory worker . 	beginning with their final arrest , the film goes back to trace the relationship between chris ( luke perry ) , a policeman , and pam ( ashley judd ) , a factory worker .	1	-1	 beginning[0] with[0] their[0] final[0] arrest[0] the[0] film[0] goes[0] back[0] to[0] trace[0] the[0] relationship[0] between[0] chris[0] luke[0] perry[0] a[0] policeman[0] and[0] pam[0] ashley[0] judd[0] a[0] factory[0] worker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they fall in love and marry , but pam's increasingly erratic behaviour ( going on spending sprees , slashing herself with a knife after an argument ) begin to trouble the solid and stable chris . 	they fall in love and marry , but pam's increasingly erratic behaviour ( going on spending sprees , slashing herself with a knife after an argument ) begin to trouble the solid and stable chris .	3	-2	 they[0] fall[0] in[0] love[2] and[0] marry[0] but[0] pam's[0] increasingly[0] erratic[0] behaviour[0] going[0] on[0] spending[0] sprees[0] slashing[-1] herself[0] with[0] a[0] knife[-1] after[0] an[0] argument[-1] begin[0] to[0] trouble[-1] the[0] solid[0] and[0] stable[-1] chris[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when chris gets sacked , they find themselves heavily in debt and near breaking up . 	when chris gets sacked , they find themselves heavily in debt and near breaking up .	1	-1	 when[0] chris[0] gets[0] sacked[0] they[0] find[0] themselves[0] heavily[0] in[0] debt[0] and[0] near[0] breaking[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then , chris begins to rob banks . . . 	then , chris begins to rob banks .<br> .<br> .	1	-1	 then[0] chris[0] begins[0] to[0] rob[0] banks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luke perry accomplishes the not-inconsiderable feat of making us nearly forget that he was ever in beverly hills 90210 or buffy the vampire slayer . 	luke perry accomplishes the not-inconsiderable feat of making us nearly forget that he was ever in beverly hills 90210 or buffy the vampire slayer .	2	-2	 luke[0] perry[0] accomplishes[1] the[0] not[0] inconsiderable[0] feat[0] of[0] making[0] us[0] nearly[0] forget[0] that[0] he[0] was[0] ever[0] in[0] beverly[0] hills[0] 90210[0] or[0] buffy[0] the[0] vampire[0] slayer[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
