in present day hanoi , three sisters reflect on their parents' relationship while trying to define their own in writer/director tran anh hung's ( " the scent of green papaya " ) " the vertical ray of the sun . " 	Translation	Positive	Negative	EmotionRationale
youngest sister lien ( tran nu yen-khe ) greets the day with hai ( ngo quanq hai ) , the only brother whom she rooms and relentlessly flirts with . 	youngest sister lien ( tran nu yen-khe ) greets the day with hai ( ngo quanq hai ) , the only brother whom she rooms and relentlessly flirts with .	2	-1	 youngest[0] sister[0] lien[0] tran[0] nu[0] yen[0] khe[0] greets[0] the[0] day[0] with[0] hai[0] ngo[0] quanq[0] hai[0] the[0] only[0] brother[0] whom[0] she[0] rooms[0] and[0] relentlessly[0] flirts[1] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their morning ritual of tai chi and lou reed precedes crossing the street to eldest sister suong's ( nguyen nhu quynh ) cafe , where lien works , for breakfast . 	their morning ritual of tai chi and lou reed precedes crossing the street to eldest sister suong's ( nguyen nhu quynh ) cafe , where lien works , for breakfast .	1	-1	 their[0] morning[0] ritual[0] of[0] tai[0] chi[0] and[0] lou[0] reed[0] precedes[0] crossing[0] the[0] street[0] to[0] eldest[0] sister[0] suong's[0] nguyen[0] nhu[0] quynh[0] cafe[0] where[0] lien[0] works[0] for[0] breakfast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the three sisters lovingly prepare their mother's memorial banquet of traditional delicacies , prepared as much for look as taste , while giggling over the differences between the sexes . 	the three sisters lovingly prepare their mother's memorial banquet of traditional delicacies , prepared as much for look as taste , while giggling over the differences between the sexes .	4	-1	 the[0] three[0] sisters[0] lovingly[3] prepare[0] their[0] mother's[0] memorial[0] banquet[0] of[0] traditional[0] delicacies[0] prepared[0] as[0] much[0] for[0] look[0] as[0] taste[0] while[0] giggling[2] over[0] the[0] differences[0] between[0] the[0] sexes[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
after the family breaks from the banquet , we learn that suong's young son 'little monkey' is doted upon , but there's a distance developing with her husband quoc ( chu ngoc hung ) , who's leaving for one of his habitual botanical photography trips . 	after the family breaks from the banquet , we learn that suong's young son 'little monkey' is doted upon , but there's a distance developing with her husband quoc ( chu ngoc hung ) , who's leaving for one of his habitual botanical photography trips .	1	-1	 after[0] the[0] family[0] breaks[0] from[0] the[0] banquet[0] we[0] learn[0] that[0] suong's[0] young[0] son[0] 'little[0] monkey'[0] is[0] doted[0] upon[0] but[0] there's[0] a[0] distance[0] developing[0] with[0] her[0] husband[0] quoc[0] chu[0] ngoc[0] hung[0] who's[0] leaving[0] for[0] one[0] of[0] his[0] habitual[0] botanical[0] photography[0] trips[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
middle sister khanh ( tran manh cuong ) tells her writer husband she's pregnant before he leaves on a trip to saigon to research tuan , a mysterious man in his mother-in-law's past . 	middle sister khanh ( tran manh cuong ) tells her writer husband she's pregnant before he leaves on a trip to saigon to research tuan , a mysterious man in his mother-in-law's past .	1	-1	 middle[0] sister[0] khanh[0] tran[0] manh[0] cuong[0] tells[0] her[0] writer[0] husband[0] she's[0] pregnant[0] before[0] he[0] leaves[0] on[0] a[0] trip[0] to[0] saigon[0] to[0] research[0] tuan[0] a[0] mysterious[0] man[0] in[0] his[0] mother[0] in[0] law's[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lien keeps crawling into hai's bed at night , causing him to fall out of it . 	lien keeps crawling into hai's bed at night , causing him to fall out of it .	1	-1	 lien[0] keeps[0] crawling[0] into[0] hai's[0] bed[0] at[0] night[0] causing[0] him[0] to[0] fall[0] out[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the initial serenity we witnessed starts turning into a soap opera before coming to full circle one month later , as the three women prepare their father's memorial banquet . 	the initial serenity we witnessed starts turning into a soap opera before coming to full circle one month later , as the three women prepare their father's memorial banquet .	1	-1	 the[0] initial[0] serenity[0] we[0] witnessed[0] starts[0] turning[0] into[0] a[0] soap[0] opera[0] before[0] coming[0] to[0] full[0] circle[0] one[0] month[0] later[0] as[0] the[0] three[0] women[0] prepare[0] their[0] father's[0] memorial[0] banquet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the vertical ray of the sun " is a contemplative piece where strong passions exist underneath calm exteriors . 	 " the vertical ray of the sun " is a contemplative piece where strong passions exist underneath calm exteriors .	3	-1	 the[0] vertical[0] ray[0] of[0] the[0] sun[0] is[0] a[0] contemplative[0] piece[0] where[0] strong[0] passions[2] exist[0] underneath[0] calm[1] exteriors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sly humor , self deceit and harsh truths all exist in the cyclic screenplay . 	sly humor , self deceit and harsh truths all exist in the cyclic screenplay .	3	-2	 sly[-1] humor[2] self[0] deceit[-1] and[0] harsh[-1] truths[1] all[0] exist[0] in[0] the[0] cyclic[0] screenplay[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
tran anh hung and his cinematographer mark lee ping-bin ( " flowers of shanghai " ) linger over and repeat the small gestures of everyday life - a wife washes her husbands hands , a woman makes water dance in a bowl , a man pulls his lover to face him before they part . 	tran anh hung and his cinematographer mark lee ping-bin ( " flowers of shanghai " ) linger over and repeat the small gestures of everyday life - a wife washes her husbands hands , a woman makes water dance in a bowl , a man pulls his lover to face him before they part .	4	-1	 tran[0] anh[0] hung[0] and[0] his[0] cinematographer[0] mark[0] lee[0] ping[0] bin[0] flowers[0] of[0] shanghai[0] linger[0] over[0] and[0] repeat[0] the[0] small[0] gestures[0] of[0] everyday[0] life[0] a[0] wife[0] washes[0] her[0] husbands[0] hands[0] a[0] woman[0] makes[0] water[0] dance[0] in[0] a[0] bowl[0] a[0] man[0] pulls[0] his[0] lover[3] to[0] face[0] him[0] before[0] they[0] part[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
small spaces such as rooms , alleys and courtyards create intimacy . 	small spaces such as rooms , alleys and courtyards create intimacy .	1	-1	 small[0] spaces[0] such[0] as[0] rooms[0] alleys[0] and[0] courtyards[0] create[0] intimacy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the color green , symbolizing life and tranquility , is used heavily in the film's visual styling , lapsing into yellowish hues and blues . 	the color green , symbolizing life and tranquility , is used heavily in the film's visual styling , lapsing into yellowish hues and blues .	2	-1	 the[0] color[0] green[0] symbolizing[0] life[0] and[0] tranquility[1] is[0] used[0] heavily[0] in[0] the[0] film's[0] visual[0] styling[0] lapsing[0] into[0] yellowish[0] hues[0] and[0] blues[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
writer/director tran anh hung's film recalls ang lee's " eat drink man woman , " another tale of three sisters of varying modernity coming together traditionally for a parent . 	writer/director tran anh hung's film recalls ang lee's " eat drink man woman , " another tale of three sisters of varying modernity coming together traditionally for a parent .	1	-1	 writer/director[0] tran[0] anh[0] hung's[0] film[0] recalls[0] ang[0] lee's[0] eat[0] drink[0] man[0] woman[0] another[0] tale[0] of[0] three[0] sisters[0] of[0] varying[0] modernity[0] coming[0] together[0] traditionally[0] for[0] a[0] parent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but while lee's more traditionally story-driven film resulted in radical changes for all concerned , " the vertical ray of the sun's " characters strive for peaceful harmony . 	but while lee's more traditionally story-driven film resulted in radical changes for all concerned , " the vertical ray of the sun's " characters strive for peaceful harmony .	2	-2	 but[0] while[0] lee's[0] more[0] traditionally[0] story[0] driven[0] film[0] resulted[0] in[0] radical[-1] changes[0] for[0] all[0] concerned[-1] the[0] vertical[0] ray[0] of[0] the[0] sun's[0] characters[0] strive[0] for[0] peaceful[0] harmony[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
watching it is like trailing your fingertips in a stream on a cool spring day . 	watching it is like trailing your fingertips in a stream on a cool spring day .	2	-1	 watching[0] it[0] is[0] like[1] trailing[0] your[0] fingertips[0] in[0] a[0] stream[0] on[0] a[0] cool[1] spring[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
