now that " boogie nights " has made disco respectable again ( well , fashionable at least ) , we shouldn't be surprised to see more films glorifying that dubious era . 	Translation	Positive	Negative	EmotionRationale
the latest art house interpretation is whit stillman's " the last days of disco . " 	the latest art house interpretation is whit stillman's " the last days of disco .<br> "	1	-1	 the[0] latest[0] art[0] house[0] interpretation[0] is[0] whit[0] stillman's[0] the[0] last[0] days[0] of[0] disco[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stillman , who made " metropolitan " and " barcelona " using some of the same actors , uses disco's final hours to highlight what is another conversation-heavy movie that benefits from typically astute writing from the director . 	stillman , who made " metropolitan " and " barcelona " using some of the same actors , uses disco's final hours to highlight what is another conversation-heavy movie that benefits from typically astute writing from the director .	1	-1	 stillman[0] who[0] made[0] metropolitan[0] and[0] barcelona[0] using[0] some[0] of[0] the[0] same[0] actors[0] uses[0] disco's[0] final[0] hours[0] to[0] highlight[0] what[0] is[0] another[0] conversation[0] heavy[0] movie[0] that[0] benefits[0] from[0] typically[0] astute[0] writing[0] from[0] the[0] director[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the young , upwardly-mobile professional ( don't call them yuppies ! ) 	the young , upwardly-mobile professional ( don't call them yuppies !<br> )	1	-1	 the[0] young[0] upwardly[0] mobile[0] professional[0] don't[0] call[0] them[0] yuppies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
men and women of " the last days of disco " frequent a prestigious new york city nightclub pulsating to the bass-pounding rhythms of earth wind and fire , amy grant , and andrea true connection . 	men and women of " the last days of disco " frequent a prestigious new york city nightclub pulsating to the bass-pounding rhythms of earth wind and fire , amy grant , and andrea true connection .	2	-1	 men[0] and[0] women[0] of[0] the[0] last[0] days[0] of[0] disco[0] frequent[0] a[0] prestigious[0] new[0] york[0] city[0] nightclub[0] pulsating[0] to[0] the[0] bass[0] pounding[0] rhythms[0] of[0] earth[0] wind[0] and[0] fire[0] amy[0] grant[0] and[0] andrea[0] true[1] connection[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here they talk and talk and talk , intellectualizing about such things as dating , success , and being liked , accepted , and admired . 	here they talk and talk and talk , intellectualizing about such things as dating , success , and being liked , accepted , and admired .	3	-1	 here[0] they[0] talk[0] and[0] talk[0] and[0] talk[0] intellectualizing[0] about[0] such[0] things[0] as[0] dating[0] success[2] and[0] being[0] liked[2] accepted[0] and[0] admired[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if talk is cheap , " the last days of disco " must surely have been an extremely inexpensive movie to shoot . 	if talk is cheap , " the last days of disco " must surely have been an extremely inexpensive movie to shoot .	1	-2	 if[0] talk[0] is[0] cheap[-1] the[0] last[0] days[0] of[0] disco[0] must[0] surely[0] have[0] been[0] an[0] extremely[0] inexpensive[0] movie[0] to[0] shoot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what makes the film so entertaining is that this preppie , harvard-educated jet set actually have something to say and say it with wit , perception , and style ( including , at one point , a riotously inventive deconstruction of " the lady and the tramp " ) . 	what makes the film so entertaining is that this preppie , harvard-educated jet set actually have something to say and say it with wit , perception , and style ( including , at one point , a riotously inventive deconstruction of " the lady and the tramp " ) .	1	-2	 what[0] makes[0] the[0] film[0] so[0] entertaining[0] is[0] that[0] this[0] preppie[0] harvard[0] educated[0] jet[0] set[0] actually[0] have[0] something[0] to[0] say[0] and[0] say[0] it[0] with[0] wit[0] perception[0] and[0] style[0] including[0] at[0] one[0] point[0] a[0] riotously[0] inventive[0] deconstruction[0] of[0] the[0] lady[0] and[0] the[0] tramp[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
na ? ve alice ( chlo ? sevigny ) and sophisticated charlotte ( kate beckinsale ) are recent college graduates who work as assistant editors for a new york publishing house . 	na ?<br> ve alice ( chlo ?<br> sevigny ) and sophisticated charlotte ( kate beckinsale ) are recent college graduates who work as assistant editors for a new york publishing house .	1	-1	 na[0] [[Sentence=-1,1=word max, 1-5]] ve[0] alice[0] chlo[0] [[Sentence=-1,1=word max, 1-5]] sevigny[0] and[0] sophisticated[0] charlotte[0] kate[0] beckinsale[0] are[0] recent[0] college[0] graduates[0] who[0] work[0] as[0] assistant[0] editors[0] for[0] a[0] new[0] york[0] publishing[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
charlotte is confident and outspoken--perhaps a little too outspoken ; alice is shy and introverted , " like a kindergarten teacher . " 	charlotte is confident and outspoken-perhaps a little too outspoken ; alice is shy and introverted , " like a kindergarten teacher .<br> "	2	-3	 charlotte[0] is[0] confident[1] and[0] outspoken[0] perhaps[0] a[0] little[0] too[0] outspoken[0] alice[0] is[0] shy[-2] and[0] introverted[0] like[1] a[0] kindergarten[0] teacher[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the two friends often doll themselves up and head out to the nameless nightspot , looking good and looking for excitement ( and that ms . beckinsale sure looks good on a dancefloor ! ) . 	the two friends often doll themselves up and head out to the nameless nightspot , looking good and looking for excitement ( and that ms .<br> beckinsale sure looks good on a dancefloor !<br> ) .	3	-1	 the[0] two[0] friends[1] often[0] doll[0] themselves[0] up[0] and[0] head[0] out[0] to[0] the[0] nameless[0] nightspot[0] looking[0] good[1] and[0] looking[0] for[0] excitement[2] and[0] that[0] ms[0] [[Sentence=-1,3=word max, 1-5]] beckinsale[0] sure[0] looks[0] good[1] on[0] a[0] dancefloor[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
