vannesa kensington : `austin , do you smoke after sex ? ' austin powers : `i don't know baby , i've never looked ! ' 	Translation	Positive	Negative	EmotionRationale
and so begins our journey into the most anticipated sequel of the summer season . 	and so begins our journey into the most anticipated sequel of the summer season .	1	-1	 and[0] so[0] begins[0] our[0] journey[0] into[0] the[0] most[0] anticipated[0] sequel[0] of[0] the[0] summer[0] season[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
austin powers 2 , the sequel to the sleeper hit of 1997 , is filled to the brim with uproarious sight gags and lurid toilet jokes that will make you keel over with hilarity . 	austin powers 2 , the sequel to the sleeper hit of 1997 , is filled to the brim with uproarious sight gags and lurid toilet jokes that will make you keel over with hilarity .	3	-1	 austin[0] powers[0] 2[0] the[0] sequel[0] to[0] the[0] sleeper[0] hit[0] of[0] 1997[0] is[0] filled[0] to[0] the[0] brim[0] with[0] uproarious[0] sight[0] gags[0] and[0] lurid[0] toilet[0] jokes[1] that[0] will[0] make[0] you[0] keel[0] over[0] with[0] hilarity[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the mind of mike myers is obviously a very bizarre place . 	the mind of mike myers is obviously a very bizarre place .	1	-3	 the[0] mind[0] of[0] mike[0] myers[0] is[0] obviously[0] a[0] very[0] bizarre[-1][-1 LastWordBoosterStrength] place[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
myers returns as the swinging 60's spy and his arch-nemesis , the bald headed dr . evil , who is given much of the spotlight here . 	myers returns as the swinging 60's spy and his arch-nemesis , the bald headed dr .<br> evil , who is given much of the spotlight here .	1	-3	 myers[0] returns[0] as[0] the[0] swinging[0] 60's[0] spy[0] and[0] his[0] arch[0] nemesis[0] the[0] bald[0] headed[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] who[0] is[0] given[0] much[0] of[0] the[0] spotlight[0] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's an early scene in which dr . evil and his son scott ( seth green ) appear on a jerry springer segment entitled  my dad is evil and wants to take over the world' , hosted by springer himself . 	there's an early scene in which dr .<br> evil and his son scot ( seth green ) appear on a jerry springer segment entitled  my dad is evil and wants to take over the world' , hosted by springer himself .	1	-3	 there's[0] an[0] early[0] scene[0] in[0] which[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] and[0] his[0] son[0] scott/scot[0] seth[0] green[0] appear[0] on[0] a[0] jerry[0] springer[0] segment[0] entitled[0] my[0] dad[0] is[0] evil[-2] and[0] wants[0] to[0] take[0] over[0] the[0] world'[0] hosted[0] by[0] springer[0] himself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most of these talk-show gags , spoofing everything from oprah to regis and kathie lee , are no longer as funny as they once were . 	most of these talk-show gags , spoofing everything from oprah to regis and kathie lee , are no longer as funny as they once were .	2	-1	 most[0] of[0] these[0] talk[0] show[0] gags[0] spoofing[0] everything[0] from[0] oprah[0] to[0] regis[0] and[0] kathie[0] lee[0] are[0] no[0] longer[0] as[0] funny[1] as[0] they[0] once[0] were[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
happily , this is an exception , especially when a fight breaks out between dr . evil and the other guests . 	happily , this is an exception , especially when a fight breaks out between dr .<br> evil and the other guests .	3	-3	 happily[2] this[0] is[0] an[0] exception[0] especially[0] when[0] a[0] fight[-2] breaks[0] out[0] between[0] dr[0] [[Sentence=-3,3=word max, 1-5]] evil[-2] and[0] the[0] other[0] guests[0] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
 ( sample dialogue-  come back here you mother #@%   ! ! 	 ( sample dialogue-  come back here you mother #@%   !<br> !	1	-1	 sample[0] dialogue[0] come[0] back[0] here[0] you[0] mother[0] #@%[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you want a piece of me ? ' ) 	you want a piece of me ?<br> ' )	1	-1	 you[0] want[0] a[0] piece[0] of[0] me[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience was in stitches . 	the audience was in stitches .	1	-1	 the[0] audience[0] was[0] in[0] stitches[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are many good things about this sequel . 	there are many good things about this sequel .	2	-1	 there[0] are[0] many[0] good[1] things[0] about[0] this[0] sequel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
