it has happened again . 	Translation	Positive	Negative	EmotionRationale
a movie that is well scripted , well acted , and well directed . 	a movie that is well scripted , well acted , and well directed .	1	-1	 a[0] movie[0] that[0] is[0] well[0] scripted[0] well[0] acted[0] and[0] well[0] directed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is involving , suspenseful . . . 	it is involving , suspenseful .<br> .<br> .	1	-1	 it[0] is[0] involving[0] suspenseful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it even has an unexpected twist at the end that packs a punch like a blow to the solar plexus . 	it even has an unexpected twist at the end that packs a punch like a blow to the solar plexus .	2	-2	 it[0] even[0] has[0] an[0] unexpected[0] twist[0] at[0] the[0] end[0] that[0] packs[0] a[0] punch[-1] like[1] a[0] blow[0] to[0] the[0] solar[0] plexus[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but in order to accept its premise one must also accept a spiritual lie . 	but in order to accept its premise one must also accept a spiritual lie .	1	-1	 but[0] in[0] order[0] to[0] accept[0] its[0] premise[0] one[0] must[0] also[0] accept[0] a[0] spiritual[0] lie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sixth sense is that movie . 	the sixth sense is that movie .	1	-1	 the[0] sixth[0] sense[0] is[0] that[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starring bruce willis ( armageddon ) as a child psychologist and haley joel osment ( forrest gump ) as a troubled youngster , the sixth sense is more spooky than scary , though it does contain disturbing images designed to startle . 	starring bruce willis ( armageddon ) as a child psychologist and haley joel osment ( forest gump ) as a troubled youngster , the sixth sense is more spooky than scary , though it does contain disturbing images designed to startle .	1	-4	 starring[0] bruce[0] willis[0] armageddon[0] as[0] a[0] child[0] psychologist[0] and[0] haley[0] joel[0] osment[0] forrest/forest[0] gump[0] as[0] a[0] troubled[-1] youngster[0] the[0] sixth[0] sense[0] is[0] more[0] spooky[0] than[0] scary[-3] though[0] it[0] does[0] contain[0] disturbing[-1] images[0] designed[0] to[0] startle[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
eight-year-old cole sear ( osment ) sees dead people . 	eight-year-old cole sear ( osment ) sees dead people .	1	-3	 eight[0] year[0] old[0] cole[0] sear[0] osment[0] sees[0] dead[-2] people[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not just in dreams . 	not just in dreams .	1	-1	 not[0] just[0] in[0] dreams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and not just as lifeless bodies . 	and not just as lifeless bodies .	2	-1	 and[0] not[0] just[0] as[0] lifeless[-1][NegatedDueToPreviousWord] bodies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he sees them walking around like regular people . 	he sees them walking around like regular people .	2	-1	 he[0] sees[0] them[0] walking[0] around[0] like[1] regular[0] people[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and he sees them all the time . 	and he sees them all the time .	1	-1	 and[0] he[0] sees[0] them[0] all[0] the[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dr . malcolm crowe ( willis ) is trying to help him . 	dr .<br> malcolm crowe ( willis ) is trying to help him .	1	-1	 dr[0] [[Sentence=-1,1=word max, 1-5]] malcolm[0] crowe[0] willis[0] is[0] trying[0] to[0] help[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he recognizes in cole many of the same attributes as one of his earlier patients whom crowe failed , resulting in that patient shooting crowe before turning the gun on himself . 	he recognizes in cole many of the same attributes as one of his earlier patients whom crowe failed , resulting in that patient shooting crowe before turning the gun on himself .	1	-3	 he[0] recognizes[0] in[0] cole[0] many[0] of[0] the[0] same[0] attributes[0] as[0] one[0] of[0] his[0] earlier[0] patients[0] whom[0] crowe[0] failed[-2] resulting[0] in[0] that[0] patient[0] shooting[-1] crowe[0] before[0] turning[0] the[0] gun[-1] on[0] himself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
