a group of high school kids mix up with a group of hip-hop artists as a documentarian strives to discover why today's youth seem attracted to black culture . 	Translation	Positive	Negative	EmotionRationale
the review 	the review	1	-1	 the[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if black & white , the new film from writer/director james toback , is eventually remembered for only one thing , it will be the revelation that brooke shields , claudia schiffer , marla maples and mike tyson can act . 	if black & white , the new film from writer/director james toback , is eventually remembered for only one thing , it will be the revelation that broke shields , claudia schiffer , marla maples and mike tyson can act .	1	-2	 if[0] black[0] &[0] white[0] the[0] new[0] film[0] from[0] writer/director[0] james[0] toback[0] is[0] eventually[0] remembered[0] for[0] only[0] one[0] thing[0] it[0] will[0] be[0] the[0] revelation[0] that[0] brooke/broke[-1] shields[0] claudia[0] schiffer[0] marla[0] maples[0] and[0] mike[0] tyson[0] can[0] act[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , this partly improvised gem will be remembered for more than that . 	however , this partly improvised gem will be remembered for more than that .	1	-1	 however[0] this[0] partly[0] improvised[0] gem[0] will[0] be[0] remembered[0] for[0] more[0] than[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
black & white is a fascinating film ; it makes a statement about america's youth and hip-hop culture without getting heavy-handed overly serious . 	black & white is a fascinating film ; it makes a statement about america's youth and hip-hop culture without getting heavy-handed overly serious .	1	-2	 black[0] &[0] white[0] is[0] a[0] fascinating[0] film[0] it[0] makes[0] a[0] statement[0] about[0] america's[0] youth[0] and[0] hip[0] hop[0] culture[0] without[0] getting[0] heavy[0] handed[0] overly[0] serious[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
featuring a cast of known commodities ( ben stiller , robert downey jr . ) and hot newcomers ( singers bijou phillips ) , toback's is a complex film worth seeing . 	featuring a cast of known commodities ( ben stiller , robert downey jr .<br> ) and hot newcomers ( singers bijou phillips ) , toback's is a complex film worth seeing .	1	-1	 featuring[0] a[0] cast[0] of[0] known[0] commodities[0] ben[0] stiller[0] robert[0] downey[0] jr[0] [[Sentence=-1,1=word max, 1-5]] and[0] hot[0] newcomers[0] singers[0] bijou[0] phillips[0] toback's[0] is[0] a[0] complex[0] film[0] worth[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
black & white has multiple storylines that are all related to each other , a la robert altman . 	black & white has multiple storylines that are all related to each other , a la robert altman .	1	-1	 black[0] &[0] white[0] has[0] multiple[0] storylines[0] that[0] are[0] all[0] related[0] to[0] each[0] other[0] a[0] la[0] robert[0] altman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is dean the basketball player ( allan houston ) who is asked to rig games for money by mark clear ( stiller ) in exchange for fifty grand a game . 	there is dean the basketball player ( allan houston ) who is asked to rig games for money by mark clear ( stiller ) in exchange for fifty grand a game .	2	-1	 there[0] is[0] dean[0] the[0] basketball[0] player[0] allan[0] houston[0] who[0] is[0] asked[0] to[0] rig[0] games[0] for[0] money[0] by[0] mark[0] clear[0] stiller[0] in[0] exchange[0] for[0] fifty[0] grand[1] a[0] game[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this eventually spills over into the life of dean's long-time friend rich ( power ) , a gangsta who controls 20 city blocks of harlem . 	this eventually spills over into the life of dean's long-time friend rich ( power ) , a gangsta who controls 20 city blocks of harlem .	2	-2	 this[0] eventually[0] spills[-1] over[0] into[0] the[0] life[0] of[0] dean's[0] long[0] time[0] friend[1] rich[0] power[0] a[0] gangsta[0] who[0] controls[0] 20[0] city[0] blocks[-1] of[0] harlem[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rich has to deal with the imminent opening of a white-owned club on his turf . 	rich has to deal with the imminent opening of a white-owned club on his turf .	1	-1	 rich[0] has[0] to[0] deal[0] with[0] the[0] imminent[0] opening[0] of[0] a[0] white[0] owned[0] club[0] on[0] his[0] turf[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , the young white girls who like to hang around with rich and his homies get talked into being in a documentary by sam donager ( shields ) and her gay husband terry ( downey jr . ) . 	meanwhile , the young white girls who like to hang around with rich and his homies get talked into being in a documentary by sam donager ( shields ) and her gay husband terry ( downey jr .<br> ) .	2	-2	 meanwhile[0] the[0] young[0] white[0] girls[0] who[0] like[1] to[0] hang[-1] around[0] with[0] rich[0] and[0] his[0] homies[0] get[0] talked[0] into[0] being[0] in[0] a[0] documentary[0] by[0] sam[0] donager[0] shields[0] and[0] her[0] gay[-1] husband[0] terry[0] downey[0] jr[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
