cinema has been around for about a hundred years now . ? 	Translation	Positive	Negative	EmotionRationale
it's not my job to recap this century every time i talk about a new film , but i'd like to think that i'm beginning to understand the art more as i watch more films from before my time . 	it's not my job to recap this century every time i talk about a new film , but i'd like to think that i'm beginning to understand the art more as i watch more films from before my time .	2	-1	 it's[0] not[0] my[0] job[0] to[0] recap[0] this[0] century[0] every[0] time[0] i[0] talk[0] about[0] a[0] new[0] film[0] but[0] i'd[0] like[1] to[0] think[0] that[0] i'm[0] beginning[0] to[0] understand[0] the[0] art[0] more[0] as[0] i[0] watch[0] more[0] films[0] from[0] before[0] my[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
recently , i've seen the films of hitchcock , capra , fellini , godard , kurosawa , chaplin , lang , and many others . 	recently , i've seen the films of hitchcock , capra , fellini , godard , kurosawa , chaplin , lang , and many others .	1	-1	 recently[0] i've[0] seen[0] the[0] films[0] of[0] hitchcock[0] capra[0] fellini[0] godard[0] kurosawa[0] chaplin[0] lang[0] and[0] many[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? those men were talented artists , and their films reflect their genius . ? 	 ?<br> those men were talented artists , and their films reflect their genius .<br> ?	2	-1	 those[0] men[0] were[0] talented[1] artists[0] and[0] their[0] films[0] reflect[0] their[0] genius[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they are likely to be remembered for . 	they are likely to be remembered for .	1	-1	 they[0] are[0] likely[0] to[0] be[0] remembered[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
well , quite a while . ? 	well , quite a while .<br> ?	1	-1	 well[0] quite[0] a[0] while[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i like this film , too . ? 	i like this film , too .<br> ?	2	-1	 i[0] like[1] this[0] film[0] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes , it's a disaster-slash-action movie . ? 	yes , it's a disaster-slash-action movie .<br> ?	1	-2	 yes[0] it's[0] a[0] disaster[-1] slash[-1] action[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
true , its budget is a lot more money than i'll ever see in my lifetime . ? 	true , its budget is a lot more money than i'll ever see in my lifetime .<br> ?	2	-1	 true[1] its[0] budget[0] is[0] a[0] lot[0] more[0] money[0] than[0] i'll[0] ever[0] see[0] in[0] my[0] lifetime[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
