jarvis cocker of pulp once said that he wrote common people after noticing mike leigh box-sets on the video shelves -- he had a feeling that economic deprivation was becoming a tourist experience for the well-off . 	Translation	Positive	Negative	EmotionRationale
maybe it's a classic case of displacement : it's easier to see jarvis' own lyrics ( obsessed with acrylic and wood chip on the wall ) as a fetishization of lowlife , rather than leigh's films . 	maybe it's a classic case of displacement : it's easier to see jarvis' own lyrics ( obsessed with acrylic and wood chip on the wall ) as a fetishization of lowlife , rather than leigh's films .	1	-3	 maybe[0] it's[0] a[0] classic[0] case[0] of[0] displacement[-1] it's[0] easier[0] to[0] see[0] jarvis'[0] own[0] lyrics[0] obsessed[-2] with[0] acrylic[0] and[0] wood[0] chip[0] on[0] the[0] wall[0] as[0] a[0] fetishization[0] of[0] lowlife[-1] rather[0] than[0] leigh's[0] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but it's worth being reminded that drab interiors and a couple of working-class characters don't make for a guarantee of 'authenticity' , let alone a good film . 	but it's worth being reminded that drab interiors and a couple of working-class characters don't make for a guarantee of 'authenticity' , let alone a good film .	2	-2	 but[0] it's[0] worth[0] being[0] reminded[0] that[0] drab[-1] interiors[0] and[0] a[0] couple[0] of[0] working[0] class[0] characters[0] don't[0] make[0] for[0] a[0] guarantee[0] of[0] 'authenticity'[0] let[0] alone[0] a[0] good[1] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's the triumph of secrets & lies , then , that it goes beyond gestures of sympathy for the common people into a probing of just what it means to seek 'authenticity' and honesty in everyday lives . 	it's the triumph of secrets & lies , then , that it goes beyond gestures of sympathy for the common people into a probing of just what it means to seek 'authenticity' and honesty in everyday lives .	3	-3	 it's[0] the[0] triumph[2] of[0] secrets[0] &[0] lies[-2] then[0] that[0] it[0] goes[0] beyond[0] gestures[0] of[0] sympathy[0] for[0] the[0] common[0] people[0] into[0] a[0] probing[0] of[0] just[0] what[0] it[0] means[0] to[0] seek[0] 'authenticity'[0] and[0] honesty[1] in[0] everyday[0] lives[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
following her adopted mother's funeral , hortense , a young black optometrist , sets out to find her birth mother , and is disturbed to find out that she is white . 	following her adopted mother's funeral , hortense , a young black optometrist , sets out to find her birth mother , and is disturbed to find out that she is white .	1	-2	 following[0] her[0] adopted[0] mother's[0] funeral[0] hortense[0] a[0] young[0] black[0] optometrist[0] sets[0] out[0] to[0] find[0] her[0] birth[0] mother[0] and[0] is[0] disturbed[-1] to[0] find[0] out[0] that[0] she[0] is[0] white[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is cynthia , a factory worker who lives in a shabby house with her perpetually moody daughter roxanne . 	it is cynthia , a factory worker who lives in a shabby house with her perpetually moody daughter roxanne .	1	-3	 it[0] is[0] cynthia[0] a[0] factory[0] worker[0] who[0] lives[0] in[0] a[0] shabby[-1] house[0] with[0] her[0] perpetually[0] moody[-2] daughter[0] roxanne[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
cynthia's younger brother maurice is a successful photographer who has not seen his sister for ages , largely because of his wife's animosity towards her . 	cynthia's younger brother maurice is a successful photographer who has not seen his sister for ages , largely because of his wife's animosity towards her .	3	-2	 cynthia's[0] younger[0] brother[0] maurice[0] is[0] a[0] successful[2] photographer[0] who[0] has[0] not[0] seen[0] his[0] sister[0] for[0] ages[0] largely[0] because[0] of[0] his[0] wife's[0] animosity[-1] towards[0] her[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
hortense calls up cynthia , who initially breaks down in tears and refuses to see her . 	hortense calls up cynthia , who initially breaks down in tears and refuses to see her .	1	-4	 hortense[0] calls[0] up[0] cynthia[0] who[0] initially[0] breaks[0] down[0] in[0] tears[-3] and[0] refuses[-1] to[0] see[0] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but their mutually suspicious meeting gives way to a warm friendship eventually . 	but their mutually suspicious meeting gives way to a warm friendship eventually .	2	-2	 but[0] their[0] mutually[0] suspicious[-1] meeting[0] gives[0] way[0] to[0] a[0] warm[0] friendship[1] eventually[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
cynthia invites hortense to come along to a party , which maurice is hosting . . . 	cynthia invites hortense to come along to a party , which maurice is hosting .<br> .<br> .	1	-1	 cynthia[0] invites[0] hortense[0] to[0] come[0] along[0] to[0] a[0] party[0] which[0] maurice[0] is[0] hosting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
secrets & lies has a simple enough theme at its heart -- as one character puts it , " best to tell the truth , isn't it ? 	secrets & lies has a simple enough theme at its heart - as one character puts it , " best to tell the truth , isn't it ?	2	-3	 secrets[0] &[0] lies[-2] has[0] a[0] simple[0] enough[0] theme[0] at[0] its[0] heart[0] as[0] one[0] character[0] puts[0] it[0] best[1] to[0] tell[0] the[0] truth[1] isn't[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that way nobody gets hurt . " . 	that way nobody gets hurt .<br> " .	1	-3	 that[0] way[0] nobody[0] gets[0] hurt[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but if the film delivers much more than a trite message , it's because we are also shown how hard it can be to face up to ugly truths , even while the evasions and unspoken grievances slowly choke us . 	but if the film delivers much more than a trite message , it's because we are also shown how hard it can be to face up to ugly truths , even while the evasions and unspoken grievances slowly choke us .	2	-4	 but[0] if[0] the[0] film[0] delivers[0] much[0] more[0] than[0] a[0] trite[-2] message[0] it's[0] because[0] we[0] are[0] also[0] shown[0] how[0] hard[0] it[0] can[0] be[0] to[0] face[0] up[0] to[0] ugly[-2] truths[1] even[0] while[0] the[0] evasions[-1] and[0] unspoken[0] grievances[-3] slowly[0] choke[-3] us[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
hence , cynthia's difficulty with acknowledging ( first to herself , then to others ) that hortense is her daughter . 	hence , cynthia's difficulty with acknowledging ( first to herself , then to others ) that hortense is her daughter .	1	-2	 hence[0] cynthia's[0] difficulty[-1] with[0] acknowledging[0] first[0] to[0] herself[0] then[0] to[0] others[0] that[0] hortense[0] is[0] her[0] daughter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
