swashbuckling adventure that can be enjoyed by both children and adults . 	Translation	Positive	Negative	EmotionRationale
steven spielberg may not have directed ( he only executive produced ) but his touch certainly is evident in this movie . 	steven spielberg may not have directed ( he only executive produced ) but his touch certainly is evident in this movie .	1	-1	 steven[0] spielberg[0] may[0] not[0] have[0] directed[0] he[0] only[0] executive[0] produced[0] but[0] his[0] touch[0] certainly[0] is[0] evident[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and he knows a money making winner when he sees one . 	and he knows a money making winner when he sees one .	2	-1	 and[0] he[0] knows[0] a[0] money[0] making[0] winner[1] when[0] he[0] sees[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the mask of zorro has the hallmarks of a blockbuster : big action , funny comedy , and the pacing of a rollercoaster . 	the mask of zorro has the hallmarks of a blockbuster : big action , funny comedy , and the pacing of a rollercoaster .	2	-2	 the[0] mask[0] of[0] zorro[0] has[0] the[0] hallmarks[0] of[0] a[0] blockbuster[-1] big[0] action[0] funny[1] comedy[0] and[0] the[0] pacing[0] of[0] a[0] rollercoaster[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hopkins plays don diego de la vega , otherwise known as zorro . 	hopkins plays don diego de la vega , otherwise known as zorro .	2	-1	 hopkins[0] plays[1] don[0] diego[0] de[0] la[0] vega[0] otherwise[0] known[0] as[0] zorro[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a fighter for the people , he is eventually captured by don rafael montero ( stuart wilson ) , who also , unintentionally , kills his wife . 	a fighter for the people , he is eventually captured by don rafael montero ( stuart wilson ) , who also , unintentionally , kills his wife .	1	-3	 a[0] fighter[-2] for[0] the[0] people[0] he[0] is[0] eventually[0] captured[-1] by[0] don[0] rafael[0] montero[0] stuart[0] wilson[0] who[0] also[0] unintentionally[0] kills[0] his[0] wife[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film cuts to twenty years later , where vega still wants to montero dead . 	the film cuts to twenty years later , where vega still wants to montero dead .	1	-3	 the[0] film[0] cuts[0] to[0] twenty[0] years[0] later[0] where[0] vega[0] still[0] wants[0] to[0] montero[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , he's far too old now , and trains up thief alejandro murrieta ( banderas ) to become the new zorro . 	however , he's far too old now , and trains up thief alejandro murrieta ( banderas ) to become the new zorro .	1	-2	 however[0] he's[0] far[0] too[0] old[0] now[0] and[0] trains[0] up[0] thief[-1] alejandro[0] murrieta[0] banderas[0] to[0] become[0] the[0] new[0] zorro[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
banderas motive ? 	banderas motive ?	1	-1	 banderas[0] motive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to avenge the death of his brother , who was killed at the hands of captain love ( matthew letscher ) who rather tastefully keeps the head in a jar , in one of the more graphic scenes in this family movie . 	to avenge the death of his brother , who was killed at the hands of captain love ( matthew letscher ) who rather tastefully keeps the head in a jar , in one of the more graphic scenes in this family movie .	3	-4	 to[0] avenge[-1] the[0] death[-2] of[0] his[0] brother[0] who[0] was[0] killed[-3] at[0] the[0] hands[0] of[0] captain[0] love[2] matthew[0] letscher[0] who[0] rather[0] tastefully[0] keeps[0] the[0] head[0] in[0] a[0] jar[0] in[0] one[0] of[0] the[0] more[0] graphic[0] scenes[0] in[0] this[0] family[0] movie[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
with the scene set , the movie goes on full blast , with sword fights a-plenty and witty one liners . 	with the scene set , the movie goes on full blast , with sword fights a-plenty and witty one liners .	1	-3	 with[0] the[0] scene[0] set[0] the[0] movie[0] goes[0] on[0] full[0] blast[0] with[0] sword[0] fights[-2] a[0] plenty[0] and[0] witty[0] one[0] liners[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
banderas and hopkins have a marvellous chemistry as the two zorro's , playing each other off with ease . 	banderas and hopkins have a marvellous chemistry as the two zorro's , playing each other off with ease .	2	-1	 banderas[0] and[0] hopkins[0] have[0] a[0] marvellous[0] chemistry[0] as[0] the[0] two[0] zorro's[0] playing[1] each[0] other[0] off[0] with[0] ease[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
