 " living out loud , " is the type of motion picture we don't often see : it is a film about mature , intelligent adults , instead of the usual american film , in which children basically dress up in grown-up clothing and parade around acting like immature seven-year-olds . 	Translation	Positive	Negative	EmotionRationale
judith ( holly hunter ) , a fortysomething living in new york city , has been having a difficult time with life lately . 	judith ( holly hunter ) , a fortysomething living in new york city , has been having a difficult time with life lately .	1	-2	 judith[0] holly[0] hunter[-1] a[0] fortysomething[0] living[0] in[0] new[0] york[0] city[0] has[0] been[0] having[0] a[0] difficult[-1] time[0] with[0] life[0] lately[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is extremely depressed about her recent divorce to her husband ( martin donovan ) , who had been cheating on her . 	she is extremely depressed about her recent divorce to her husband ( martin donovan ) , who had been cheating on her .	1	-5	 she[0] is[0] extremely[0] depressed[-3][-2 LastWordBoosterStrength] about[0] her[0] recent[0] divorce[-1] to[0] her[0] husband[0] martin[0] donovan[0] who[0] had[0] been[0] cheating[-2] on[0] her[0] [[Sentence=-6,1=word max, 1-5]][[[1,-5 max of sentences]]]
she cannot sleep , haunted by terrible memories , often imagines off-the-wall things to try and make the world seem like a better place , and the only place she can really go to feel happy is to hear one of her favorite singers , liz bailey ( queen latifah ) , perform at a local club . 	she cannot sleep , haunted by terrible memories , often imagines off-the-wall things to try and make the world seem like a better place , and the only place she can really go to feel happy is to hear one of her favorite singers , liz bailey ( queen latifah ) , perform at a local club .	2	-4	 she[0] cannot[0] sleep[0] haunted[0] by[0] terrible[-3] memories[0] often[0] imagines[0] off[0] the[0] wall[0] things[0] to[0] try[0] and[0] make[0] the[0] world[0] seem[0] like[1] a[0] better[0] place[0] and[0] the[0] only[0] place[0] she[0] can[0] really[0] go[0] to[0] feel[0] happy[1] is[0] to[0] hear[0] one[0] of[0] her[0] favorite[1] singers[0] liz[0] bailey[-1] queen[0] latifah[0] perform[0] at[0] a[0] local[0] club[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
judith's life does start to brighten a little when , one night when she gets home to her apartment late , strikes up a conversation with the elevator operator , pat ( danny devito ) , a lonely man in his fifties whom has lost his daughter recently . 	judith's life does start to brighten a little when , one night when she gets home to her apartment late , strikes up a conversation with the elevator operator , pat ( danny devito ) , a lonely man in his fifties whom has lost his daughter recently .	1	-2	 judith's[0] life[0] does[0] start[0] to[0] brighten[0] a[0] little[0] when[0] one[0] night[0] when[0] she[0] gets[0] home[0] to[0] her[0] apartment[0] late[0] strikes[0] up[0] a[0] conversation[0] with[0] the[0] elevator[0] operator[0] pat[0] danny[0] devito[0] a[0] lonely[-1] man[0] in[0] his[0] fifties[0] whom[0] has[0] lost[0] his[0] daughter[0] recently[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both of them create a sort of emotional connection with each other , seeking comfort with the other person , but while pat starts to form a deep love for her , judith only wants to remain friends . 	both of them create a sort of emotional connection with each other , seeking comfort with the other person , but while pat starts to form a deep love for her , judith only wants to remain friends .	3	-2	 both[0] of[0] them[0] create[0] a[0] sort[0] of[0] emotional[-1] connection[0] with[0] each[0] other[0] seeking[0] comfort[1] with[0] the[0] other[0] person[0] but[0] while[0] pat[0] starts[0] to[0] form[0] a[0] deep[0] love[2] for[0] her[0] judith[0] only[0] wants[0] to[0] remain[0] friends[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " living out loud , " which was written by richard lagravenese ( " the bridges of madison county " ) , who is also making his directing debut here , is a wonderful film from beginning to end , one that is honest , genuinely funny , and poignant . 	 " living out loud , " which was written by richard lagravenese ( " the bridges of madison county " ) , who is also making his directing debut here , is a wonderful film from beginning to end , one that is honest , genuinely funny , and poignant .	3	-1	 living[0] out[0] loud[0] which[0] was[0] written[0] by[0] richard[0] lagravenese[0] the[0] bridges[0] of[0] madison[0] county[0] who[0] is[0] also[0] making[0] his[0] directing[0] debut[0] here[0] is[0] a[0] wonderful[2] film[0] from[0] beginning[0] to[0] end[0] one[0] that[0] is[0] honest[0] genuinely[0] funny[1] and[0] poignant[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the three central characters , that of judith , pat , and liz , are all written to be free-thinking , complex human beings , and are all likable , but flawed , people who are constantly interesting , as is the film itself . 	the three central characters , that of judith , pat , and liz , are all written to be free-thinking , complex human beings , and are all likable , but flawed , people who are constantly interesting , as is the film itself .	2	-1	 the[0] three[0] central[0] characters[0] that[0] of[0] judith[0] pat[0] and[0] liz[0] are[0] all[0] written[0] to[0] be[0] free[0] thinking[0] complex[0] human[0] beings[0] and[0] are[0] all[0] likable[0] but[0] flawed[0] people[0] who[0] are[0] constantly[0] interesting[1] as[0] is[0] the[0] film[0] itself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one highly original element of the film is that judith occasionally imagines things occuring in her mind in the way she wishes they would happen . 	one highly original element of the film is that judith occasionally imagines things occuring in her mind in the way she wishes they would happen .	1	-1	 one[0] highly[0] original[0] element[0] of[0] the[0] film[0] is[0] that[0] judith[0] occasionally[0] imagines[0] things[0] occuring[0] in[0] her[0] mind[0] in[0] the[0] way[0] she[0] wishes[0] they[0] would[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes it results in comedy , and sometimes it turns out to be subtle and truly touching . 	sometimes it results in comedy , and sometimes it turns out to be subtle and truly touching .	2	-1	 sometimes[0] it[0] results[0] in[0] comedy[0] and[0] sometimes[0] it[0] turns[0] out[0] to[0] be[0] subtle[0] and[0] truly[1] touching[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one sequence that stands out is when judith is at a restaurant by herself , reading a novel . 	one sequence that stands out is when judith is at a restaurant by herself , reading a novel .	1	-1	 one[0] sequence[0] that[0] stands[0] out[0] is[0] when[0] judith[0] is[0] at[0] a[0] restaurant[0] by[0] herself[0] reading[0] a[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an older woman comes over to her , mentions that that is a great book she is reading , and then goes over to join her own friends . 	an older woman comes over to her , mentions that that is a great book she is reading , and then goes over to join her own friends .	3	-1	 an[0] older[0] woman[0] comes[0] over[0] to[0] her[0] mentions[0] that[0] that[0] is[0] a[0] great[2] book[0] she[0] is[0] reading[0] and[0] then[0] goes[0] over[0] to[0] join[0] her[0] own[0] friends[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as the woman sits down , she looks over to see judith by herself , and motions for her to come join them . 	as the woman sits down , she looks over to see judith by herself , and motions for her to come join them .	1	-1	 as[0] the[0] woman[0] sits[0] down[0] she[0] looks[0] over[0] to[0] see[0] judith[0] by[0] herself[0] and[0] motions[0] for[0] her[0] to[0] come[0] join[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instantly , we realize this was simply in judith's mind , as we see the same woman just sit down at the table and begin talking to her friends . 	instantly , we realize this was simply in judith's mind , as we see the same woman just sit down at the table and begin talking to her friends .	2	-1	 instantly[0] we[0] realize[0] this[0] was[0] simply[0] in[0] judith's[0] mind[0] as[0] we[0] see[0] the[0] same[0] woman[0] just[0] sit[0] down[0] at[0] the[0] table[0] and[0] begin[0] talking[0] to[0] her[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
holly hunter and danny devito both give the performances of their careers here . 	holly hunter and danny devito both give the performances of their careers here .	1	-2	 holly[0] hunter[-1] and[0] danny[0] devito[0] both[0] give[0] the[0] performances[0] of[0] their[0] careers[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hunter , of course , was brilliant in 1993's " the piano , " for which she won an academy award , but in this film she is even better , i think . 	hunter , of course , was brilliant in 1993's " the piano , " for which she won an academy award , but in this film she is even better , i think .	2	-2	 hunter[-1] of[0] course[0] was[0] brilliant[1] in[0] 1993's[0] the[0] piano[0] for[0] which[0] she[0] won[0] an[0] academy[0] award[0] but[0] in[0] this[0] film[0] she[0] is[0] even[0] better[0] i[0] think[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she finds the right note for each scene and holds it . 	she finds the right note for each scene and holds it .	1	-1	 she[0] finds[0] the[0] right[0] note[0] for[0] each[0] scene[0] and[0] holds[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and devito has never had such a humanistic role before , which i was surprised about . 	and devito has never had such a humanistic role before , which i was surprised about .	1	-1	 and[0] devito[0] has[0] never[0] had[0] such[0] a[0] humanistic[0] role[0] before[0] which[0] i[0] was[0] surprised[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
usually he is used as the butt of a joke , or as a caricature , but in this film , has a living-and-breathing , sympathetic person to play . 	usually he is used as the butt of a joke , or as a caricature , but in this film , has a living-and-breathing , sympathetic person to play .	2	-1	 usually[0] he[0] is[0] used[0] as[0] the[0] butt[0] of[0] a[0] joke[1] or[0] as[0] a[0] caricature[0] but[0] in[0] this[0] film[0] has[0] a[0] living[0] and[0] breathing[0] sympathetic[0] person[0] to[0] play[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
topping it all off is latifah , also a singer , who is quickly turning into a respectable actress herself , and has a juicy , natural supporting role as , in some ways , judith's role model . 	topping it all off is latifah , also a singer , who is quickly turning into a respectable actress herself , and has a juicy , natural supporting role as , in some ways , judith's role model .	3	-1	 topping[0] it[0] all[0] off[0] is[0] latifah[0] also[0] a[0] singer[0] who[0] is[0] quickly[0] turning[0] into[0] a[0] respectable[2] actress[0] herself[0] and[0] has[0] a[0] juicy[0] natural[0] supporting[1] role[0] as[0] in[0] some[0] ways[0] judith's[0] role[0] model[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
another joy of the film is that it does not somehow form a contrived , " happy " ending , but , in staying with its realistic tone , manages to be upbeat , but truthful . 	another joy of the film is that it does not somehow form a contrived , " happy " ending , but , in staying with its realistic tone , manages to be upbeat , but truthful .	3	-1	 another[0] joy[2] of[0] the[0] film[0] is[0] that[0] it[0] does[0] not[0] somehow[0] form[0] a[0] contrived[0] happy[1] ending[0] but[0] in[0] staying[0] with[0] its[0] realistic[0] tone[0] manages[0] to[0] be[0] upbeat[1] but[0] truthful[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the last shot is an especially powerful image . 	the last shot is an especially powerful image .	1	-2	 the[0] last[0] shot[-1] is[0] an[0] especially[0] powerful[0] image[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nothing is said , but just the image of someone walking down a sidewalk says it all . 	nothing is said , but just the image of someone walking down a sidewalk says it all .	1	-1	 nothing[0] is[0] said[0] but[0] just[0] the[0] image[0] of[0] someone[0] walking[0] down[0] a[0] sidewalk[0] says[0] it[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the relationship that results between judith and pat is true-to-life and sincere . 	the relationship that results between judith and pat is true-to-life and sincere .	2	-1	 the[0] relationship[0] that[0] results[0] between[0] judith[0] and[0] pat[0] is[0] true[1] to[0] life[0] and[0] sincere[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as we watch these two people talk , and get to know each other , all that we wish for them both is to be happy , even if that does not include for them to become romantically involved . 	as we watch these two people talk , and get to know each other , all that we wish for them both is to be happy , even if that does not include for them to become romantically involved .	4	-1	 as[0] we[0] watch[0] these[0] two[0] people[0] talk[0] and[0] get[0] to[0] know[0] each[0] other[0] all[0] that[0] we[0] wish[0] for[0] them[0] both[0] is[0] to[0] be[0] happy[1] even[0] if[0] that[0] does[0] not[0] include[0] for[0] them[0] to[0] become[0] romantically[3] involved[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and as , " living out loud , " which is one of the best films of the year , proves , sometimes a friendship is the strongest bond anyone could possibly ask for . 	and as , " living out loud , " which is one of the best films of the year , proves , sometimes a friendship is the strongest bond anyone could possibly ask for .	2	-1	 and[0] as[0] living[0] out[0] loud[0] which[0] is[0] one[0] of[0] the[0] best[1] films[0] of[0] the[0] year[0] proves[0] sometimes[0] a[0] friendship[1] is[0] the[0] strongest[0] bond[0] anyone[0] could[0] possibly[0] ask[0] for[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
