i must admit i'm going to be a bit biased in my review of the new romantic comedy serendipity , because that also defines how i met my current girlfriend . 	Translation	Positive	Negative	EmotionRationale
the magic and mystery of our fated encounter is also embodied in the quirkiness and freshness of the very funny and very romantic serendipity . 	the magic and mystery of our fated encounter is also embodied in the quirkiness and freshness of the very funny and very romantic serendipity .	5	-1	 the[0] magic[0] and[0] mystery[0] of[0] our[0] fated[0] encounter[0] is[0] also[0] embodied[0] in[0] the[0] quirkiness[0] and[0] freshness[0] of[0] the[0] very[0] funny[1][1 LastWordBoosterStrength] and[0] very[0] romantic[3][1 LastWordBoosterStrength] serendipity[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
i am not a big fan of the romantic comedy genre , but something drew me to this film . 	i am not a big fan of the romantic comedy genre , but something drew me to this film .	4	-1	 i[0] am[0] not[0] a[0] big[0] fan[0] of[0] the[0] romantic[3] comedy[0] genre[0] but[0] something[0] drew[0] me[0] to[0] this[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
maybe it was the casting of the underrated jeremy piven in a supporting role , and the hilarious eugene levy . 	maybe it was the casting of the underrated jeremy piven in a supporting role , and the hilarious eugene levy .	3	-1	 maybe[0] it[0] was[0] the[0] casting[0] of[0] the[0] underrated[0] jeremy[0] piven[0] in[0] a[0] supporting[1] role[0] and[0] the[0] hilarious[2] eugene[0] levy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
maybe it was my hope that john cusack would get the redemption he justly deserves after such crap as high fidelity , con air , and pushing tin . 	maybe it was my hope that john cusack would get the redemption he justly deserves after such crap as high fidelity , con air , and pushing tin .	3	-3	 maybe[0] it[0] was[0] my[0] hope[2] that[0] john[0] cusack[0] would[0] get[0] the[0] redemption[0] he[0] justly[0] deserves[0] after[0] such[0] crap[-2] as[0] high[0] fidelity[0] con[0] air[0] and[0] pushing[0] tin[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but maybe it was because i feel as giddy as a school kid right now with this whole romantic thing currently in my life . 	but maybe it was because i feel as giddy as a school kid right now with this whole romantic thing currently in my life .	4	-1	 but[0] maybe[0] it[0] was[0] because[0] i[0] feel[0] as[0] giddy[0] as[0] a[0] school[0] kid[0] right[0] now[0] with[0] this[0] whole[0] romantic[3] thing[0] currently[0] in[0] my[0] life[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the story of serendipity is simple . 	the story of serendipity is simple .	1	-1	 the[0] story[0] of[0] serendipity[0] is[0] simple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two people , john trager ( john cusack ) and sara thomas ( kate beckinsale , looking ever so hot ) , have a chance encounter over a pair of gloves -- with buck henry smack dab in the middle . 	two people , john trager ( john cusack ) and sara thomas ( kate beckinsale , looking ever so hot ) , have a chance encounter over a pair of gloves - with buck henry smack dab in the middle .	1	-2	 two[0] people[0] john[0] trager[0] john[0] cusack[0] and[0] sara[0] thomas[0] kate[0] beckinsale[0] looking[0] ever[0] so[0] hot[0] have[0] a[0] chance[0] encounter[0] over[0] a[0] pair[0] of[0] gloves[0] with[0] buck[0] henry[0] smack[-1] dab[0] in[0] the[0] middle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
charmed beyond repair , these two knuckleheads grab a sundae together at a caf ? called serendipity , talk about that irresponsible thing called fate and the avenues it leads people down , and spend a few hours at the local ice skating rink . 	charmed beyond repair , these two knuckleheads grab a sundae together at a caf ?<br> called serendipity , talk about that irresponsible thing called fate and the avenues it leads people down , and spend a few hours at the local ice skating rink .	2	-2	 charmed[1] beyond[0] repair[0] these[0] two[0] knuckleheads[0] grab[-1] a[0] sundae[0] together[0] at[0] a[0] caf[0] [[Sentence=-2,2=word max, 1-5]] called[0] serendipity[0] talk[0] about[0] that[0] irresponsible[-1] thing[0] called[0] fate[0] and[0] the[0] avenues[0] it[0] leads[0] people[0] down[0] and[0] spend[0] a[0] few[0] hours[0] at[0] the[0] local[0] ice[0] skating[0] rink[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
but with each of them already involved with other parties , sara has john write his name and number on a  5 bill and she writes her name and number on a copy of love in the time of cholera . 	but with each of them already involved with other parties , sara has john write his name and number on a  5 bill and she writes her name and number on a copy of love in the time of cholera .	3	-1	 but[0] with[0] each[0] of[0] them[0] already[0] involved[0] with[0] other[0] parties[0] sara[0] has[0] john[0] write[0] his[0] name[0] and[0] number[0] on[0] a[0] 5[0] bill[0] and[0] she[0] writes[0] her[0] name[0] and[0] number[0] on[0] a[0] copy[0] of[0] love[2] in[0] the[0] time[0] of[0] cholera[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sara declares that if this " thing " -- let's just call it love -- is destined to happen , fate will bring them together in the future . 	sara declares that if this " thing " - let's just call it love - is destined to happen , fate will bring them together in the future .	3	-1	 sara[0] declares[0] that[0] if[0] this[0] thing[0] let's[0] just[0] call[0] it[0] love[2] is[0] destined[0] to[0] happen[0] fate[0] will[0] bring[0] them[0] together[0] in[0] the[0] future[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
years later and on opposite coasts of america , john and sara -- both engaged but still unsure whether they have found their soul mates -- decide to seek each other out to rest their doubts . 	years later and on opposite coasts of america , john and sara - both engaged but still unsure whether they have found their soul mates - decide to seek each other out to rest their doubts .	1	-2	 years[0] later[0] and[0] on[0] opposite[0] coasts[0] of[0] america[0] john[0] and[0] sara[0] both[0] engaged[0] but[0] still[0] unsure[0] whether[0] they[0] have[0] found[0] their[0] soul[0] mates[0] decide[0] to[0] seek[0] each[0] other[0] out[0] to[0] rest[0] their[0] doubts[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what happens then is an enjoyable and often hilarious cat-and-mouse game with the fates - involving such items as mistaken identity , a graduate homage , john corbett as a freaky new age musician , and eugene levy as an irate and crazed salesman -- to find out if that " thing " was right after all . 	what happens then is an enjoyable and often hilarious cat-and-mouse game with the fates - involving such items as mistaken identity , a graduate homage , john corbett as a freaky new age musician , and eugene levy as an irate and crazed salesman - to find out if that " thing " was right after all .	3	-2	 what[0] happens[0] then[0] is[0] an[0] enjoyable[2] and[0] often[0] hilarious[2] cat[0] and[0] mouse[0] game[0] with[0] the[0] fates[0] involving[0] such[0] items[0] as[0] mistaken[-1] identity[0] a[0] graduate[0] homage[0] john[0] corbett[0] as[0] a[0] freaky[-1] new[0] age[0] musician[0] and[0] eugene[0] levy[0] as[0] an[0] irate[0] and[0] crazed[0] salesman[0] to[0] find[0] out[0] if[0] that[0] thing[0] was[0] right[0] after[0] all[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
fortunately , first-time screenwriter marc klein has sketched strong , well-rounded , characters to propel a predictable and corny narrative . 	fortunately , first-time screenwriter marc klein has sketched strong , well-rounded , characters to propel a predictable and corny narrative .	1	-1	 fortunately[0] first[0] time[0] screenwriter[0] marc[0] klein[0] has[0] sketched[0] strong[0] well[0] rounded[0] characters[0] to[0] propel[0] a[0] predictable[0] and[0] corny[0] narrative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
coupled with deft directing by michael chelsom ( director of the very unfunny town and country and the very funny funny bones ) and the use of time-lapse camera work to illustrate the passage of years -- the film comes off with genuine believability and sincerity . 	coupled with deft directing by michael chelsom ( director of the very unfunny town and country and the very funny funny bones ) and the use of time-lapse camera work to illustrate the passage of years - the film comes off with genuine believability and sincerity .	3	-2	 coupled[0] with[0] deft[0] directing[0] by[0] michael[0] chelsom[0] director[0] of[0] the[0] very[0] unfunny[0] town[0] and[0] country[0] and[0] the[0] very[0] funny[1][1 LastWordBoosterStrength] funny[1] bones[0] and[0] the[0] use[0] of[0] time[0] lapse[-1] camera[0] work[0] to[0] illustrate[0] the[0] passage[0] of[0] years[0] the[0] film[0] comes[0] off[0] with[0] genuine[0] believability[0] and[0] sincerity[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
both piven and molly shannon make nice sidekick characters 	both piven and molly shannon make nice sidekick characters	2	-1	 both[0] piven[0] and[0] molly[0] shannon[0] make[0] nice[1] sidekick[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the flipside , films such as you've got mail , made in heaven , and even high fidelity are the quiet inspirations for the film's main journey at hand . 	on the flipside , films such as you've got mail , made in heaven , and even high fidelity are the quiet inspirations for the film's main journey at hand .	3	-1	 on[0] the[0] flipside[0] films[0] such[0] as[0] you've[0] got[0] mail[0] made[0] in[0] heaven[1] and[0] even[0] high[0] fidelity[0] are[0] the[0] quiet[0] inspirations[2] for[0] the[0] film's[0] main[0] journey[0] at[0] hand[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but it's what happens to the unexpecting characters left behind in the romantic wake after john and sara find happiness this is the most unsettling part of the picture . 	but it's what happens to the unexpecting characters left behind in the romantic wake after john and sara find happiness this is the most unsettling part of the picture .	4	-2	 but[0] it's[0] what[0] happens[0] to[0] the[0] unexpecting[0] characters[0] left[0] behind[0] in[0] the[0] romantic[3] wake[0] after[0] john[0] and[0] sara[0] find[0] happiness[2] this[0] is[0] the[0] most[0] unsettling[-1] part[0] of[0] the[0] picture[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
