let me start off by saying that leading up to the release of the latest bond film , i really wasn't looking forward to it as much as i have with some of the previous films . 	Translation	Positive	Negative	EmotionRationale
i'm not sure if it was the fairly lackluster trailers or the ever-present dread that the next film will fall back into the miserable ways of the timothy dalton years . 	i'm not sure if it was the fairly lackluster trailers or the ever-present dread that the next film will fall back into the miserable ways of the timothy dalton years .	1	-4	 i'm[0] not[0] sure[0] if[0] it[0] was[0] the[0] fairly[0] lackluster[0] trailers[0] or[0] the[0] ever[0] present[0] dread[-3] that[0] the[0] next[0] film[0] will[0] fall[0] back[0] into[0] the[0] miserable[-2] ways[0] of[0] the[0] timothy[0] dalton[0] years[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i'm happy to report that any doubts were erased after about the first 10 minutes of the film . 	i'm happy to report that any doubts were erased after about the first 10 minutes of the film .	2	-2	 i'm[0] happy[1] to[0] report[0] that[0] any[0] doubts[-1] were[0] erased[-1] after[0] about[0] the[0] first[0] 10[0] minutes[0] of[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
by that point , it was evident that mr . bond was back with a vengeance . 	by that point , it was evident that mr .<br> bond was back with a vengeance .	1	-3	 by[0] that[0] point[0] it[0] was[0] evident[0] that[0] mr[0] [[Sentence=-1,1=word max, 1-5]] bond[0] was[0] back[0] with[0] a[0] vengeance[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all doubts would have probably been erased sooner except for the fact that the first ten minutes of the film weren't exactly a pleasant experience . 	all doubts would have probably been erased sooner except for the fact that the first ten minutes of the film weren't exactly a pleasant experience .	3	-2	 all[0] doubts[-1] would[0] have[0] probably[0] been[0] erased[-1] sooner[0] except[0] for[0] the[0] fact[0] that[0] the[0] first[0] ten[0] minutes[0] of[0] the[0] film[0] weren't[0] exactly[0] a[0] pleasant[2] experience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it seems that nobody told the geniuses working at the theater that the house lights are supposed to be turned off when the movie starts . 	it seems that nobody told the geniuses working at the theater that the house lights are supposed to be turned off when the movie starts .	1	-1	 it[0] seems[0] that[0] nobody[0] told[0] the[0] geniuses[0] working[0] at[0] the[0] theater[0] that[0] the[0] house[0] lights[0] are[0] supposed[0] to[0] be[0] turned[0] off[0] when[0] the[0] movie[0] starts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it took a reminder from an audience member to clue them in . 	it took a reminder from an audience member to clue them in .	1	-1	 it[0] took[0] a[0] reminder[0] from[0] an[0] audience[0] member[0] to[0] clue[0] them[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i guess they can be excused though , taking tickets and cleaning up popcorn between shows is extremely taxing on the brain . 	i guess they can be excused though , taking tickets and cleaning up popcorn between shows is extremely taxing on the brain .	1	-4	 i[0] guess[0] they[0] can[0] be[0] excused[0] though[0] taking[0] tickets[0] and[0] cleaning[0] up[0] popcorn[0] between[0] shows[0] is[0] extremely[0] taxing[-1][-2 LastWordBoosterStrength] on[0] the[0] brain[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
anyway , after somebody remembered what the light switch was for , i settled in for bond . 	anyway , after somebody remembered what the light switch was for , i settled in for bond .	1	-1	 anyway[0] after[0] somebody[0] remembered[0] what[0] the[0] light[0] switch[0] was[0] for[0] i[0] settled[0] in[0] for[0] bond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think the most noticeable aspect of this , the 19th film in the series , is that it really goes back to the almost tongue in cheek style of the roger moore films . 	i think the most noticeable aspect of this , the 19th film in the series , is that it really goes back to the almost tongue in cheek style of the roger more films .	1	-1	 i[0] think[0] the[0] most[0] noticeable[0] aspect[0] of[0] this[0] the[0] 19th[0] film[0] in[0] the[0] series[0] is[0] that[0] it[0] really[0] goes[0] back[0] to[0] the[0] almost[0] tongue[0] in[0] cheek[0] style[0] of[0] the[0] roger[0] moore/more[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there were probably more one-liners in this movie than in the last several combined . 	there were probably more one-liners in this movie than in the last several combined .	1	-1	 there[0] were[0] probably[0] more[0] one[0] liners[0] in[0] this[0] movie[0] than[0] in[0] the[0] last[0] several[0] combined[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and bond's last one-liner in the film is about the best of the series . 	and bond's last one-liner in the film is about the best of the series .	2	-1	 and[0] bond's[0] last[0] one[0] liner[0] in[0] the[0] film[0] is[0] about[0] the[0] best[1] of[0] the[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the world is not enough also contained perhaps the most action of any movie of the series . 	the world is not enough also contained perhaps the most action of any movie of the series .	1	-1	 the[0] world[0] is[0] not[0] enough[0] also[0] contained[0] perhaps[0] the[0] most[0] action[0] of[0] any[0] movie[0] of[0] the[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything from wild boat chases to the usual assortment of cool bond gadgets trotted out just when there seems to be no way out for 007 . 	everything from wild boat chases to the usual assortment of cool bond gadgets trotted out just when there seems to be no way out for 007 .	2	-2	 everything[0] from[0] wild[0] boat[0] chases[-1] to[0] the[0] usual[0] assortment[0] of[0] cool[1] bond[0] gadgets[0] trotted[0] out[0] just[0] when[0] there[0] seems[0] to[0] be[0] no[0] way[0] out[0] for[0] 007[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for the most part , the action sequences worked very well . 	for the most part , the action sequences worked very well .	1	-1	 for[0] the[0] most[0] part[0] the[0] action[0] sequences[0] worked[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although , there were a couple of times that i thought some things were a bit over the top , even for a bond film . 	although , there were a couple of times that i thought some things were a bit over the top , even for a bond film .	1	-1	 although[0] there[0] were[0] a[0] couple[0] of[0] times[0] that[0] i[0] thought[0] some[0] things[0] were[0] a[0] bit[0] over[0] the[0] top[0] even[0] for[0] a[0] bond[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think some of the blame can be laid at the feet of director michael apted . 	i think some of the blame can be laid at the feet of director michael apted .	1	-2	 i[0] think[0] some[0] of[0] the[0] blame[-1] can[0] be[0] laid[0] at[0] the[0] feet[0] of[0] director[0] michael[0] apted[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while he did a good job for the most part , there were points in the movie , specifically during action sequences , that he seemed to loose site of the fact that he was making essentially an action film . 	while he did a good job for the most part , there were points in the movie , specifically during action sequences , that he seemed to loose site of the fact that he was making essentially an action film .	2	-1	 while[0] he[0] did[0] a[0] good[1] job[0] for[0] the[0] most[0] part[0] there[0] were[0] points[0] in[0] the[0] movie[0] specifically[0] during[0] action[0] sequences[0] that[0] he[0] seemed[0] to[0] loose[0] site[0] of[0] the[0] fact[0] that[0] he[0] was[0] making[0] essentially[0] an[0] action[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most noticeably sequences on a snow covered mountain and one involving bond getting through a closing door looked like apted thought he was filming some sort of high brow art movie . 	most noticeably sequences on a snow covered mountain and one involving bond getting through a closing door looked like apted thought he was filming some sort of high brow art movie .	2	-1	 most[0] noticeably[0] sequences[0] on[0] a[0] snow[0] covered[0] mountain[0] and[0] one[0] involving[0] bond[0] getting[0] through[0] a[0] closing[0] door[0] looked[0] like[1] apted[0] thought[0] he[0] was[0] filming[0] some[0] sort[0] of[0] high[0] brow[0] art[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he almost seemed like he didn't know what he was doing . 	he almost seemed like he didn't know what he was doing .	2	-1	 he[0] almost[0] seemed[0] like[1] he[0] didn't[0] know[0] what[0] he[0] was[0] doing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but they were brief scenes and really shouldn't take away from the otherwise solid job that apted did in directing . 	but they were brief scenes and really shouldn't take away from the otherwise solid job that apted did in directing .	1	-1	 but[0] they[0] were[0] brief[0] scenes[0] and[0] really[0] shouldn't[0] take[0] away[0] from[0] the[0] otherwise[0] solid[0] job[0] that[0] apted[0] did[0] in[0] directing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you have ever seen a bond film , you won't be shocked to learn that plot has never been their strong suit . 	if you have ever seen a bond film , you won't be shocked to learn that plot has never been their strong suit .	3	-1	 if[0] you[0] have[0] ever[0] seen[0] a[0] bond[0] film[0] you[0] won't[0] be[0] shocked[-2][NegatedDueToPreviousWord] to[0] learn[0] that[0] plot[0] has[0] never[0] been[0] their[0] strong[0] suit[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the world is not enough is no exception . 	the world is not enough is no exception .	1	-1	 the[0] world[0] is[0] not[0] enough[0] is[0] no[0] exception[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time we have yet another over villain that bond has to stop for the good of the world . 	this time we have yet another over villain that bond has to stop for the good of the world .	2	-3	 this[0] time[0] we[0] have[0] yet[0] another[0] over[0] villain[-2] that[0] bond[0] has[0] to[0] stop[0] for[0] the[0] good[1] of[0] the[0] world[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
007 matches wits with the terrorist renard ( robert carlyle ) , a man who has a bullet lodged in his brain that makes him impervious to pain . 	007 matches wits with the terrorist renard ( robert carlyle ) , a man who has a bullet lodged in his brain that makes him impervious to pain .	1	-4	 007[0] matches[0] wits[0] with[0] the[0] terrorist[-2] renard[0] robert[0] carlyle[0] a[0] man[0] who[0] has[0] a[0] bullet[-1] lodged[0] in[0] his[0] brain[0] that[0] makes[0] him[0] impervious[0] to[0] pain[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
why this point is included is beyond me . 	why this point is included is beyond me .	1	-1	 why[0] this[0] point[0] is[0] included[0] is[0] beyond[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they took great pains to explain his condition , but it only came up later in the movie as a scene that can only be described as looking like an afterthought . 	they took great pains to explain his condition , but it only came up later in the movie as a scene that can only be described as looking like an afterthought .	3	-4	 they[0] took[0] great[2] pains[-3] to[0] explain[0] his[0] condition[0] but[0] it[0] only[0] came[0] up[0] later[0] in[0] the[0] movie[0] as[0] a[0] scene[0] that[0] can[0] only[0] be[0] described[0] as[0] looking[0] like[1] an[0] afterthought[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
anyway , renard , like the typical terrorist that he is , is bent on some harebrained scheme involving a mid-east oil pipeline . 	anyway , renard , like the typical terrorist that he is , is bent on some harebrained scheme involving a mid-east oil pipeline .	2	-3	 anyway[0] renard[0] like[1] the[0] typical[0] terrorist[-2] that[0] he[0] is[0] is[0] bent[0] on[0] some[0] harebrained[0] scheme[0] involving[0] a[0] mid[0] east[0] oil[0] pipeline[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i guess world domination just isn't as attractive to terrorists as a money making venture anymore . 	i guess world domination just isn't as attractive to terrorists as a money making venture anymore .	1	-3	 i[0] guess[0] world[0] domination[-1] just[0] isn't[0] as[0] attractive[1][NegatedDueToPreviousWord] to[0] terrorists[-2] as[0] a[0] money[0] making[0] venture[0] anymore[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bond is brought in to protect the pipeline's owner , elektra king ( sophie marceau ) , who is the daughter of one of renard's recent victims . 	bond is brought in to protect the pipeline's owner , elektra king ( sophie marceau ) , who is the daughter of one of renard's recent victims .	1	-3	 bond[0] is[0] brought[0] in[0] to[0] protect[0] the[0] pipeline's[0] owner[0] elektra[0] king[0] sophie[0] marceau[0] who[0] is[0] the[0] daughter[0] of[0] one[0] of[0] renard's[0] recent[0] victims[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
along the way , bond has to enlist the help of a nuclear scientist , dr . christmas jones ( denise richards ) , and his old rival valentin zukovsky ( robert carlyle ) . 	along the way , bond has to enlist the help of a nuclear scientist , dr .<br> christmas jones ( denise richards ) , and his old rival valentin zukovsky ( robert carlyle ) .	1	-2	 along[0] the[0] way[0] bond[0] has[0] to[0] enlist[0] the[0] help[0] of[0] a[0] nuclear[0] scientist[0] dr[0] [[Sentence=-1,1=word max, 1-5]] christmas[0] jones[0] denise[0] richards[0] and[0] his[0] old[0] rival[-1] valentin[0] zukovsky[0] robert[0] carlyle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like all bond films , you basically just have to suspend disbelief over the plot , since it is ridiculous beyond words . 	like all bond films , you basically just have to suspend disbelief over the plot , since it is ridiculous beyond words .	2	-3	 like[1] all[0] bond[0] films[0] you[0] basically[0] just[0] have[0] to[0] suspend[-1] disbelief[-1] over[0] the[0] plot[0] since[0] it[0] is[0] ridiculous[-2] beyond[0] words[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
my biggest complaint would be that it was about the most disjointed of any of the bond films . 	my biggest complaint would be that it was about the most disjointed of any of the bond films .	1	-2	 my[0] biggest[0] complaint[-1] would[0] be[0] that[0] it[0] was[0] about[0] the[0] most[0] disjointed[0] of[0] any[0] of[0] the[0] bond[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there was at least one point that i had to stop and try to remember why bond was where he was and why he was doing what he was doing . 	there was at least one point that i had to stop and try to remember why bond was where he was and why he was doing what he was doing .	1	-1	 there[0] was[0] at[0] least[0] one[0] point[0] that[0] i[0] had[0] to[0] stop[0] and[0] try[0] to[0] remember[0] why[0] bond[0] was[0] where[0] he[0] was[0] and[0] why[0] he[0] was[0] doing[0] what[0] he[0] was[0] doing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the buddy that i saw the movie with was completely confused over an earlier kidnapping of marceau's character . 	the buddy that i saw the movie with was completely confused over an earlier kidnapping of marceau's character .	1	-3	 the[0] buddy[0] that[0] i[0] saw[0] the[0] movie[0] with[0] was[0] completely[0] confused[-1][-1 LastWordBoosterStrength] over[0] an[0] earlier[0] kidnapping[0] of[0] marceau's[0] character[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was alluded to earlier in the movie briefly -- although not included in the film . 	it was alluded to earlier in the movie briefly - although not included in the film .	1	-1	 it[0] was[0] alluded[0] to[0] earlier[0] in[0] the[0] movie[0] briefly[0] although[0] not[0] included[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
