when i first heard about scream in 1996 , i was told that it was a spoof of horror movies . 	Translation	Positive	Negative	EmotionRationale
from the master of the horror himself , wes craven , it ridiculed the cliches of the genre by overemphasizing them , by making the teenagers do what they know they're not supposed to do when a serial killer is stalking them ( don't run up the stairs when you can easily go out the front door , never say " i'll be right back , " etc . ) . 	from the master of the horror himself , wes craven , it ridiculed the cliches of the genre by overemphasizing them , by making the teenagers do what they know they're not supposed to do when a serial killer is stalking them ( don't run up the stairs when you can easily go out the front door , never say " i'll be right back , " etc .<br> ) .	1	-4	 from[0] the[0] master[0] of[0] the[0] horror[-3] himself[0] wes[0] craven[-1] it[0] ridiculed[-2] the[0] cliches[0] of[0] the[0] genre[0] by[0] overemphasizing[0] them[0] by[0] making[0] the[0] teenagers[0] do[0] what[0] they[0] know[0] they're[0] not[0] supposed[0] to[0] do[0] when[0] a[0] serial[0] killer[-1] is[0] stalking[0] them[0] don't[0] run[0] up[0] the[0] stairs[0] when[0] you[0] can[0] easily[0] go[0] out[0] the[0] front[0] door[0] never[0] say[0] i'll[0] be[0] right[0] back[0] etc[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when i first heard this description , i figured that it was an easy way out of making a bad movie . 	when i first heard this description , i figured that it was an easy way out of making a bad movie .	1	-2	 when[0] i[0] first[0] heard[0] this[0] description[0] i[0] figured[0] that[0] it[0] was[0] an[0] easy[0] way[0] out[0] of[0] making[0] a[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how hard is it to make an extremely terrible film but claim it is actually a mockery of other bad movies . 	how hard is it to make an extremely terrible film but claim it is actually a mockery of other bad movies .	1	-5	 how[0] hard[0] is[0] it[0] to[0] make[0] an[0] extremely[0] terrible[-3][-2 LastWordBoosterStrength] film[0] but[0] claim[0] it[0] is[0] actually[0] a[0] mockery[-2] of[0] other[0] bad[-1] movies[0] [[Sentence=-6,1=word max, 1-5]][[[1,-5 max of sentences]]]
was this wes craven's remedy from making " real " bad movies such as vampires in brooklyn ? 	was this wes craven's remedy from making " real " bad movies such as vampires in brooklyn ?	1	-2	 was[0] this[0] wes[0] craven's[-1] remedy[0] from[0] making[0] real[0] bad[-1] movies[0] such[0] as[0] vampires[0] in[0] brooklyn[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it just seemed cheap to me . 	it just seemed cheap to me .	1	-2	 it[0] just[0] seemed[0] cheap[-1] to[0] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then i actually saw the movie and the first twenty minutes , involving drew barrymore and a nail-bitingly intense phone conversation , completely changed my attitude . 	then i actually saw the movie and the first twenty minutes , involving drew barrymore and a nail-bitingly intense phone conversation , completely changed my attitude .	1	-1	 then[0] i[0] actually[0] saw[0] the[0] movie[0] and[0] the[0] first[0] twenty[0] minutes[0] involving[0] drew[0] barrymore[0] and[0] a[0] nail[0] bitingly[0] intense[0] phone[0] conversation[0] completely[0] changed[0] my[0] attitude[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scream is not only a clever parody of your standard horror flick , it's also a pretty scary movie . 	scream is not only a clever parody of your standard horror flick , it's also a pretty scary movie .	3	-4	 scream[-3] is[0] not[0] only[0] a[0] clever[0] parody[0] of[0] your[0] standard[0] horror[-3] flick[0] it's[0] also[0] a[0] pretty[2] scary[-3] movie[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
if you've seen a million of these kinds of films , you know exactly what is going to happen . 	if you've seen a million of these kinds of films , you know exactly what is going to happen .	1	-1	 if[0] you've[0] seen[0] a[0] million[0] of[0] these[0] kinds[0] of[0] films[0] you[0] know[0] exactly[0] what[0] is[0] going[0] to[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is part of the fun of watching scream . 	this is part of the fun of watching scream .	2	-4	 this[0] is[0] part[0] of[0] the[0] fun[1] of[0] watching[0] scream[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the movie reminds avid horror fans how similar and repetitive the genre is and it also reminds them how great a guilty pleasure it can be to watch pointless and predictable violence to innocent , attractive teenagers . 	the movie reminds avid horror fans how similar and repetitive the genre is and it also reminds them how great a guilty pleasure it can be to watch pointless and predictable violence to innocent , attractive teenagers .	3	-4	 the[0] movie[0] reminds[0] avid[0] horror[-3] fans[0] how[0] similar[0] and[0] repetitive[0] the[0] genre[0] is[0] and[0] it[0] also[0] reminds[0] them[0] how[0] great[2] a[0] guilty[-3] pleasure[2] it[0] can[0] be[0] to[0] watch[0] pointless[-1] and[0] predictable[0] violence[-3] to[0] innocent[1] attractive[1] teenagers[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
to those who rarely see these types of movies , scream is a thrilling unpredictable ride that could be mistaken as a serious slasher film . 	to those who rarely see these types of movies , scream is a thrilling unpredictable ride that could be mistaken as a serious slasher film .	4	-4	 to[0] those[0] who[0] rarely[0] see[0] these[0] types[0] of[0] movies[0] scream[-3] is[0] a[0] thrilling[3] unpredictable[0] ride[0] that[0] could[0] be[0] mistaken[-1] as[0] a[0] serious[-1] slasher[-1] film[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
there's nothing wrong with that misjudgment though . 	there's nothing wrong with that misjudgment though .	1	-2	 there's[0] nothing[0] wrong[-1] with[0] that[0] misjudgment[0] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have witnessed viewers from both sides of the audience , the newbies to horror and the fanatics . 	i have witnessed viewers from both sides of the audience , the newbies to horror and the fanatics .	1	-4	 i[0] have[0] witnessed[0] viewers[0] from[0] both[0] sides[0] of[0] the[0] audience[0] the[0] newbies[0] to[0] horror[-3] and[0] the[0] fanatics[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
their opinions on the film were so different but both very positive . 	their opinions on the film were so different but both very positive .	4	-1	 their[0] opinions[0] on[0] the[0] film[0] were[0] so[0] different[0] but[0] both[0] very[0] positive[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
from these varied reviews , i am convinced that scream has not only revived the teen horror movie and the normal teen romance movies but also the hilarious parodies of these and other categories . 	from these varied reviews , i am convinced that scream has not only revived the teen horror movie and the normal teen romance movies but also the hilarious parodies of these and other categories .	4	-4	 from[0] these[0] varied[0] reviews[0] i[0] am[0] convinced[0] that[0] scream[-3] has[0] not[0] only[0] revived[0] the[0] teen[0] horror[-3] movie[0] and[0] the[0] normal[0] teen[0] romance[3] movies[0] but[0] also[0] the[0] hilarious[2] parodies[0] of[0] these[0] and[0] other[0] categories[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
films that both deride and celebrate genres like galaxy quest and the big hit would not have existed , in my opinion , if it was not for the outstanding success of scream . 	films that both deride and celebrate genres like galaxy quest and the big hit would not have existed , in my opinion , if it was not for the outstanding success of scream .	4	-4	 films[0] that[0] both[0] deride[-1] and[0] celebrate[1] genres[0] like[1] galaxy[0] quest[0] and[0] the[0] big[0] hit[0] would[0] not[0] have[0] existed[0] in[0] my[0] opinion[0] if[0] it[0] was[0] not[0] for[0] the[0] outstanding[2] success[2][+1 MultiplePositiveWords] of[0] scream[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the low - budget 1996 gem may , alongside pulp fiction , be the most influential film of the 1990's . 	the low - budget 1996 gem may , alongside pulp fiction , be the most influential film of the 1990's .	1	-2	 the[0] low[-1] budget[0] 1996[0] gem[0] may[0] alongside[0] pulp[0] fiction[0] be[0] the[0] most[0] influential[0] film[0] of[0] the[0] 1990's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this influence may exist to the chagrin of some moviegoers who despise movies like teaching mrs . tingle or television programs such as dawson's creek but to others such as myself , we congratulate the movie that has opened new doors for excellent young actors , screenwriters , and directors . 	this influence may exist to the chagrin of some moviegoers who despise movies like teaching mrs .<br> tingle or television programs such as dawson's creek but to others such as myself , we congratulate the movie that has opened new doors for excellent young actors , screenwriters , and directors .	4	-4	 this[0] influence[0] may[0] exist[0] to[0] the[0] chagrin[0] of[0] some[0] moviegoers[0] who[0] despise[-3] movies[0] like[1] teaching[0] mrs[0] [[Sentence=-4,2=word max, 1-5]] tingle[0] or[0] television[0] programs[0] such[0] as[0] dawson's[0] creek[0] but[0] to[0] others[0] such[0] as[0] myself[0] we[0] congratulate[1] the[0] movie[0] that[0] has[0] opened[0] new[0] doors[0] for[0] excellent[3] young[0] actors[0] screenwriters[0] and[0] directors[0] [[Sentence=-1,4=word max, 1-5]][[[4,-4 max of sentences]]]
scream is also an extremely funny movie thanks to its quickly-paced script by kevin williamson . 	scream is also an extremely funny movie thanks to its quickly-paced script by kevin williamson .	4	-4	 scream[-3] is[0] also[0] an[0] extremely[0] funny[1][2 LastWordBoosterStrength] movie[0] thanks[1] to[0] its[0] quickly[0] paced[0] script[0] by[0] kevin[0] williamson[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
within the film are characters who tell other characters , as well as the audience , the basic rules and cliches of a horror movie . 	within the film are characters who tell other characters , as well as the audience , the basic rules and cliches of a horror movie .	1	-4	 within[0] the[0] film[0] are[0] characters[0] who[0] tell[0] other[0] characters[0] as[0] well[0] as[0] the[0] audience[0] the[0] basic[0] rules[0] and[0] cliches[0] of[0] a[0] horror[-3] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
