`we run tings . 	Translation	Positive	Negative	EmotionRationale
tings don't run we . ' 	tings don't run we .<br> '	1	-1	 tings[0] don't[0] run[0] we[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-sound advice from capone ( paul campbell ) to his squaddie ( or partner ) , floyd ( winston bell ) . 	-sound advice from capone ( paul campbell ) to his squaddie ( or partner ) , floyd ( winston bell ) .	1	-1	 sound[0] advice[0] from[0] capone[0] paul[0] campbell[0] to[0] his[0] squaddie[0] or[0] partner[0] floyd[0] winston[0] bell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jamaican film , shot entirely on video , featuring a standard cop movie plot mixed with a dash of john woo-styled brotherhood morals ( and a little gunplay ) . 	jamaican film , shot entirely on video , featuring a standard cop movie plot mixed with a dash of john woo-styled brotherhood morals ( and a little gunplay ) .	1	-2	 jamaican[0] film[0] shot[-1] entirely[0] on[0] video[0] featuring[0] a[0] standard[0] cop[0] movie[0] plot[0] mixed[0] with[0] a[0] dash[0] of[0] john[0] woo[0] styled[0] brotherhood[0] morals[0] and[0] a[0] little[0] gunplay[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
capone , a tough as nails super cop , gets a transfer back to his hometown of kingston after successfully taking down some gangsters that have broken into his home ( while he was with his lady ) and killed his partner in front of him . 	capone , a tough as nails super cop , gets a transfer back to his hometown of kingston after successfully taking down some gangsters that have broken into his home ( while he was with his lady ) and killed his partner in front of him .	3	-4	 capone[0] a[0] tough[-1] as[0] nails[0] super[2] cop[0] gets[0] a[0] transfer[0] back[0] to[0] his[0] hometown[0] of[0] kingston[0] after[0] successfully[2] taking[0] down[0] some[0] gangsters[0] that[0] have[0] broken[-1] into[0] his[0] home[0] while[0] he[0] was[0] with[0] his[0] lady[0] and[0] killed[-3] his[0] partner[0] in[0] front[0] of[0] him[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
when he arrives , he discovers that the ghetto where he grew up has gotten worse , thanks mainly to the crime boss wonie ( jamaican film veteran carl bradshaw ) , so named because his left hand has been amputated and replaced by a grasping hook ) . 	when he arrives , he discovers that the ghetto where he grew up has gotten worse , thanks mainly to the crime boss wonie ( jamaican film veteran carl bradshaw ) , so named because his left hand has been amputated and replaced by a grasping hook ) .	2	-3	 when[0] he[0] arrives[0] he[0] discovers[0] that[0] the[0] ghetto[-1] where[0] he[0] grew[0] up[0] has[0] gotten[0] worse[-2] thanks[1] mainly[0] to[0] the[0] crime[-1] boss[0] wonie[0] jamaican[0] film[0] veteran[0] carl[0] bradshaw[0] so[0] named[0] because[0] his[0] left[0] hand[0] has[0] been[0] amputated[-1] and[0] replaced[0] by[0] a[0] grasping[0] hook[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
capone discovers that wonie has been smuggling guns inside shipments of charity supplies for the area churches and , much to his disappointment , also finds out his childhood friend ratty ( mark danvers ) has been helping him . 	capone discovers that wonie has been smuggling guns inside shipments of charity supplies for the area churches and , much to his disappointment , also finds out his childhood friend ratty ( mark danvers ) has been helping him .	2	-2	 capone[0] discovers[0] that[0] wonie[0] has[0] been[0] smuggling[-1] guns[-1] inside[0] shipments[0] of[0] charity[0] supplies[0] for[0] the[0] area[0] churches[0] and[0] much[0] to[0] his[0] disappointment[-1] also[0] finds[0] out[0] his[0] childhood[0] friend[1] ratty[0] mark[0] danvers[0] has[0] been[0] helping[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
torn between doing his job and protecting his best friend , capone must make some hard decisions in order to make things right again . 	torn between doing his job and protecting his best friend , capone must make some hard decisions in order to make things right again .	2	-1	 torn[0] between[0] doing[0] his[0] job[0] and[0] protecting[0] his[0] best[1] friend[1] capone[0] must[0] make[0] some[0] hard[0] decisions[0] in[0] order[0] to[0] make[0] things[0] right[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
directed deftly by first time jamaican filmmaker chris browne ( assistant director for such american films as how stella got her groove back and instinct ) , one hardly notices the film was shot on video after a while . 	directed deftly by first time jamaican filmmaker chris browne ( assistant director for such american films as how stella got her groove back and instinct ) , one hardly notices the film was shot on video after a while .	1	-2	 directed[0] deftly[0] by[0] first[0] time[0] jamaican[0] filmmaker[0] chris[0] browne[0] assistant[0] director[0] for[0] such[0] american[0] films[0] as[0] how[0] stella[0] got[0] her[0] groove[0] back[0] and[0] instinct[0] one[0] hardly[0] notices[0] the[0] film[0] was[0] shot[-1] on[0] video[0] after[0] a[0] while[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shots are handled so efficiently that they quickly take on the nuances of the aforementioned john woo films , although the action isn't as hyperkinetic as most of woo's films are . 	shots are handled so efficiently that they quickly take on the nuances of the aforementioned john woo films , although the action isn't as hyperkinetic as most of woo's films are .	1	-1	 shots[0] are[0] handled[0] so[0] efficiently[0] that[0] they[0] quickly[0] take[0] on[0] the[0] nuances[0] of[0] the[0] aforementioned[0] john[0] woo[0] films[0] although[0] the[0] action[0] isn't[0] as[0] hyperkinetic[0] as[0] most[0] of[0] woo's[0] films[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the action scenes are handled with a kind of flair though , and eventually begin to take on a life of their own ( beyond the hong kong films that they are obviously patterned after ) . 	the action scenes are handled with a kind of flair though , and eventually begin to take on a life of their own ( beyond the hong kong films that they are obviously patterned after ) .	2	-1	 the[0] action[0] scenes[0] are[0] handled[0] with[0] a[0] kind[1] of[0] flair[0] though[0] and[0] eventually[0] begin[0] to[0] take[0] on[0] a[0] life[0] of[0] their[0] own[0] beyond[0] the[0] hong[0] kong[0] films[0] that[0] they[0] are[0] obviously[0] patterned[0] after[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the make-up effects are particularly good in these scenes as well , with flawless squib work on display from the effects team . 	the make-up effects are particularly good in these scenes as well , with flawless squib work on display from the effects team .	2	-1	 the[0] make[0] up[0] effects[0] are[0] particularly[0] good[1] in[0] these[0] scenes[0] as[0] well[0] with[0] flawless[1] squib[0] work[0] on[0] display[0] from[0] the[0] effects[0] team[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cast is superb and listening to their dialogue , spoken with thick jamaican accents ( half of which have to be subtitled because of their extensive use of slang ) , just adds to the interest . 	the cast is superb and listening to their dialogue , spoken with thick jamaican accents ( half of which have to be subtitled because of their extensive use of slang ) , just adds to the interest .	2	-1	 the[0] cast[0] is[0] superb[0] and[0] listening[0] to[0] their[0] dialogue[0] spoken[0] with[0] thick[0] jamaican[0] accents[0] half[0] of[0] which[0] have[0] to[0] be[0] subtitled[0] because[0] of[0] their[0] extensive[0] use[0] of[0] slang[0] just[0] adds[0] to[0] the[0] interest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
paul campbell , as the  loose cannon' capone , essays his role perfectly , displaying the right amount of menace and compassion at the right times . 	paul campbell , as the  loose cannon' capone , essays his role perfectly , displaying the right amount of menace and compassion at the right times .	2	-3	 paul[0] campbell[0] as[0] the[0] loose[0] cannon'[0] capone[0] essays[0] his[0] role[0] perfectly[1] displaying[0] the[0] right[0] amount[0] of[0] menace[-2] and[0] compassion[1] at[0] the[0] right[0] times[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mark danvers evokes sympathy as ratty , the part-time gun smuggler who is also trying to help the community by building football fields and organizing block parties to bring people together . 	mark danvers evokes sympathy as ratty , the part-time gun smuggler who is also trying to help the community by building football fields and organizing block parties to bring people together .	1	-2	 mark[0] danvers[0] evokes[0] sympathy[0] as[0] ratty[0] the[0] part[0] time[0] gun[-1] smuggler[-1] who[0] is[0] also[0] trying[0] to[0] help[0] the[0] community[0] by[0] building[0] football[0] fields[0] and[0] organizing[0] block[-1] parties[0] to[0] bring[0] people[0] together[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , carl bradshaw is given the least to do and his character as the crime boss seems ineffective ( largely because his underlings seem to run all over him ) , but then again , that could be the way his character was intended to be portrayed . 	unfortunately , carl bradshaw is given the least to do and his character as the crime boss seems ineffective ( largely because his underlings seem to run all over him ) , but then again , that could be the way his character was intended to be portrayed .	1	-2	 unfortunately[-1] carl[0] bradshaw[0] is[0] given[0] the[0] least[0] to[0] do[0] and[0] his[0] character[0] as[0] the[0] crime[-1] boss[0] seems[0] ineffective[-1] largely[0] because[0] his[0] underlings[0] seem[0] to[0] run[0] all[0] over[0] him[0] but[0] then[0] again[0] that[0] could[0] be[0] the[0] way[0] his[0] character[0] was[0] intended[0] to[0] be[0] portrayed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the music in the film is composed of all reggae songs , and the soundtrack was produced by grammy award winning artists , sly and robbie ( who have worked with the likes of the rolling stones , maxi priest , bob dylan , james brown , grace jones , herbie hancock , bootsy collins , and carly simon among others ) . 	the music in the film is composed of all reggae songs , and the soundtrack was produced by grammy award winning artists , sly and robbie ( who have worked with the likes of the rolling stones , maxi priest , bob dylan , james brown , grace jones , herbie hancock , bootsy collins , and carly simon among others ) .	3	-2	 the[0] music[0] in[0] the[0] film[0] is[0] composed[0] of[0] all[0] reggae[0] songs[0] and[0] the[0] soundtrack[0] was[0] produced[0] by[0] grammy[0] award[0] winning[1] artists[0] sly[-1] and[0] robbie[0] who[0] have[0] worked[0] with[0] the[0] likes[2] of[0] the[0] rolling[0] stones[0] maxi[0] priest[0] bob[0] dylan[0] james[0] brown[0] grace[2] jones[0] herbie[0] hancock[0] bootsy[0] collins[0] and[0] carly[0] simon[0] among[0] others[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
