tarzan chad'z = good ) 1999 , g , 90 minutes [1 hour , 30 minutes] [animated - adventure/drama] starring the voices of : tony goldwyn ( tarzan ) , minnie driver ( jane porter ) , lance henriksen ( kerchak ) , brian blessed ( clayton ) ; written by tab murphy , bob tzudiker , noni white ; produced by bonnie arnold ; directed by chris buck , kevin lima ; based on the story `tarzan of the apes' and characters created by edgar rice burroughs . 	Translation	Positive	Negative	EmotionRationale
seen july 4 , 1999 at 7 : 15 p . m . at crossgates cinemas 18 ( guilderland , ny ) , theater #9 , by myself for free using my hoyts season pass . 	seen july 4 , 199 at 7 : 15 p .<br> m .<br> at crossgates cinemas 18 ( guilderland , ny ) , theater #9 , by myself for free using my hoyts season pass .	1	-1	 seen[0] july[0] 4[0] 1999/199[0] at[0] 7[0] 15[0] p[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]] at[0] crossgates[0] cinemas[0] 18[0] guilderland[0] ny[0] theater[0] #9[0] by[0] myself[0] for[0] free[0] using[0] my[0] hoyts[0] season[0] pass[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[theater rating : * * * 1/2 : very good sound , picture and seats] 	[theater rating : * * * 1/2 : very good sound , picture and seats]	3	-1	 [theater[0] rating[0] 1/2[0] very[0] good[1][1 LastWordBoosterStrength] sound[0] picture[0] and[0] seats][0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
title :  tarzan' beautiful to look at , easy to follow . 	title :  tarzan' beautiful to look at , easy to follow .	3	-1	 title[0] tarzan'[0] beautiful[2] to[0] look[0] at[0] easy[0] to[0] follow[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
review : disney continues its trend of producing animated summer blockbuster movies meant mostly for children but with enough wit and charm for adults to be interested and at least entertained by the story . 	review : disney continues its trend of producing animated summer blockbuster movies meant mostly for children but with enough wit and charm for adults to be interested and at least entertained by the story .	2	-2	 review[0] disney[0] continues[0] its[0] trend[0] of[0] producing[0] animated[0] summer[0] blockbuster[-1] movies[0] meant[0] mostly[0] for[0] children[0] but[0] with[0] enough[0] wit[0] and[0] charm[1] for[0] adults[0] to[0] be[0] interested[1] and[0] at[0] least[0] entertained[0] by[0] the[0] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the basic premise is the same as every other  tarzan' story : a boy is raised in the african jungle by gorillas and becomes one himself never really understanding ( or even noticing ) that he's human and is a lot different from the animals he befriends . 	the basic premise is the same as every other  tarzan' story : a boy is raised in the african jungle by gorillas and becomes one himself never really understanding ( or even noticing ) that he's human and is a lot different from the animals he befriends .	1	-1	 the[0] basic[0] premise[0] is[0] the[0] same[0] as[0] every[0] other[0] tarzan'[0] story[0] a[0] boy[0] is[0] raised[0] in[0] the[0] african[0] jungle[0] by[0] gorillas[0] and[0] becomes[0] one[0] himself[0] never[0] really[0] understanding[0] or[0] even[0] noticing[0] that[0] he's[0] human[0] and[0] is[0] a[0] lot[0] different[0] from[0] the[0] animals[0] he[0] befriends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first third of the film shows how tarzan comes to be adopted by kala ( voiced by glen close ) , a female gorilla who lost her own child in a classic case of darwanism . 	the first third of the film shows how tarzan comes to be adopted by kala ( voiced by glen close ) , a female gorilla who lost her own child in a classic case of darwanism .	1	-1	 the[0] first[0] third[0] of[0] the[0] film[0] shows[0] how[0] tarzan[0] comes[0] to[0] be[0] adopted[0] by[0] kala[0] voiced[0] by[0] glen[0] close[0] a[0] female[0] gorilla[0] who[0] lost[0] her[0] own[0] child[0] in[0] a[0] classic[0] case[0] of[0] darwanism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her mate , kerchak ( henriksen ) , is a mean , conservative leader of the pack of gorillas who make up tarzan's extended family . 	her mate , kerchak ( henriksen ) , is a mean , conservative leader of the pack of gorillas who make up tarzan's extended family .	2	-1	 her[0] mate[1] kerchak[0] henriksen[0] is[0] a[0] mean[0] conservative[0] leader[0] of[0] the[0] pack[0] of[0] gorillas[0] who[0] make[0] up[0] tarzan's[0] extended[0] family[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he refuses to acknowledge tarzan ( voiced by alex d . linz during the childhood scenes ) as a son and often has to hold himself back from killing tarzan after he continually does dangerous , wild things that are the result of his own childish instincts . 	he refuses to acknowledge tarzan ( voiced by alex d .<br> linz during the childhood scenes ) as a son and often has to hold himself back from killing tarzan after he continually does dangerous , wild things that are the result of his own childish instincts .	1	-2	 he[0] refuses[-1] to[0] acknowledge[0] tarzan[0] voiced[0] by[0] alex[0] d[0] [[Sentence=-2,1=word max, 1-5]] linz[0] during[0] the[0] childhood[0] scenes[0] as[0] a[0] son[0] and[0] often[0] has[0] to[0] hold[0] himself[0] back[0] from[0] killing[-1] tarzan[0] after[0] he[0] continually[0] does[0] dangerous[-1] wild[0] things[0] that[0] are[0] the[0] result[0] of[0] his[0] own[0] childish[-1] instincts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have a feeling children will quickly be able to identify with tarzan since all he really is is just a kid who wants to have fun and it's funny how the adults fail to comprehend this . 	i have a feeling children will quickly be able to identify with tarzan since all he really is is just a kid who wants to have fun and it's funny how the adults fail to comprehend this .	2	-3	 i[0] have[0] a[0] feeling[0] children[0] will[0] quickly[0] be[0] able[0] to[0] identify[0] with[0] tarzan[0] since[0] all[0] he[0] really[0] is[0] is[0] just[0] a[0] kid[0] who[0] wants[0] to[0] have[0] fun[1] and[0] it's[0] funny[1] how[0] the[0] adults[0] fail[-2] to[0] comprehend[0] this[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
later , as the story transitions from tarzan as a child to a full-grown man ( voiced by goldwyn ) , he is encounter by a party of three humans from england : jane porter ( driver ) , a beautiful woman who is something of a zoologist and an artist , her father prof . archimedes q . porter ( voiced by nigel hawthorne ) who is also a scientist ; and their slick and cunning , yet barbaric safari bodyguard clayton ( blessed ) . 	later , as the story transitions from tarzan as a child to a full-grown man ( voiced by goldwyn ) , he is encounter by a party of three humans from england : jane porter ( driver ) , a beautiful woman who is something of a zoologist and an artist , her father prof .<br> archimedes q .<br> porter ( voiced by nigel hawthorne ) who is also a scientist ; and their slick and cunning , yet barbaric safari bodyguard clayton ( blessed ) .	3	-3	 later[0] as[0] the[0] story[0] transitions[0] from[0] tarzan[0] as[0] a[0] child[0] to[0] a[0] full[0] grown[0] man[0] voiced[0] by[0] goldwyn[0] he[0] is[0] encounter[0] by[0] a[0] party[0] of[0] three[0] humans[0] from[0] england[0] jane[0] porter[0] driver[0] a[0] beautiful[2] woman[0] who[0] is[0] something[0] of[0] a[0] zoologist[0] and[0] an[0] artist[0] her[0] father[0] prof[0] [[Sentence=-1,3=word max, 1-5]] archimedes[0] q[0] [[Sentence=-1,1=word max, 1-5]] porter[0] voiced[0] by[0] nigel[0] hawthorne[0] who[0] is[0] also[0] a[0] scientist[0] and[0] their[0] slick[0] and[0] cunning[0] yet[0] barbaric[-2] safari[0] bodyguard[0] clayton[0] blessed[1] [[Sentence=-3,2=word max, 1-5]][[[3,-3 max of sentences]]]
