unzipped is a cinematic portrait of isaac mizrahi , an artist whose palette is fabric . 	Translation	Positive	Negative	EmotionRationale
ostensibly , the film is a documentary , but use of that term requires stretching its meaning . 	ostensibly , the film is a documentary , but use of that term requires stretching its meaning .	1	-1	 ostensibly[0] the[0] film[0] is[0] a[0] documentary[0] but[0] use[0] of[0] that[0] term[0] requires[0] stretching[0] its[0] meaning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many scenes appear staged , and a great deal of cutting-and-pasting has been done in the editing room . 	many scenes appear staged , and a great deal of cutting-and-pasting has been done in the editing room .	3	-1	 many[0] scenes[0] appear[0] staged[0] and[0] a[0] great[2] deal[0] of[0] cutting[0] and[0] pasting[0] has[0] been[0] done[0] in[0] the[0] editing[0] room[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the cinema verite effect is a conceit -- genuine spontaneity is at a premium , and everyone is aware of and playing to the camera ( especially would-be actresses like cindy crawford ) . 	the cinema verite effect is a conceit - genuine spontaneity is at a premium , and everyone is aware of and playing to the camera ( especially would-be actresses like cindy crawford ) .	2	-2	 the[0] cinema[0] verite[0] effect[0] is[0] a[0] conceit[-1] genuine[0] spontaneity[0] is[0] at[0] a[0] premium[0] and[0] everyone[0] is[0] aware[0] of[0] and[0] playing[1] to[0] the[0] camera[0] especially[0] would[0] be[0] actresses[0] like[1] cindy[0] crawford[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
director douglas keeve ( who was mizrahi's lover at the time ) freely admits that he " couldn't care less about the truth " but was more interested in capturing " the spirit and love in isaac and in fashion . " 	director douglas keeve ( who was mizrahi's lover at the time ) freely admits that he " couldn't care less about the truth " but was more interested in capturing " the spirit and love in isac and in fashion .<br> "	4	-2	 director[0] douglas[0] keeve[0] who[0] was[0] mizrahi's[0] lover[3] at[0] the[0] time[0] freely[0] admits[0] that[0] he[0] couldn't[0] care[1][NegatedDueToPreviousWord] less[0] about[0] the[0] truth[1] but[0] was[0] more[0] interested[1] in[0] capturing[0] the[0] spirit[0] and[0] love[2] in[0] isaac/isac[0] and[0] in[0] fashion[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
despite violating nearly every rule of " legitimate " documentary film making , however , unzipped is a remarkably enjoyable piece of entertainment . 	despite violating nearly every rule of " legitimate " documentary film making , however , unzipped is a remarkably enjoyable piece of entertainment .	3	-4	 despite[0] violating[-3] nearly[0] every[0] rule[0] of[0] legitimate[0] documentary[0] film[0] making[0] however[0] unzipped[0] is[0] a[0] remarkably[0] enjoyable[2] piece[0] of[0] entertainment[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
while it sheds only a little light on the behind-the-scenes world of the fashion industry , it presents a fascinating , if incomplete , picture of designer mizrahi . 	while it sheds only a little light on the behind-the-scenes world of the fashion industry , it presents a fascinating , if incomplete , picture of designer mizrahi .	1	-1	 while[0] it[0] sheds[0] only[0] a[0] little[0] light[0] on[0] the[0] behind[0] the[0] scenes[0] world[0] of[0] the[0] fashion[0] industry[0] it[0] presents[0] a[0] fascinating[0] if[0] incomplete[0] picture[0] of[0] designer[0] mizrahi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this man is the perfect subject for this kind of study -- he's funny , energetic , and eminently quotable . 	this man is the perfect subject for this kind of study - he's funny , energetic , and eminently quotable .	2	-1	 this[0] man[0] is[0] the[0] perfect[1] subject[0] for[0] this[0] kind[1] of[0] study[0] he's[0] funny[1] energetic[0] and[0] eminently[0] quotable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has unusual views on just about everything , from fashion ( " it's about women not wanting to look like cows " ) to mary tyler moore ( " between her and jackie kennedy , they shaped this country " ) to style ( " it's almost impossible to have style nowadays without the right dogs " ) . 	he has unusual views on just about everything , from fashion ( " it's about women not wanting to look like cows " ) to mary tyler more ( " between her and jackie kennedy , they shaped this country " ) to style ( " it's almost impossible to have style nowadays without the right dogs " ) .	2	-1	 he[0] has[0] unusual[0] views[0] on[0] just[0] about[0] everything[0] from[0] fashion[0] it's[0] about[0] women[0] not[0] wanting[0] to[0] look[0] like[1] cows[0] to[0] mary[0] tyler[0] moore/more[0] between[0] her[0] and[0] jackie[0] kennedy[0] they[0] shaped[0] this[0] country[0] to[0] style[0] it's[0] almost[0] impossible[0] to[0] have[0] style[0] nowadays[0] without[0] the[0] right[0] dogs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unzipped also gives a glimpse into the creative process by which mizrahi turns an idea into a dress . 	unzipped also gives a glimpse into the creative process by which mizrahi turns an idea into a dress .	1	-1	 unzipped[0] also[0] gives[0] a[0] glimpse[0] into[0] the[0] creative[0] process[0] by[0] which[0] mizrahi[0] turns[0] an[0] idea[0] into[0] a[0] dress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's almost certainly different that anyone would imagine . 	it's almost certainly different that anyone would imagine .	1	-1	 it's[0] almost[0] certainly[0] different[0] that[0] anyone[0] would[0] imagine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the designer draws on a variety of sources for his look , including nanook of the north and old bette davis movies , then enlists the aid of a ouija board to help form the collection . 	the designer draws on a variety of sources for his look , including nanook of the north and old bette davis movies , then enlists the aid of a ouija board to help form the collection .	1	-2	 the[0] designer[0] draws[0] on[0] a[0] variety[0] of[0] sources[-1] for[0] his[0] look[0] including[0] nanook[0] of[0] the[0] north[0] and[0] old[0] bette[0] davis[0] movies[0] then[0] enlists[0] the[0] aid[0] of[0] a[0] ouija[0] board[0] to[0] help[0] form[0] the[0] collection[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in particular , unzipped traces mizrahi's development of his fall 1994 line from its inception in the spring to the final fashion show , which highlights a number of prominent models , including cindy crawford , naomi campbell , kate bush , and linda evangelista . 	in particular , unzipped traces mizrahi's development of his fall 1994 line from its inception in the spring to the final fashion show , which highlights a number of prominent models , including cindy crawford , naomi campbell , kate bush , and linda evangelista .	1	-1	 in[0] particular[0] unzipped[0] traces[0] mizrahi's[0] development[0] of[0] his[0] fall[0] 1994[0] line[0] from[0] its[0] inception[0] in[0] the[0] spring[0] to[0] the[0] final[0] fashion[0] show[0] which[0] highlights[0] a[0] number[0] of[0] prominent[0] models[0] including[0] cindy[0] crawford[0] naomi[0] campbell[0] kate[0] bush[0] and[0] linda[0] evangelista[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the technical side , a number of interesting choices were made in filming unzipped . 	on the technical side , a number of interesting choices were made in filming unzipped .	2	-1	 on[0] the[0] technical[0] side[0] a[0] number[0] of[0] interesting[1] choices[0] were[0] made[0] in[0] filming[0] unzipped[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
