bowfinger is a good movie about the making of a very bad one . 	Translation	Positive	Negative	EmotionRationale
the screenplay , written by co-star steve martin , skewers everything in hollywood from cheesy science-fiction movies to chop-socky fight sequences , and all in a crafty and accomplished manner . 	the screenplay , written by co-star steve martin , skewers everything in hollywood from cheesy science-fiction movies to chop-socky fight sequences , and all in a crafty and accomplished manner .	2	-3	 the[0] screenplay[0] written[0] by[0] co[0] star[0] steve[0] martin[0] skewers[0] everything[0] in[0] hollywood[0] from[0] cheesy[0] science[0] fiction[0] movies[0] to[0] chop[0] socky[0] fight[-2] sequences[0] and[0] all[0] in[0] a[0] crafty[-1] and[0] accomplished[1] manner[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
anyone who knows of , or has had any association with movie-making should thoroughly enjoy this clever comedy for it's entire duration . 	anyone who knows of , or has had any association with movie-making should thoroughly enjoy this clever comedy for it's entire duration .	3	-1	 anyone[0] who[0] knows[0] of[0] or[0] has[0] had[0] any[0] association[0] with[0] movie[0] making[0] should[0] thoroughly[0] enjoy[2] this[0] clever[0] comedy[0] for[0] it's[0] entire[0] duration[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the central premise behind the film is an inspired and promising one . 	the central premise behind the film is an inspired and promising one .	3	-1	 the[0] central[0] premise[0] behind[0] the[0] film[0] is[0] an[0] inspired[2] and[0] promising[1] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bobby bowfinger ( martin ) , a cheapskate and small-time hollywood producer , has always dreamed of making a successful motion picture but has never attained the proper tools to do so . 	bobby bowfinger ( martin ) , a cheapskate and small-time hollywood producer , has always dreamed of making a successful motion picture but has never attained the proper tools to do so .	3	-2	 bobby[0] bowfinger[0] martin[0] a[0] cheapskate[-1] and[0] small[0] time[0] hollywood[0] producer[0] has[0] always[0] dreamed[0] of[0] making[0] a[0] successful[2] motion[0] picture[0] but[0] has[0] never[0] attained[0] the[0] proper[0] tools[0] to[0] do[0] so[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a new script , an alien invasion story entitled chubby rain , has caught bowfinger's eye . 	a new script , an alien invasion story entitled chubby rain , has caught bowfinger's eye .	1	-2	 a[0] new[0] script[0] an[0] alien[-1] invasion[0] story[0] entitled[0] chubby[0] rain[0] has[0] caught[0] bowfinger's[0] eye[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after confronting a big-name producer named jerry renfro ( robert downey jr . ) in a restaurant , an agreement is made to finance the movie . 	after confronting a big-name producer named jerry renfro ( robert downey jr .<br> ) in a restaurant , an agreement is made to finance the movie .	1	-3	 after[0] confronting[-2] a[0] big[0] name[0] producer[0] named[0] jerry[0] renfro[0] robert[0] downey[0] jr[0] [[Sentence=-3,1=word max, 1-5]] in[0] a[0] restaurant[0] an[0] agreement[0] is[0] made[0] to[0] finance[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
but first , bowfinger must get renowned action star kit ramsey ( eddie murphy ) to sign in on the project . 	but first , bowfinger must get renowned action star kit ramsey ( eddie murphy ) to sign in on the project .	1	-1	 but[0] first[0] bowfinger[0] must[0] get[0] renowned[0] action[0] star[0] kit[0] ramsey[0] eddie[0] murphy[0] to[0] sign[0] in[0] on[0] the[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kit turns the offer down immediately , but bowfinger still has the intent to shoot the film . 	kit turns the offer down immediately , but bowfinger still has the intent to shoot the film .	1	-2	 kit[0] turns[0] the[0] offer[0] down[0] immediately[0] but[0] bowfinger[0] still[0] has[0] the[0] intent[0] to[0] shoot[-1] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after emptying out his life savings , the hapless producer tells the remaining cast and crew that ramsey is involved , and then prepares to film the movie without the star's knowledge . 	after emptying out his life savings , the hapless producer tells the remaining cast and crew that ramsey is involved , and then prepares to film the movie without the star's knowledge .	1	-2	 after[0] emptying[0] out[0] his[0] life[0] savings[0] the[0] hapless[-1] producer[0] tells[0] the[0] remaining[0] cast[0] and[0] crew[0] that[0] ramsey[0] is[0] involved[0] and[0] then[0] prepares[0] to[0] film[0] the[0] movie[0] without[0] the[0] star's[0] knowledge[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the actors confront ramsey on the street , saying their lines as hidden cameras peek through bushes to capture the footage . 	the actors confront ramsey on the street , saying their lines as hidden cameras peek through bushes to capture the footage .	1	-3	 the[0] actors[0] confront[-2] ramsey[0] on[0] the[0] street[0] saying[0] their[0] lines[0] as[0] hidden[0] cameras[0] peek[0] through[0] bushes[0] to[0] capture[-1] the[0] footage[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the unknowing star , who is terrified of aliens and being abducted , is brought to believe there is actually pod people after him . 	the unknowing star , who is terrified of aliens and being abducted , is brought to believe there is actually pod people after him .	1	-4	 the[0] unknowing[0] star[0] who[0] is[0] terrified[-3] of[0] aliens[0] and[0] being[0] abducted[0] is[0] brought[0] to[0] believe[0] there[0] is[0] actually[0] pod[0] people[0] after[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when the conditions become even more treacherous , bowfinger is forced to hire a kit ramsey look-alike named jiff ( also murphy ) , a sweet-natured dork who runs for coffee in-between shooting vital scenes . 	when the conditions become even more treacherous , bowfinger is forced to hire a kit ramsey look-alike named jiff ( also murphy ) , a sweet-natured dork who runs for coffee in-between shooting vital scenes .	2	-3	 when[0] the[0] conditions[0] become[0] even[0] more[0] treacherous[-2] bowfinger[0] is[0] forced[0] to[0] hire[0] a[0] kit[0] ramsey[0] look[0] alike[0] named[0] jiff[0] also[0] murphy[0] a[0] sweet[1] natured[0] dork[-2] who[0] runs[0] for[0] coffee[0] in[0] between[0] shooting[-1] vital[0] scenes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
these include attempting a suicide run across an 8-lane freeway , and one of the  hot' scenes involving supporting actress daisy ( heather graham ) removing her blouse . 	these include attempting a suicide run across an 8-lane freeway , and one of the  hot' scenes involving supporting actress daisy ( heather graham ) removing her blouse .	2	-4	 these[0] include[0] attempting[0] a[0] suicide[-3] run[0] across[0] an[0] 8[0] lane[0] freeway[0] and[0] one[0] of[0] the[0] hot'[0] scenes[0] involving[0] supporting[1] actress[0] daisy[0] heather[0] graham[0] removing[0] her[0] blouse[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
bowfinger takes it's sweet time getting started , but when the plot switches into high gear , great things happen . 	bowfinger takes it's sweet time getting started , but when the plot switches into high gear , great things happen .	3	-1	 bowfinger[0] takes[0] it's[0] sweet[1] time[0] getting[0] started[0] but[0] when[0] the[0] plot[0] switches[0] into[0] high[0] gear[0] great[2] things[0] happen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
