seen july 8 , 1998 at the crossgates cinema 18 , ( albany , ny ) , theater #7 , at 8 : 15 p . m . with my mom using hoyts cinema cash . 	Translation	Positive	Negative	EmotionRationale
[theater rating : * * * 1/2 : very good sound , picture , and seats] 	[theater rating : * * * 1/2 : very good sound , picture , and seats]	3	-1	 [theater[0] rating[0] 1/2[0] very[0] good[1][1 LastWordBoosterStrength] sound[0] picture[0] and[0] seats][0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's very rare that any medium of entertainment can give one an authentic , vivid sense of reality and life . 	it's very rare that any medium of entertainment can give one an authentic , vivid sense of reality and life .	1	-1	 it's[0] very[0] rare[0] that[0] any[0] medium[0] of[0] entertainment[0] can[0] give[0] one[0] an[0] authentic[0] vivid[0] sense[0] of[0] reality[0] and[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all stories are about select moments of time and places in the characters' lives , but only the truly great ones are able to define their realities well enough so the audience can experience it just as the characters do . 	all stories are about select moments of time and places in the characters' lives , but only the truly great ones are able to define their realities well enough so the audience can experience it just as the characters do .	3	-1	 all[0] stories[0] are[0] about[0] select[0] moments[0] of[0] time[0] and[0] places[0] in[0] the[0] characters'[0] lives[0] but[0] only[0] the[0] truly[1] great[2] ones[0] are[0] able[0] to[0] define[0] their[0] realities[0] well[0] enough[0] so[0] the[0] audience[0] can[0] experience[0] it[0] just[0] as[0] the[0] characters[0] do[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
therefore , " gone with the wind " deserves accolades for its ability to tell the epic story it does , in such a crafted , intricate , and entertaining manner . 	therefore , " gone with the wind " deserves accolades for its ability to tell the epic story it does , in such a crafted , intricate , and entertaining manner .	1	-1	 therefore[0] gone[0] with[0] the[0] wind[0] deserves[0] accolades[0] for[0] its[0] ability[0] to[0] tell[0] the[0] epic[0] story[0] it[0] does[0] in[0] such[0] a[0] crafted[0] intricate[0] and[0] entertaining[0] manner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a crowning achievement , not only in filmmaking , but for storytelling itself . 	it's a crowning achievement , not only in filmmaking , but for storytelling itself .	1	-1	 it's[0] a[0] crowning[0] achievement[0] not[0] only[0] in[0] filmmaking[0] but[0] for[0] storytelling[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film takes place in georgia before , during , and after the civil war . 	the film takes place in georgia before , during , and after the civil war .	1	-3	 the[0] film[0] takes[0] place[0] in[0] georgia[0] before[0] during[0] and[0] after[0] the[0] civil[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this plays a major factor in the film's success . 	this plays a major factor in the film's success .	3	-1	 this[0] plays[1] a[0] major[0] factor[0] in[0] the[0] film's[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to use such a historic setting presents many possibilities and problems since no one was alive at the time to verify its accuracy . 	to use such a historic setting presents many possibilities and problems since no one was alive at the time to verify its accuracy .	1	-2	 to[0] use[0] such[0] a[0] historic[0] setting[0] presents[0] many[0] possibilities[0] and[0] problems[-1] since[0] no[0] one[0] was[0] alive[0] at[0] the[0] time[0] to[0] verify[0] its[0] accuracy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it might also seem cliche , boring and other such deterent factors to potential viewers . 	it might also seem cliche , boring and other such deterent factors to potential viewers .	1	-2	 it[0] might[0] also[0] seem[0] cliche[0] boring[-1] and[0] other[0] such[0] deterent[0] factors[0] to[0] potential[0] viewers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
can a story set so long ago be relatable now ? 	can a story set so long ago be relatable now ?	1	-1	 can[0] a[0] story[0] set[0] so[0] long[0] ago[0] be[0] relatable[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
