contrary to the title , " the boxer " is not another rocky story only this time spliced with some cold hard politics . 	Translation	Positive	Negative	EmotionRationale
it's actually three movies in one : a political film , a boxing film , and a love story . 	it's actually three movies in one : a political film , a boxing film , and a love story .	3	-1	 it's[0] actually[0] three[0] movies[0] in[0] one[0] a[0] political[0] film[0] a[0] boxing[0] film[0] and[0] a[0] love[2] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all of these work in their own respects and have some pretty decent balancing betwixt the three elements of the story , but somehow it seems kind of cliched and unoriginal . 	all of these work in their own respects and have some pretty decent balancing betwixt the three elements of the story , but somehow it seems kind of cliched and unoriginal .	3	-1	 all[0] of[0] these[0] work[0] in[0] their[0] own[0] respects[2] and[0] have[0] some[0] pretty[2][-1 LastWordBoosterStrength] decent[0] balancing[0] betwixt[0] the[0] three[0] elements[0] of[0] the[0] story[0] but[0] somehow[0] it[0] seems[0] kind[1] of[0] cliched[0] and[0] unoriginal[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we've seen it all before , and we're just not blown away with it like we should be . 	we've seen it all before , and we're just not blown away with it like we should be .	2	-1	 we've[0] seen[0] it[0] all[0] before[0] and[0] we're[0] just[0] not[0] blown[0] away[0] with[0] it[0] like[1] we[0] should[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oh well . 	oh well .	1	-1	 oh[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's still an excellent irish story . 	it's still an excellent irish story .	4	-1	 it's[0] still[0] an[0] excellent[3] irish[0] story[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 " the boxer " of the title is danny flynn ( jim sheridan staple daniel day-lewis ) , an ex-ira member who gets out of a belfast prison after 14 years , and finds out that his troubles are far from over . 	 " the boxer " of the title is danny flyn ( jim sheridan staple daniel day-lewis ) , an ex-ira member who gets out of a belfast prison after 14 years , and finds out that his troubles are far from over .	1	-2	 the[0] boxer[0] of[0] the[0] title[0] is[0] danny[0] flynn/flyn[0] jim[0] sheridan[0] staple[0] daniel[0] day[0] lewis[0] an[0] ex[0] ira[0] member[0] who[0] gets[0] out[0] of[0] a[0] belfast[0] prison[-1] after[0] 14[0] years[0] and[0] finds[0] out[0] that[0] his[0] troubles[-1] are[0] far[0] from[0] over[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first off , the ira is having a small civil war between its leader joe hamill ( brian cox ) , and one of its sub-leaders , harry ( gerard mcsorley ) , both having opposing views on getting many of their members out of jail . 	first off , the ira is having a small civil war between its leader joe hamill ( brian cox ) , and one of its sub-leaders , harry ( gerard mcsorley ) , both having opposing views on getting many of their members out of jail .	1	-3	 first[0] off[0] the[0] ira[0] is[0] having[0] a[0] small[0] civil[0] war[-2] between[0] its[0] leader[0] joe[0] hamill[0] brian[0] cox[0] and[0] one[0] of[0] its[0] sub[0] leaders[0] harry[0] gerard[0] mcsorley[0] both[0] having[0] opposing[0] views[0] on[0] getting[0] many[0] of[0] their[0] members[0] out[0] of[0] jail[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while this is going on , danny and his old drunkard buddie , ike ( ken stott , who played the chief inspector in danny boyle's " shallow grave " ) , re-open an old gym which allows the two opposing religios sects , protestant and catholics , to work together . 	while this is going on , danny and his old drunkard buddie , ike ( ken stott , who played the chief inspector in danny boyle's " shallow grave " ) , re-open an old gym which allows the two opposing religios sects , protestant and catholics , to work together .	1	-3	 while[0] this[0] is[0] going[0] on[0] danny[0] and[0] his[0] old[0] drunkard[-1] buddie[0] ike[0] ken[0] stott[0] who[0] played[0] the[0] chief[0] inspector[0] in[0] danny[0] boyle's[0] shallow[-1] grave[-2] re[0] open[0] an[0] old[0] gym[0] which[0] allows[0] the[0] two[0] opposing[0] religios[0] sects[0] protestant[-1] and[0] catholics[0] to[0] work[0] together[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
danny not only begins teaching kids how to box , but has stayed in great shape whilst in prison , and is ready to start boxing real people again . 	danny not only begins teaching kids how to box , but has stayed in great shape whilst in prison , and is ready to start boxing real people again .	3	-2	 danny[0] not[0] only[0] begins[0] teaching[0] kids[0] how[0] to[0] box[0] but[0] has[0] stayed[0] in[0] great[2] shape[0] whilst[0] in[0] prison[-1] and[0] is[0] ready[0] to[0] start[0] boxing[0] real[0] people[0] again[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and danny runs into his ex-love , maggie ( " breaking the waves " 's emily watson ) , who hasn't seen him since he went in . 	and danny runs into his ex-love , maggie ( " breaking the waves " 's emily watson ) , who hasn't seen him since he went in .	3	-1	 and[0] danny[0] runs[0] into[0] his[0] ex[0] love[2] maggie[0] breaking[0] the[0] waves[0] 's[0] emily[0] watson[0] who[0] hasn't[0] seen[0] him[0] since[0] he[0] went[0] in[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
