there was a lot riding on this movie . 	Translation	Positive	Negative	EmotionRationale
everyone even moderately interested in the " scream " series was dying to know how it would end . 	everyone even moderately interested in the " scream " series was dying to know how it would end .	2	-4	 everyone[0] even[0] moderately[0] interested[1] in[0] the[0] scream[-3] series[0] was[0] dying[-1] to[0] know[0] how[0] it[0] would[0] end[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
what would be the " final act " ? 	what would be the " final act " ?	1	-1	 what[0] would[0] be[0] the[0] final[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the end of an era for them , a movie which has kept them up nights searching for clues on the internet , talking and tossing around rumors with their equally enthused buddies , and , for kids under 17 , those elaborate plots consisting of buying a ticket to one movie and hopping into " scream " while narrowly escaping those menacing ushers who are only a year or two older than themselves . 	this is the end of an era for them , a movie which has kept them up nights searching for clues on the internet , talking and tossing around rumors with their equally enthused buddies , and , for kids under 17 , those elaborate plots consisting of buying a ticket to one movie and hopping into " scream " while narrowly escaping those menacing ushers who are only a year or two older than themselves .	3	-4	 this[0] is[0] the[0] end[0] of[0] an[0] era[0] for[0] them[0] a[0] movie[0] which[0] has[0] kept[0] them[0] up[0] nights[0] searching[0] for[0] clues[0] on[0] the[0] internet[0] talking[0] and[0] tossing[0] around[0] rumors[0] with[0] their[0] equally[0] enthused[2] buddies[0] and[0] for[0] kids[0] under[0] 17[0] those[0] elaborate[0] plots[0] consisting[0] of[0] buying[0] a[0] ticket[0] to[0] one[0] movie[0] and[0] hopping[0] into[0] scream[-3] while[0] narrowly[0] escaping[0] those[0] menacing[0] ushers[0] who[0] are[0] only[0] a[0] year[0] or[0] two[0] older[0] than[0] themselves[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
no need to worry ; " scream 3 " is endlessly inventive and entertaining , a fine epilogue to the series that made kevin williamson a household name , reinvented the horror genre , and continued in the self-referential , post-modern tradition of quentin and co . 	no need to worry ; " scream 3 " is endlessly inventive and entertaining , a fine epilogue to the series that made kevin williamson a household name , reinvented the horror genre , and continued in the self-referential , post-modern tradition of quentin and co .	3	-5	 no[0] need[0] to[0] worry[-3] scream[-3][-1 MultiplePositiveWords] 3[0] is[0] endlessly[0] inventive[0] and[0] entertaining[0] a[0] fine[2] epilogue[0] to[0] the[0] series[0] that[0] made[0] kevin[0] williamson[0] a[0] household[0] name[0] reinvented[0] the[0] horror[-3] genre[0] and[0] continued[0] in[0] the[0] self[0] referential[0] post[0] modern[0] tradition[0] of[0] quentin[0] and[0] co[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
so , how does the story go ? 	so , how does the story go ?	1	-1	 so[0] how[0] does[0] the[0] story[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as opposed to what some fanatical internet sites would have you believe , sidney prescott ( neve campbell ) , now all-grown-up and constantly dealing with her pass in the constantly tormented sector of her psyche , is not living in hollywood fulfilling her dream to become an actress , but rather in upstate california , living , understandably , alone in the confines of fences and vast security systems . 	as opposed to what some fanatical internet sites would have you believe , sidney prescott ( neve campbell ) , now all-grown-up and constantly dealing with her pass in the constantly tormented sector of her psyche , is not living in hollywood fulfilling her dream to become an actress , but rather in upstate california , living , understandably , alone in the confines of fences and vast security systems .	2	-1	 as[0] opposed[0] to[0] what[0] some[0] fanatical[-1][--1 LastWordBoosterStrength] internet[0] sites[0] would[0] have[0] you[0] believe[0] sidney[0] prescott[0] neve[0] campbell[0] now[0] all[0] grown[0] up[0] and[0] constantly[0] dealing[0] with[0] her[0] pass[0] in[0] the[0] constantly[0] tormented[0] sector[0] of[0] her[0] psyche[0] is[0] not[0] living[0] in[0] hollywood[0] fulfilling[0] her[0] dream[0] to[0] become[0] an[0] actress[0] but[0] rather[0] in[0] upstate[0] california[0] living[0] understandably[0] alone[0] in[0] the[0] confines[0] of[0] fences[0] and[0] vast[0] security[1] systems[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she works at home as a crisis center affiliate over the phone . 	she works at home as a crisis center affiliate over the phone .	1	-3	 she[0] works[0] at[0] home[0] as[0] a[0] crisis[-2] center[0] affiliate[0] over[0] the[0] phone[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but that ? ? ? s not where the movie starts off . 	but that ?<br> ?<br> ?<br> s not where the movie starts off .	1	-1	 but[0] that[0] [[Sentence=-1,1=word max, 1-5]] s[0] not[0] where[0] the[0] movie[0] starts[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , in a tactic that reminded me of the somewhat similar , and conceptually horrifying , sequence in " eye for an eye " ( 1995 ) , cotton weary ( liev schreiber ) , now a big star , drives home to his girlfriend in traffic when the killer calls , demands the location of sidney ? ? ? s home , and , when he doesn ? ? ? t get it , threatens the life of cotton ? ? ? s girlfriend christine , and cotton can ? ? ? t do anything to stop him . 	instead , in a tactic that reminded me of the somewhat similar , and conceptually horrifying , sequence in " eye for an eye " ( 1995 ) , cotton weary ( liev schreiber ) , now a big star , drives home to his girlfriend in traffic when the killer calls , demands the location of sidney ?<br> ?<br> ?<br> s home , and , when he doesn ?<br> ?<br> ?<br> t get it , threatens the life of cotton ?<br> ?<br> ?<br> s girlfriend christine , and cotton can ?<br> ?<br> ?<br> t do anything to stop him .	1	-4	 instead[0] in[0] a[0] tactic[0] that[0] reminded[0] me[0] of[0] the[0] somewhat[0] similar[0] and[0] conceptually[0] horrifying[-3] sequence[0] in[0] eye[0] for[0] an[0] eye[0] 1995[0] cotton[0] weary[0] liev[0] schreiber[0] now[0] a[0] big[0] star[0] drives[0] home[0] to[0] his[0] girlfriend[0] in[0] traffic[0] when[0] the[0] killer[-1] calls[0] demands[0] the[0] location[0] of[0] sidney[0] [[Sentence=-4,1=word max, 1-5]] s[0] home[0] and[0] when[0] he[0] doesn[0] [[Sentence=-1,1=word max, 1-5]] t[0] get[0] it[0] threatens[-2] the[0] life[0] of[0] cotton[0] [[Sentence=-3,1=word max, 1-5]] s[0] girlfriend[0] christine[0] and[0] cotton[0] can[0] [[Sentence=-1,1=word max, 1-5]] t[0] do[0] anything[0] to[0] stop[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
the rest of the sequence is particularly clever , setting up a constant throughout the picture : the killer has a high-tech electronic voice-changer that tops that of the first two . 	the rest of the sequence is particularly clever , setting up a constant throughout the picture : the killer has a high-tech electronic voice-changer that tops that of the first two .	1	-2	 the[0] rest[0] of[0] the[0] sequence[0] is[0] particularly[0] clever[0] setting[0] up[0] a[0] constant[0] throughout[0] the[0] picture[0] the[0] killer[-1] has[0] a[0] high[0] tech[0] electronic[0] voice[0] changer[0] that[0] tops[0] that[0] of[0] the[0] first[0] two[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
