 " psycho meets the exorcist with no holds barred " . 	Translation	Positive	Negative	EmotionRationale
a blurb like that sounds like desperate publicity for some low budget , third rate rip-off . 	a blurb like that sounds like desperate publicity for some low budget , third rate rip-off .	2	-3	 a[0] blurb[-1] like[1] that[0] sounds[0] like[1] desperate[-2] publicity[0] for[0] some[0] low[-1][--1 LastWordBoosterStrength] budget[0] third[0] rate[0] rip[-1] off[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but no , this tacky plug comes from the poster for suspiria , perhaps italian horror director dario argento's most consistently successful film . 	but no , this tacky plug comes from the poster for suspiria , perhaps italian horror director dario argento's most consistently successful film .	3	-4	 but[0] no[0] this[0] tacky[0] plug[0] comes[0] from[0] the[0] poster[0] for[0] suspiria[0] perhaps[0] italian[0] horror[-3] director[0] dario[0] argento's[0] most[0] consistently[0] successful[2] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
what impresses most in re-watching this surrealistic , supernatural thriller is that argento's directorial flair and stylish visuals are matched by a near-fully coherent narrative . 	what impresses most in re-watching this surrealistic , supernatural thriller is that argento's directorial flair and stylish visuals are matched by a near-fully coherent narrative .	2	-1	 what[0] impresses[1] most[0] in[0] re[0] watching[0] this[0] surrealistic[0] supernatural[0] thriller[1] is[0] that[0] argento's[0] directorial[0] flair[0] and[0] stylish[0] visuals[0] are[0] matched[0] by[0] a[0] near[0] fully[0] coherent[0] narrative[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
screenplays have always been his achilles heel ; confusing subplots , gaping holes , totally illogical incidents and reactions . 	screenplays have always been his achilles heel ; confusing subplots , gaping holes , totally illogical incidents and reactions .	1	-3	 screenplays[0] have[0] always[0] been[0] his[0] achilles[0] heel[0] confusing[-1] subplots[0] gaping[0] holes[0] totally[0] illogical[-1][-1 LastWordBoosterStrength] incidents[0] and[0] reactions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no question : argento has always been a better director than a writer . 	no question : argento has always been a better director than a writer .	1	-1	 no[0] question[0] argento[0] has[0] always[0] been[0] a[0] better[0] director[0] than[0] a[0] writer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fortunately , he gets the plotting pretty well right with suspiria , taking his cue from a book by thomas de quincey called " suspiria de profundis " . 	fortunately , he gets the plotting pretty well right with suspiria , taking his cue from a book by thomas de quincey called " suspiria de profundis " .	3	-1	 fortunately[0] he[0] gets[0] the[0] plotting[0] pretty[2] well[0] right[0] with[0] suspiria[0] taking[0] his[0] cue[0] from[0] a[0] book[0] by[0] thomas[0] de[0] quincey[0] called[0] suspiria[0] de[0] profundis[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film's storyline suffers from no major lapses in logic , provided one can accept the premise of a ballet school being a front for a coven of witches . 	the film's storyline suffers from no major lapses in logic , provided one can accept the premise of a ballet school being a front for a coven of witches .	1	-4	 the[0] film's[0] storyline[0] suffers[-3] from[0] no[0] major[0] lapses[0] in[0] logic[0] provided[0] one[0] can[0] accept[0] the[0] premise[0] of[0] a[0] ballet[0] school[0] being[0] a[0] front[0] for[0] a[0] coven[0] of[0] witches[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jessica harper plays an american who travels to germany to further her studies in dance . 	jessica harper plays an american who travels to germany to further her studies in dance .	2	-2	 jessica[0] harper[0] plays[1] an[0] american[0] who[0] travels[0] to[0] germany[-1] to[0] further[0] her[0] studies[0] in[0] dance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
arriving at the school late at night in driving rain , she sees a girl leave and run into the storm in a clearly distressed state . 	arriving at the school late at night in driving rain , she sees a girl leave and run into the storm in a clearly distressed state .	1	-3	 arriving[0] at[0] the[0] school[0] late[0] at[0] night[0] in[0] driving[0] rain[0] she[0] sees[0] a[0] girl[0] leave[0] and[0] run[0] into[0] the[0] storm[-1] in[0] a[0] clearly[0] distressed[-2] state[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what happens next - and i don't make the comparison lightly - is a murder sequence that for intensity , shock value and sheer directorial flair ranks alongside alfred hitchcock's infamous shower scene in psycho . 	what happens next - and i don't make the comparison lightly - is a murder sequence that for intensity , shock value and sheer directorial flair ranks alongside alfred hitchcock's infamous shower scene in psycho .	2	-4	 what[0] happens[0] next[0] and[0] i[0] don't[0] make[0] the[0] comparison[0] lightly[0] is[0] a[0] murder[-3] sequence[0] that[0] for[0] intensity[0] shock[-2] value[1] and[0] sheer[0] directorial[0] flair[0] ranks[0] alongside[0] alfred[0] hitchcock's[0] infamous[-1] shower[0] scene[0] in[0] psycho[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
