it is easy to label something sentimental or tear jerking when one has not experienced the heartache of losing a child ? whether that may be in life or in death . 	Translation	Positive	Negative	EmotionRationale
after having said that , i will also say that this movie does all of the above very well . 	after having said that , i will also say that this movie does all of the above very well .	1	-1	 after[0] having[0] said[0] that[0] i[0] will[0] also[0] say[0] that[0] this[0] movie[0] does[0] all[0] of[0] the[0] above[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one gets that choking sensation in the throat ( because of grief ) when one brother forgives another for a costly mistake , or when a husband hugs his wife after a long estrangement . 	one gets that choking sensation in the throat ( because of grief ) when one brother forgives another for a costly mistake , or when a husband hugs his wife after a long estrangement .	3	-4	 one[0] gets[0] that[0] choking[0] sensation[0] in[0] the[0] throat[0] because[0] of[0] grief[-3] when[0] one[0] brother[0] forgives[1] another[0] for[0] a[0] costly[-1] mistake[-1] or[0] when[0] a[0] husband[0] hugs[2] his[0] wife[0] after[0] a[0] long[0] estrangement[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there is no ocean , no drownings and it does not conjure up memories of yet another ? ordinary people' . 	there is no ocean , no drownings and it does not conjure up memories of yet another ?<br> ordinary people' .	1	-2	 there[0] is[0] no[0] ocean[0] no[0] drownings[-1] and[0] it[0] does[0] not[0] conjure[0] up[0] memories[0] of[0] yet[0] another[0] [[Sentence=-2,1=word max, 1-5]] ordinary[0] people'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact the only thing remotely connected to the ocean is probably tap water and the toilet flushing ( not that this literally happened in the movie ) . 	in fact the only thing remotely connected to the ocean is probably tap water and the toilet flushing ( not that this literally happened in the movie ) .	1	-1	 in[0] fact[0] the[0] only[0] thing[0] remotely[0] connected[0] to[0] the[0] ocean[0] is[0] probably[0] tap[0] water[0] and[0] the[0] toilet[0] flushing[0] not[0] that[0] this[0] literally[0] happened[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so what are the lessons learnt : 1 . 	so what are the lessons learnt : 1 .	1	-1	 so[0] what[0] are[0] the[0] lessons[0] learnt[0] 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't take your children to class reunions . 	don't take your children to class reunions .	1	-1	 don't[0] take[0] your[0] children[0] to[0] class[0] reunions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2 . don't leave them alone in the lobby , not even for a second . 	2 .<br> don't leave them alone in the lobby , not even for a second .	1	-1	 2[0] [[Sentence=-1,1=word max, 1-5]] don't[0] leave[0] them[0] alone[0] in[0] the[0] lobby[0] not[0] even[0] for[0] a[0] second[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
michelle pfeiffer once again plays the role of a highly-strung wife and mother , a trend that started with ? a thousand acres' and ? one fine day' . 	michelle pfeiffer once again plays the role of a highly-strung wife and mother , a trend that started with ?<br> a thousand acres' and ?<br> one fine day' .	3	-1	 michelle[0] pfeiffer[0] once[0] again[0] plays[1] the[0] role[0] of[0] a[0] highly[0] strung[0] wife[0] and[0] mother[0] a[0] trend[0] that[0] started[0] with[0] [[Sentence=-1,2=word max, 1-5]] a[0] thousand[0] acres'[0] and[0] [[Sentence=-1,1=word max, 1-5]] one[0] fine[2] day'[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
my comment is that she is exceptionally fine strung in this movie , so much so that when she has a nervous break down , the veins on her temples bulge impressively . 	my comment is that she is exceptionally fine strung in this movie , so much so that when she has a nervous break down , the veins on her temples bulge impressively .	3	-3	 my[0] comment[0] is[0] that[0] she[0] is[0] exceptionally[0] fine[2] strung[0] in[0] this[0] movie[0] so[0] much[0] so[0] that[0] when[0] she[0] has[0] a[0] nervous[-2] break[0] down[0] the[0] veins[0] on[0] her[0] temples[0] bulge[0] impressively[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
whoopi golberg also puts in an understated performance , playing a lesbian cop , with a name that makes one want to reach for a lollipop . 	whoopi golberg also puts in an understated performance , playing a lesbian cop , with a name that makes one want to reach for a lollipop .	2	-1	 whoopi[0] golberg[0] also[0] puts[0] in[0] an[0] understated[0] performance[0] playing[1] a[0] lesbian[0] cop[0] with[0] a[0] name[0] that[0] makes[0] one[0] want[0] to[0] reach[0] for[0] a[0] lollipop[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lastly , who are the ideal companions for this sort of movie ? my grandmother comes to mind . 	lastly , who are the ideal companions for this sort of movie ?<br> my grandmother comes to mind .	1	-1	 lastly[0] who[0] are[0] the[0] ideal[0] companions[0] for[0] this[0] sort[0] of[0] movie[0] [[Sentence=-1,1=word max, 1-5]] my[0] grandmother[0] comes[0] to[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
