on re-watching italian writer/director dario argento's much lauded murder mystery tenebrae , i was struck more than anything else by how many sins he commits as a storyteller and manages to get away with . 	Translation	Positive	Negative	EmotionRationale
in emphasising style over matters of plot argento is somewhat notorious in cult film circles , but some aficionados still praise tenebrae as the greatest of his " giallo " murder mysteries . 	in emphasising style over matters of plot argento is somewhat notorious in cult film circles , but some aficionados still praise tenebrae as the greatest of his " giallo " murder mysteries .	3	-4	 in[0] emphasising[0] style[0] over[0] matters[0] of[0] plot[0] argento[0] is[0] somewhat[0] notorious[-1] in[0] cult[0] film[0] circles[0] but[0] some[0] aficionados[0] still[0] praise[2] tenebrae[0] as[0] the[0] greatest[2] of[0] his[0] giallo[0] murder[-3] mysteries[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
while it's certainly not perfect , repeated viewings reveal it to be nonetheless a densely plotted and terrifically stylish thriller . 	while it's certainly not perfect , repeated viewings reveal it to be nonetheless a densely plotted and terrifically stylish thriller .	4	-2	 while[0] it's[0] certainly[0] not[0] perfect[1][NegatedDueToPreviousWord] repeated[0] viewings[0] reveal[0] it[0] to[0] be[0] nonetheless[0] a[0] densely[0] plotted[0] and[0] terrifically[3] stylish[0] thriller[1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the story follows a promotional visit to rome by famous american mystery novelist peter neal ( anthony franciosa ) where he discovers that a serial killer is on the loose inspired by his latest book " tenebrae " . 	the story follows a promotional visit to rome by famous american mystery novelist peter neal ( anthony franciosa ) where he discovers that a serial killer is on the loose inspired by his latest book " tenebrae " .	3	-2	 the[0] story[0] follows[0] a[0] promotional[0] visit[0] to[0] rome[0] by[0] famous[0] american[0] mystery[0] novelist[0] peter[0] neal[0] anthony[0] franciosa[0] where[0] he[0] discovers[0] that[0] a[0] serial[0] killer[-1] is[0] on[0] the[0] loose[0] inspired[2] by[0] his[0] latest[0] book[0] tenebrae[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with the police on his back for leads , he decides to take a personal interest in the case and he soon becomes drawn into a mystery where all is not as it seems . 	with the police on his back for leads , he decides to take a personal interest in the case and he soon becomes drawn into a mystery where all is not as it seems .	2	-1	 with[0] the[0] police[0] on[0] his[0] back[0] for[0] leads[0] he[0] decides[0] to[0] take[0] a[0] personal[0] interest[1] in[0] the[0] case[0] and[0] he[0] soon[0] becomes[0] drawn[0] into[0] a[0] mystery[0] where[0] all[0] is[0] not[0] as[0] it[0] seems[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film benefits enormously from a fine central performance by franciosa . 	the film benefits enormously from a fine central performance by franciosa .	3	-1	 the[0] film[0] benefits[0] enormously[0] from[0] a[0] fine[2] central[0] performance[0] by[0] franciosa[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he brings grace , charm and a deceptive benigness to his character which provides an interesting foil to both the violence of the books he writes and the unfolding real-life horror around him . 	he brings grace , charm and a deceptive benigness to his character which provides an interesting foil to both the violence of the books he writes and the unfolding real-life horror around him .	3	-4	 he[0] brings[0] grace[2] charm[1] and[0] a[0] deceptive[-1] benigness[1] to[0] his[0] character[0] which[0] provides[0] an[0] interesting[1] foil[0] to[0] both[0] the[0] violence[-3] of[0] the[0] books[0] he[0] writes[0] and[0] the[0] unfolding[0] real[0] life[0] horror[-3] around[0] him[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film is awash with a fascinating psychosexual tension . 	the film is awash with a fascinating psychosexual tension .	1	-3	 the[0] film[0] is[0] awash[0] with[0] a[0] fascinating[0] psychosexual[0] tension[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
argento peels back the facade of showbiz and jetset lifestyles to reveal an amoral , ambivalent , shadowy world where desire in all its forms has become a dangerous business . 	argento peels back the facade of showbiz and jetset lifestyles to reveal an amoral , ambivalent , shadowy world where desire in all its forms has become a dangerous business .	1	-3	 argento[0] peels[0] back[0] the[0] facade[0] of[0] showbiz[0] and[0] jetset[0] lifestyles[0] to[0] reveal[0] an[0] amoral[-2] ambivalent[-1] shadowy[0] world[0] where[0] desire[0] in[0] all[0] its[0] forms[0] has[0] become[0] a[0] dangerous[-1] business[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tenebrae is perhaps the most multi-layered of argento's scripts to date and there is much bubbling underneath the surface here . 	tenebrae is perhaps the most multi-layered of argento's scripts to date and there is much bubbling underneath the surface here .	1	-1	 tenebrae[0] is[0] perhaps[0] the[0] most[0] multi[0] layered[0] of[0] argento's[0] scripts[0] to[0] date[0] and[0] there[0] is[0] much[0] bubbling[0] underneath[0] the[0] surface[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it may take at least two or three viewings to appreciate all the psychological themes at play . 	it may take at least two or three viewings to appreciate all the psychological themes at play .	2	-1	 it[0] may[0] take[0] at[0] least[0] two[0] or[0] three[0] viewings[0] to[0] appreciate[1] all[0] the[0] psychological[0] themes[0] at[0] play[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
