quiz show , an almost perfectly accurate true story , is based upon the events of the popular television show of the mid-50's , " twenty-one " . 	Translation	Positive	Negative	EmotionRationale
on this trivial game show , contestants were placed in isolation booths and then answered questions corresponding to a category of their choice , on which they wagered an amount of points on . 	on this trivial game show , contestants were placed in isolation booths and then answered questions corresponding to a category of their choice , on which they wagered an amount of points on .	1	-2	 on[0] this[0] trivial[-1] game[0] show[0] contestants[0] were[0] placed[0] in[0] isolation[-1] booths[0] and[0] then[0] answered[0] questions[0] corresponding[0] to[0] a[0] category[0] of[0] their[0] choice[0] on[0] which[0] they[0] wagered[0] an[0] amount[0] of[0] points[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the game went on until a player reached twenty one points on felt they had earned enough points to win . 	the game went on until a player reached twenty one points on felt they had earned enough points to win .	1	-1	 the[0] game[0] went[0] on[0] until[0] a[0] player[0] reached[0] twenty[0] one[0] points[0] on[0] felt[0] they[0] had[0] earned[0] enough[0] points[0] to[0] win[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , after ratings began to fall when players were struggling to break the zero mark , the producers decided to fix the game by giving the answers to a contestant before the game began . 	but , after ratings began to fall when players were struggling to break the zero mark , the producers decided to fix the game by giving the answers to a contestant before the game began .	1	-2	 but[0] after[0] ratings[0] began[0] to[0] fall[0] when[0] players[0] were[0] struggling[-1] to[0] break[0] the[0] zero[0] mark[0] the[0] producers[0] decided[0] to[0] fix[0] the[0] game[0] by[0] giving[0] the[0] answers[0] to[0] a[0] contestant[0] before[0] the[0] game[0] began[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
quiz show illustrates the true stories of two particular contestants , herbie stempel and charles van doren . 	quiz show illustrates the true stories of two particular contestants , herbie stempel and charles van doren .	2	-1	 quiz[0] show[0] illustrates[0] the[0] true[1] stories[0] of[0] two[0] particular[0] contestants[0] herbie[0] stempel[0] and[0] charles[0] van[0] doren[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
stempel ( john turturro ) , a former g . i . 	stempel ( john turturro ) , a former grin� .<br> i .	1	-1	 stempel[0] john[0] turturro[0] a[0] former[0] g[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and your jewish man raising a family . 	and your jewish man raising a family .	1	-1	 and[0] your[0] jewish[0] man[0] raising[0] a[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stempel has been the reigning champion on " twenty-one " for many weeks and has accumulated thousands of dollars . 	stempel has been the reigning champion on " twenty-one " for many weeks and has accumulated thousands of dollars .	1	-1	 stempel[0] has[0] been[0] the[0] reigning[0] champion[0] on[0] twenty[0] one[0] for[0] many[0] weeks[0] and[0] has[0] accumulated[0] thousands[0] of[0] dollars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in his mind , he is the best thing on television and the people love him . 	in his mind , he is the best thing on television and the people love him .	3	-1	 in[0] his[0] mind[0] he[0] is[0] the[0] best[1] thing[0] on[0] television[0] and[0] the[0] people[0] love[2] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although , in the mind of the show's producers , herbie stempel is getting old . 	although , in the mind of the show's producers , herbie stempel is getting old .	1	-1	 although[0] in[0] the[0] mind[0] of[0] the[0] show's[0] producers[0] herbie[0] stempel[0] is[0] getting[0] old[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dan enright ( david paymer ) , in particular , feels that the people are tired of seeing a " jewish guy from queens with bad teeth " and that the kids need someone better to look up to . 	dan enright ( david paymer ) , in particular , feels that the people are tired of seeing a " jewish guy from queens with bad teeth " and that the kids need someone better to look up to .	1	-2	 dan[0] enright[0] david[0] paymer[0] in[0] particular[0] feels[0] that[0] the[0] people[0] are[0] tired[-1] of[0] seeing[0] a[0] jewish[0] guy[0] from[0] queens[0] with[0] bad[-1] teeth[0] and[0] that[0] the[0] kids[0] need[0] someone[0] better[0] to[0] look[0] up[0] to[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
therefore , they need to find another contestant whom would be a worthy role model and the people will look up to and cheer to win . 	therefore , they need to find another contestant whom would be a worthy role model and the people will look up to and cheer to win .	2	-1	 therefore[0] they[0] need[0] to[0] find[0] another[0] contestant[0] whom[0] would[0] be[0] a[0] worthy[0] role[0] model[0] and[0] the[0] people[0] will[0] look[0] up[0] to[0] and[0] cheer[1] to[0] win[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
someone who can defeat stempel , even if they have to resort to cheating . 	someone who can defeat stempel , even if they have to resort to cheating .	1	-3	 someone[0] who[0] can[0] defeat[0] stempel[0] even[0] if[0] they[0] have[0] to[0] resort[0] to[0] cheating[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
enter charles van doren ( ralph fiennes ) , a well-educated professor from a widely recognized family . 	enter charles van doren ( ralph fiennes ) , a well-educated professor from a widely recognized family .	1	-1	 enter[0] charles[0] van[0] doren[0] ralph[0] fiennes[0] a[0] well[0] educated[0] professor[0] from[0] a[0] widely[0] recognized[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van doren had decided to try out for the game show " tic tac dough " because his friends thought he would be good at that sort of thing . 	van doren had decided to try out for the game show " tic tac dough " because his friends thought he would be good at that sort of thing .	2	-1	 van[0] doren[0] had[0] decided[0] to[0] try[0] out[0] for[0] the[0] game[0] show[0] tic[0] tac[0] dough[0] because[0] his[0] friends[1] thought[0] he[0] would[0] be[0] good[1] at[0] that[0] sort[0] of[0] thing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but when albert freedman ( hank azaria ) , enright's assistant , spots van doren , the two decide that they have found their soon-to-be-ruler of the " twenty-one " kingdom . 	but when albert freedman ( hank azaria ) , enright's assistant , spots van doren , the two decide that they have found their soon-to-be-ruler of the " twenty-one " kingdom .	1	-1	 but[0] when[0] albert[0] freedman[0] hank[0] azaria[0] enright's[0] assistant[0] spots[0] van[0] doren[0] the[0] two[0] decide[0] that[0] they[0] have[0] found[0] their[0] soon[0] to[0] be[0] ruler[0] of[0] the[0] twenty[0] one[0] kingdom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
