one of the best movies i've ever seen . 	Translation	Positive	Negative	EmotionRationale
i'd heard extremely good things about this movie , and though the previews didn't really intrigue that much , it was a movie i'd been anticipating for a few months now . 	i'd heard extremely good things about this movie , and though the previews didn't really intrigue that much , it was a movie i'd been anticipating for a few months now .	4	-1	 i'd[0] heard[0] extremely[0] good[1][2 LastWordBoosterStrength] things[0] about[0] this[0] movie[0] and[0] though[0] the[0] previews[0] didn't[0] really[0] intrigue[0] that[0] much[0] it[0] was[0] a[0] movie[0] i'd[0] been[0] anticipating[0] for[0] a[0] few[0] months[0] now[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
for some reason i'm not sure of - this movie was not that big a sucess over in the u . s . it was a definite hit with the critics , but didn't exactly set any box office records . 	for some reason i'm not sure of - this movie was not that big a sucess over in the you .<br> s .<br> it was a definite hit with the critics , but didn't exactly set any box office records .	1	-1	 for[0] some[0] reason[0] i'm[0] not[0] sure[0] of[0] this[0] movie[0] was[0] not[0] that[0] big[0] a[0] sucess[0] over[0] in[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] it[0] was[0] a[0] definite[0] hit[0] with[0] the[0] critics[0] but[0] didn't[0] exactly[0] set[0] any[0] box[0] office[0] records[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after viewing this incredibly well directed , written and acted movie , i can't help but wonder - why ? 	after viewing this incredibly well directed , written and acted movie , i can't help but wonder - why ?	1	-1	 after[0] viewing[0] this[0] incredibly[0] well[0] directed[0] written[0] and[0] acted[0] movie[0] i[0] can't[0] help[0] but[0] wonder[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the strength of this film is it's gritty realism . 	the strength of this film is it's gritty realism .	1	-1	 the[0] strength[0] of[0] this[0] film[0] is[0] it's[0] gritty[0] realism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main characters are all human with individual flaws , no stereo-type hollywood heroes . 	the main characters are all human with individual flaws , no stereo-type hollywood heroes .	3	-1	 the[0] main[0] characters[0] are[0] all[0] human[0] with[0] individual[0] flaws[0] no[0] stereo[0] type[0] hollywood[0] heroes[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you may not agree with many of their actions in the movie or their approach to life , but that is what makes it so real . 	you may not agree with many of their actions in the movie or their approach to life , but that is what makes it so real .	1	-1	 you[0] may[0] not[0] agree[0] with[0] many[0] of[0] their[0] actions[0] in[0] the[0] movie[0] or[0] their[0] approach[0] to[0] life[0] but[0] that[0] is[0] what[0] makes[0] it[0] so[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i had expected this movie to be more of a drama than a thriller , but i was mistaken . 	i had expected this movie to be more of a drama than a thriller , but i was mistaken .	2	-2	 i[0] had[0] expected[0] this[0] movie[0] to[0] be[0] more[0] of[0] a[0] drama[0] than[0] a[0] thriller[1] but[0] i[0] was[0] mistaken[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even the interrogation scenes moved at such a pace so that it felt just as thrilling as any car chase . 	even the interrogation scenes moved at such a pace so that it felt just as thrilling as any car chase .	4	-2	 even[0] the[0] interrogation[0] scenes[0] moved[0] at[0] such[0] a[0] pace[0] so[0] that[0] it[0] felt[0] just[0] as[0] thrilling[3] as[0] any[0] car[0] chase[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
and the ending . . . . . . whoa . 	and the ending .<br> .<br> .<br> .<br> .<br> .<br> whoa .	1	-1	 and[0] the[0] ending[0] [[Sentence=-1,1=word max, 1-5]] whoa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've never seen a movie in my life where everyone in it acts brilliantly . 	i've never seen a movie in my life where everyone in it acts brilliantly .	2	-1	 i've[0] never[0] seen[0] a[0] movie[0] in[0] my[0] life[0] where[0] everyone[0] in[0] it[0] acts[0] brilliantly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
