director david fincher has such an eye for detail which is very rare in hollywood these days ( terry gilliam comes to mind as another one ) . 	Translation	Positive	Negative	EmotionRationale
film is one of the best art forms because not only can you tell a story , but you can use the camera to capture the smallest detail and have it mean something . 	film is one of the best art forms because not only can you tell a story , but you can use the camera to capture the smallest detail and have it mean something .	2	-2	 film[0] is[0] one[0] of[0] the[0] best[1] art[0] forms[0] because[0] not[0] only[0] can[0] you[0] tell[0] a[0] story[0] but[0] you[0] can[0] use[0] the[0] camera[0] to[0] capture[-1] the[0] smallest[0] detail[0] and[0] have[0] it[0] mean[0] something[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but most directors seem to go for action with the slightest ounce of a story . 	but most directors seem to go for action with the slightest ounce of a story .	1	-1	 but[0] most[0] directors[0] seem[0] to[0] go[0] for[0] action[0] with[0] the[0] slightest[0] ounce[0] of[0] a[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so whenever a director uses the camera to its fullest potential , the film almost automatically deserves a good review . 	so whenever a director uses the camera to its fullest potential , the film almost automatically deserves a good review .	2	-1	 so[0] whenever[0] a[0] director[0] uses[0] the[0] camera[0] to[0] its[0] fullest[0] potential[0] the[0] film[0] almost[0] automatically[0] deserves[0] a[0] good[1] review[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and when they add a fascinating story to it , you have nearly perfect entertainment . 	and when they add a fascinating story to it , you have nearly perfect entertainment .	2	-1	 and[0] when[0] they[0] add[0] a[0] fascinating[0] story[0] to[0] it[0] you[0] have[0] nearly[0] perfect[1] entertainment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fincher's the game is no exception to this . 	fincher's the game is no exception to this .	1	-1	 fincher's[0] the[0] game[0] is[0] no[0] exception[0] to[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the game is one of the most interesting and complex films to come out of hollywood in a long time . 	the game is one of the most interesting and complex films to come out of hollywood in a long time .	2	-1	 the[0] game[0] is[0] one[0] of[0] the[0] most[0] interesting[1] and[0] complex[0] films[0] to[0] come[0] out[0] of[0] hollywood[0] in[0] a[0] long[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fincher hasn't made a film since " seven , " his box office and critical hit which defied expectations and became one of the best movies ever . 	fincher hasn't made a film since " seven , " his box office and critical hit which defied expectations and became one of the best movies ever .	2	-2	 fincher[0] hasn't[0] made[0] a[0] film[0] since[0] seven[0] his[0] box[0] office[0] and[0] critical[-1] hit[0] which[0] defied[0] expectations[0] and[0] became[0] one[0] of[0] the[0] best[1] movies[0] ever[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so it is about time he made another film . 	so it is about time he made another film .	1	-1	 so[0] it[0] is[0] about[0] time[0] he[0] made[0] another[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what a ride it is . 	and what a ride it is .	1	-1	 and[0] what[0] a[0] ride[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the game isn't quite as powerful as " seven , " but in some ways it is better . 	the game isn't quite as powerful as " seven , " but in some ways it is better .	1	-1	 the[0] game[0] isn't[0] quite[0] as[0] powerful[0] as[0] seven[0] but[0] in[0] some[0] ways[0] it[0] is[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , the game could have used a little more clarity , or a little more uncertainty . 	overall , the game could have used a little more clarity , or a little more uncertainty .	1	-1	 overall[0] the[0] game[0] could[0] have[0] used[0] a[0] little[0] more[0] clarity[0] or[0] a[0] little[0] more[0] uncertainty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it walks a line of insanity and reality , but it never goes either way until the very end . 	it walks a line of insanity and reality , but it never goes either way until the very end .	1	-1	 it[0] walks[0] a[0] line[0] of[0] insanity[0] and[0] reality[0] but[0] it[0] never[0] goes[0] either[0] way[0] until[0] the[0] very[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the outcome is satisfying enough for the preceding events , and it makes a lot of sense once everything is set straight . 	the outcome is satisfying enough for the preceding events , and it makes a lot of sense once everything is set straight .	2	-1	 the[0] outcome[0] is[0] satisfying[1] enough[0] for[0] the[0] preceding[0] events[0] and[0] it[0] makes[0] a[0] lot[0] of[0] sense[0] once[0] everything[0] is[0] set[0] straight[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , unlike " the usual suspects , " we are never given enough information to figure out for ourselves what is happening , whether it be true or false . 	unfortunately , unlike " the usual suspects , " we are never given enough information to figure out for ourselves what is happening , whether it be true or false .	2	-2	 unfortunately[-1] unlike[0] the[0] usual[0] suspects[0] we[0] are[0] never[0] given[0] enough[0] information[0] to[0] figure[0] out[0] for[0] ourselves[0] what[0] is[0] happening[0] whether[0] it[0] be[0] true[1] or[0] false[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , this also gives the film a frightening aspect which the game uses to the fullest extent . 	however , this also gives the film a frightening aspect which the game uses to the fullest extent .	1	-4	 however[0] this[0] also[0] gives[0] the[0] film[0] a[0] frightening[-3] aspect[0] which[0] the[0] game[0] uses[0] to[0] the[0] fullest[0] extent[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the game is told completely from its main character's point of view . 	the game is told completely from its main character's point of view .	1	-1	 the[0] game[0] is[0] told[0] completely[0] from[0] its[0] main[0] character's[0] point[0] of[0] view[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nicholas van orton ( michael douglas ) is a high-strung and isolated businessman . 	nicholas van orton ( michael douglas ) is a high-strung and isolated businessman .	1	-2	 nicholas[0] van[0] orton[0] michael[0] douglas[0] is[0] a[0] high[0] strung[0] and[0] isolated[-1] businessman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he lives alone in his giant mansion , divorced from his wife elizabeth , and is celebrating his 48th birthday ; the same age at which his father committed suicide at , in the same mansion . 	he lives alone in his giant mansion , divorced from his wife elizabeth , and is celebrating his 48th birthday ; the same age at which his father committed suicide at , in the same mansion .	2	-4	 he[0] lives[0] alone[0] in[0] his[0] giant[0] mansion[0] divorced[-1] from[0] his[0] wife[0] elizabeth[0] and[0] is[0] celebrating[1] his[0] 48th[0] birthday[0] the[0] same[0] age[0] at[0] which[0] his[0] father[0] committed[0] suicide[-3] at[0] in[0] the[0] same[0] mansion[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
for his 48th birthday , conrad ( sean penn ) , the rebel of the family , gives nicholas a gift certificate to crs : consumer recreation services . 	for his 48th birthday , conrad ( sean pen ) , the rebel of the family , gives nicholas a gift certificate to crs : consumer recreation services .	1	-2	 for[0] his[0] 48th[0] birthday[0] conrad[0] sean[0] penn/pen[0] the[0] rebel[-1] of[0] the[0] family[0] gives[0] nicholas[0] a[0] gift[0] certificate[0] to[0] crs[0] consumer[0] recreation[0] services[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " it will make your life fun again , " his brother promises . 	 " it will make your life fun again , " his brother promises .	2	-1	 it[0] will[0] make[0] your[0] life[0] fun[1] again[0] his[0] brother[0] promises[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
