1992's alien3 marked not only the death ( by suicide ) of its popular protagonist , ellen ripley ( sigourney weaver ) , but , in many ways , the alien franchise itself--box office receipts were anemic , thanks to poor audience word of mouth ; and the critics who rallied around the first two installments , 1979's alien and 1986's aliens , savaged david fincher's slog of a sendoff ( myself included ) . 	Translation	Positive	Negative	EmotionRationale
hence , weaver , director jean-pierre jeunet , and the others behind alien resurrection faced a two-fold challenge--not only somehow resurrect ripley , but also rescue this once-profitable series from the scrap heap . 	hence , weaver , director jean-pierre jeunet , and the others behind alien resurrection faced a two-fold challenge-not only somehow resurrect ripley , but also rescue this once-profitable series from the scrap heap .	2	-2	 hence[0] weaver[0] director[0] jean[0] pierre[0] jeunet[0] and[0] the[0] others[0] behind[0] alien[-1] resurrection[0] faced[0] a[0] two[0] fold[0] challenge[-1] not[0] only[0] somehow[0] resurrect[0] ripley[0] but[0] also[0] rescue[0] this[0] once[0] profitable[1] series[0] from[0] the[0] scrap[0] heap[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
despite the odds , they have succeeded , even if the entertaining new installment does not measure up to the excellent first two . 	despite the odds , they have succeeded , even if the entertaining new instalment does not measure up to the excellent first two .	4	-1	 despite[0] the[0] odds[0] they[0] have[0] succeeded[2] even[0] if[0] the[0] entertaining[0] new[0] installment/instalment[0] does[0] not[0] measure[0] up[0] to[0] the[0] excellent[3] first[0] two[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
writer joss whedon devises a quick , easy , and painless answer to the dead ripley problem--clone her , which is what shady military scientists do using some blood left behind on fiorina 161 , the prison planet of the third film . 	writer joss whedon devises a quick , easy , and painless answer to the dead ripley problem-clone her , which is what shady military scientists do using some blood left behind on fiorina 161 , the prison planet of the third film .	2	-3	 writer[0] joss[0] whedon[0] devises[0] a[0] quick[0] easy[0] and[0] painless[1] answer[0] to[0] the[0] dead[-2] ripley[0] problem[-1] clone[0] her[0] which[0] is[0] what[0] shady[-1] military[0] scientists[0] do[0] using[0] some[0] blood[0] left[0] behind[0] on[0] fiorina[0] 161[0] the[0] prison[-1] planet[0] of[0] the[0] third[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that done , the _real_ challenge presents itself--what do with her . 	that done , the _real_ challenge presents itself-what do with her .	1	-2	 that[0] done[0] the[0] _real_[0] challenge[-1] presents[0] itself[0] what[0] do[0] with[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
alien introduced ripley as smart and resourceful ; aliens simultaneously toughened her up and made her more vulnerable , exploring her maternal side ; alien3 saw her undergoing the seven stages of death . 	alien introduced ripley as smart and resourceful ; aliens simultaneously toughened her up and made her more vulnerable , exploring her maternal side ; alien3 saw her undergoing the seven stages of death .	2	-3	 alien[-1] introduced[0] ripley[0] as[0] smart[1] and[0] resourceful[0] aliens[0] simultaneously[0] toughened[-1] her[0] up[0] and[0] made[0] her[0] more[0] vulnerable[-2] exploring[0] her[0] maternal[0] side[0] alien3[0] saw[0] her[0] undergoing[0] the[0] seven[0] stages[0] of[0] death[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what could be next ? 	what could be next ?	1	-1	 what[0] could[0] be[0] next[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whedon comes up with a clever spin : since the original ripley died while impregnated with an alien queen , the blood used for the clone is also " infected " with alien dna . 	whedon comes up with a clever spin : since the original ripley died while impregnated with an alien queen , the blood used for the clone is also " infected " with alien dna .	1	-2	 whedon[0] comes[0] up[0] with[0] a[0] clever[0] spin[0] since[0] the[0] original[0] ripley[0] died[0] while[0] impregnated[0] with[0] an[0] alien[-1] queen[0] the[0] blood[0] used[0] for[0] the[0] clone[0] is[0] also[0] infected[-1] with[0] alien[-1] dna[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so the new ripley is , indeed , new--a human/alien hybrid blessed with heightened instincts and strength , a psychic bond with the deadly species , and a more predatory attitude . 	so the new ripley is , indeed , new-a human/alien hybrid blessed with heightened instincts and strength , a psychic bond with the deadly species , and a more predatory attitude .	2	-2	 so[0] the[0] new[0] ripley[0] is[0] indeed[0] new[0] a[0] human/alien[0] hybrid[0] blessed[1] with[0] heightened[0] instincts[0] and[0] strength[0] a[0] psychic[0] bond[0] with[0] the[0] deadly[-1] species[0] and[0] a[0] more[0] predatory[0] attitude[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , that is where alien resurrection's clever streak in writing stops . 	unfortunately , that is where alien resurrection's clever streak in writing stops .	1	-2	 unfortunately[-1] that[0] is[0] where[0] alien[-1] resurrection's[0] clever[0] streak[0] in[0] writing[0] stops[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the alien series is known for having stronger stories than most creature features . 	the alien series is known for having stronger stories than most creature features .	1	-2	 the[0] alien[-1] series[0] is[0] known[0] for[0] having[0] stronger[0] stories[0] than[0] most[0] creature[0] features[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the story in resurrection is more of an afterthought . 	but the story in resurrection is more of an afterthought .	1	-1	 but[0] the[0] story[0] in[0] resurrection[0] is[0] more[0] of[0] an[0] afterthought[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
