the latest epos from lars is a blast , although a rather moody one . 	Translation	Positive	Negative	EmotionRationale
this lovestory is situated in a small town in the rough dreary cliffs in the vestern part of scotland in the 1970 something . 	this lovestory is situated in a small town in the rough dreary cliffs in the vestern part of scotland in the 1970 something .	1	-2	 this[0] lovestory[0] is[0] situated[0] in[0] a[0] small[0] town[0] in[0] the[0] rough[-1] dreary[-1] cliffs[0] in[0] the[0] vestern[0] part[0] of[0] scotland[0] in[0] the[0] 1970[0] something[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the church ( calvinistic ) is so strict that the church bells has been removed from the clocktower , they are considered being too unrestrained . 	the church ( calvinistic ) is so strict that the church bells has been removed from the clocktower , they are considered being too unrestrained .	1	-2	 the[0] church[0] calvinistic[0] is[0] so[0] strict[-1] that[0] the[0] church[0] bells[0] has[0] been[0] removed[0] from[0] the[0] clocktower[0] they[0] are[0] considered[0] being[0] too[0] unrestrained[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in these surroundings we find the to-be-weds jan and bess , played by stellan skarsgaard and the remarkable new movie actress emily watson . 	in these surroundings we find the to-be-weds jan and bess , played by stellan skarsgard and the remarkable new movie actress emily watson .	1	-1	 in[0] these[0] surroundings[0] we[0] find[0] the[0] to[0] be[0] weds[0] jan[0] and[0] bess[0] played[0] by[0] stellan[0] skarsgaard/skarsgard[0] and[0] the[0] remarkable[0] new[0] movie[0] actress[0] emily[0] watson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jan is on leave from the oilrig and bess . . 	jan is on leave from the oilrig and bess .<br> .	1	-1	 jan[0] is[0] on[0] leave[0] from[0] the[0] oilrig[0] and[0] bess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is just bess , a bit naive and innocent ( in every aspect of the word ) , at first . 	is just bess , a bit naive and innocent ( in every aspect of the word ) , at first .	2	-2	 is[0] just[0] bess[0] a[0] bit[0] naive[-1] and[0] innocent[1] in[0] every[0] aspect[0] of[0] the[0] word[0] at[0] first[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at the wedding party we are told an anecdote , illustrating her infinite kindness , she once lend a bike to an stranger , her best friends bike however . 	at the wedding party we are told an anecdote , illustrating her infinite kindness , she once lend a bike to an stranger , her best friends bike however .	2	-1	 at[0] the[0] wedding[0] party[0] we[0] are[0] told[0] an[0] anecdote[0] illustrating[0] her[0] infinite[0] kindness[1] she[0] once[0] lend[0] a[0] bike[0] to[0] an[0] stranger[0] her[0] best[1] friends[1] bike[0] however[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but bess is suffering in this scary religious society . 	but bess is suffering in this scary religious society .	1	-4	 but[0] bess[0] is[0] suffering[-3] in[0] this[0] scary[-3] religious[0] society[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we soon take part in a funeral where a man , fallen off the orthodox path , is laid to rest while doomed to hell . 	we soon take part in a funeral where a man , fallen off the orthodox path , is laid to rest while doomed to hell .	1	-2	 we[0] soon[0] take[0] part[0] in[0] a[0] funeral[0] where[0] a[0] man[0] fallen[0] off[0] the[0] orthodox[0] path[0] is[0] laid[0] to[0] rest[0] while[0] doomed[-1] to[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
women are not allowed to attend funerals or speak up in the church . 	women are not allowed to attend funerals or speak up in the church .	1	-1	 women[0] are[0] not[0] allowed[0] to[0] attend[0] funerals[0] or[0] speak[0] up[0] in[0] the[0] church[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the end of the honeymoon approaches we see bess idolizing jan in such an intend , almost manic , that her friends try to calm her down a bit . 	when the end of the honeymoon approaches we see bess idolizing jan in such an intend , almost manic , that her friends try to calm her down a bit .	2	-1	 when[0] the[0] end[0] of[0] the[0] honeymoon[0] approaches[0] we[0] see[0] bess[0] idolizing[0] jan[0] in[0] such[0] an[0] intend[0] almost[0] manic[0] that[0] her[0] friends[1] try[0] to[0] calm[1] her[0] down[0] a[0] bit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the time has come when jan is to return to the rig , bess is falling into the darkness of depression , her yelling of grief and sorrow are heard above the breaking of the waves . 	the time has come when jan is to return to the rig , bess is falling into the darkness of depression , her yelling of grief and sorrow are heard above the breaking of the waves .	1	-4	 the[0] time[0] has[0] come[0] when[0] jan[0] is[0] to[0] return[0] to[0] the[0] rig[0] bess[0] is[0] falling[0] into[0] the[0] darkness[0] of[0] depression[-3] her[0] yelling[0] of[0] grief[-3] and[0] sorrow[-2] are[0] heard[0] above[0] the[0] breaking[0] of[0] the[0] waves[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
