truman ( " true-man " ) burbank is the perfect name for jim carrey's character in this film . 	Translation	Positive	Negative	EmotionRationale
president truman was an unassuming man who became known worldwide , in spite of ( or was it because of ) his stature . 	president truman was an unassuming man who became known worldwide , in spite of ( or was it because of ) his stature .	1	-4	 president[0] truman[0] was[0] an[0] unassuming[0] man[0] who[0] became[0] known[0] worldwide[0] in[0] spite[-3] of[0] or[0] was[0] it[0] because[0] of[0] his[0] stature[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " truman " also recalls an era of plenty following a grim war , an era when planned communities built by government scientists promised an idyllic life for americans . 	 " truman " also recalls an era of plenty following a grim war , an era when planned communities built by government scientists promised an idyllic life for americans .	2	-4	 truman[0] also[0] recalls[0] an[0] era[0] of[0] plenty[0] following[0] a[0] grim[-2] war[-2][-1 MultiplePositiveWords] an[0] era[0] when[0] planned[0] communities[0] built[0] by[0] government[0] scientists[0] promised[1] an[0] idyllic[0] life[0] for[0] americans[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and burbank , california , brings to mind the tonight show and the home of nbc . 	and burbank , california , brings to mind the tonight show and the home of nbc .	1	-1	 and[0] burbank[0] california[0] brings[0] to[0] mind[0] the[0] tonight[0] show[0] and[0] the[0] home[0] of[0] nbc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if hollywood is the center of the film world , burbank is , or was , the center of tv's world , the world where our protagonist lives . 	if hollywood is the center of the film world , burbank is , or was , the center of tv's world , the world where our protagonist lives .	1	-1	 if[0] hollywood[0] is[0] the[0] center[0] of[0] the[0] film[0] world[0] burbank[0] is[0] or[0] was[0] the[0] center[0] of[0] tv's[0] world[0] the[0] world[0] where[0] our[0] protagonist[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
combine all these names and concepts into " truman burbank , " and you get something that well describes him and his artificial world . 	combine all these names and concepts into " truman burbank , " and you get something that well describes him and his artificial world .	1	-1	 combine[0] all[0] these[0] names[0] and[0] concepts[0] into[0] truman[0] burbank[0] and[0] you[0] get[0] something[0] that[0] well[0] describes[0] him[0] and[0] his[0] artificial[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
truman leads the perfect life . 	truman leads the perfect life .	2	-1	 truman[0] leads[0] the[0] perfect[1] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his town , his car , and his wife are picture perfect . 	his town , his car , and his wife are picture perfect .	2	-1	 his[0] town[0] his[0] car[0] and[0] his[0] wife[0] are[0] picture[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his idea of reality comes under attack one day when a studio light falls from the sky . 	his idea of reality comes under attack one day when a studio light falls from the sky .	1	-3	 his[0] idea[0] of[0] reality[0] comes[0] under[0] attack[-2] one[0] day[0] when[0] a[0] studio[0] light[0] falls[0] from[0] the[0] sky[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the radio explains that an overflying airplane started coming apart . 	the radio explains that an overflying airplane started coming apart .	1	-1	 the[0] radio[0] explains[0] that[0] an[0] overflying[0] airplane[0] started[0] coming[0] apart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
but then why would an airplane be carrying a studio light ? 	but then why would an airplane be carrying a studio light ?	1	-1	 but[0] then[0] why[0] would[0] an[0] airplane[0] be[0] carrying[0] a[0] studio[0] light[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next day during the drive to work , the radio jams and he starts picking up a voice that exactly describes his movements . 	the next day during the drive to work , the radio jams and he starts picking up a voice that exactly describes his movements .	1	-1	 the[0] next[0] day[0] during[0] the[0] drive[0] to[0] work[0] the[0] radio[0] jams[0] and[0] he[0] starts[0] picking[0] up[0] a[0] voice[0] that[0] exactly[0] describes[0] his[0] movements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is so distracted that he nearly hits a pedestrian . 	he is so distracted that he nearly hits a pedestrian .	1	-2	 he[0] is[0] so[0] distracted[-1] that[0] he[0] nearly[0] hits[0] a[0] pedestrian[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the radio comes back to normal , the announcer warns listeners to drive carefully . 	when the radio comes back to normal , the announcer warns listeners to drive carefully .	1	-1	 when[0] the[0] radio[0] comes[0] back[0] to[0] normal[0] the[0] announcer[0] warns[0] listeners[0] to[0] drive[0] carefully[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his suspicion aroused , he wanders around the town square looking for other oddities . 	his suspicion aroused , he wanders around the town square looking for other oddities .	1	-2	 his[0] suspicion[-1] aroused[0] he[0] wanders[0] around[0] the[0] town[0] square[0] looking[0] for[0] other[0] oddities[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the world appears to be functioning properly until he enters an office building and tries to take the elevator . 	the world appears to be functioning properly until he enters an office building and tries to take the elevator .	1	-1	 the[0] world[0] appears[0] to[0] be[0] functioning[0] properly[0] until[0] he[0] enters[0] an[0] office[0] building[0] and[0] tries[0] to[0] take[0] the[0] elevator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
