ralph fiennes is carving out a nice niche for himself in the genre of period piece romances . 	Translation	Positive	Negative	EmotionRationale
for his followup to the academy-beloved the english patient , he has once again turned to a love story , this time directed by accomplished australian film maker gillian armstrong ( little women ) . 	for his followup to the academy-beloved the english patient , he has once again turned to a love story , this time directed by accomplished australian film maker gillian armstrong ( little women ) .	3	-1	 for[0] his[0] followup[0] to[0] the[0] academy[0] beloved[2] the[0] english[0] patient[0] he[0] has[0] once[0] again[0] turned[0] to[0] a[0] love[2] story[0] this[0] time[0] directed[0] by[0] accomplished[1] australian[0] film[0] maker[0] gillian[0] armstrong[0] little[0] women[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite some obvious overplotting , oscar and lucinda is a mostly effective and often affecting motion picture that touches our hearts while daring our minds to balk at its implausible coincidences . 	despite some obvious overplotting , oscar and lucinda is a mostly effective and often affecting motion picture that touches our hearts while daring our minds to balk at its implausible coincidences .	1	-2	 despite[0] some[0] obvious[0] overplotting[0] oscar[0] and[0] lucinda[0] is[0] a[0] mostly[0] effective[0] and[0] often[0] affecting[0] motion[0] picture[0] that[0] touches[0] our[0] hearts[0] while[0] daring[0] our[0] minds[0] to[0] balk[-1] at[0] its[0] implausible[0] coincidences[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film opens in the mid-1800s , with parallel storylines in new south wales , australia and devon , england . 	the film opens in the mid-1800s , with parallel storylines in new south wales , australia and devon , england .	1	-1	 the[0] film[0] opens[0] in[0] the[0] mid[0] -1800s[0] with[0] parallel[0] storylines[0] in[0] new[0] south[0] wales[0] australia[0] and[0] devon[0] england[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the helpful narrative voice of geoffrey rush informs us , lucinda leplastrier ( cate blanchett ) is a headstrong young woman being raised in the australian outback . 	as the helpful narrative voice of geoffrey rush informs us , lucinda leplastrier ( cate blanchett ) is a headstrong young woman being raised in the australian outback .	2	-1	 as[0] the[0] helpful[1] narrative[0] voice[0] of[0] geoffrey[0] rush[0] informs[0] us[0] lucinda[0] leplastrier[0] cate[0] blanchett[0] is[0] a[0] headstrong[0] young[0] woman[0] being[0] raised[0] in[0] the[0] australian[0] outback[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile , half the world away , oscar hopkins ( fiennes ) has broken with his puritanical father over religious issues , and has gone away to school to study to be an anglican priest . 	meanwhile , half the world away , oscar hopkins ( fiennes ) has broken with his puritanical father over religious issues , and has gone away to school to study to be an anglican priest .	1	-2	 meanwhile[0] half[0] the[0] world[0] away[0] oscar[0] hopkins[0] fiennes[0] has[0] broken[-1] with[0] his[0] puritanical[0] father[0] over[0] religious[0] issues[0] and[0] has[0] gone[0] away[0] to[0] school[0] to[0] study[0] to[0] be[0] an[0] anglican[0] priest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lucinda is fascinated with glass ; oscar is obsessed with theology . 	lucinda is fascinated with glass ; oscar is obsessed with theology .	1	-3	 lucinda[0] is[0] fascinated[0] with[0] glass[0] oscar[0] is[0] obsessed[-2] with[0] theology[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lucinda is rich ; oscar is poor . 	lucinda is rich ; oscar is poor .	1	-2	 lucinda[0] is[0] rich[0] oscar[0] is[0] poor[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lucinda is forward and self-assured ; oscar is timid and uncertain of himself . 	lucinda is forward and self-assured ; oscar is timid and uncertain of himself .	1	-2	 lucinda[0] is[0] forward[0] and[0] self[0] assured[0] oscar[0] is[0] timid[-1] and[0] uncertain[0] of[0] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet one characteristic unites these two diverse individuals -- the compulsion to gamble , whether it's on horses , dogs , cards , or the flip of a coin . 	yet one characteristic unites these two diverse individuals - the compulsion to gamble , whether it's on horses , dogs , cards , or the flip of a coin .	1	-2	 yet[0] one[0] characteristic[0] unites[0] these[0] two[0] diverse[0] individuals[0] the[0] compulsion[-1] to[0] gamble[-1] whether[0] it's[0] on[0] horses[0] dogs[0] cards[0] or[0] the[0] flip[0] of[0] a[0] coin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and fate has decreed that they will one day meet . 	and fate has decreed that they will one day meet .	1	-1	 and[0] fate[0] has[0] decreed[0] that[0] they[0] will[0] one[0] day[0] meet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
