making a sequel to a widely beloved film is a weighty proposition indeed , especially when the first film is considered by many to be a masterpiece . 	Translation	Positive	Negative	EmotionRationale
when it comes to living up to expectations , a filmmaker is almost doomed to some degree of failure . 	when it comes to living up to expectations , a filmmaker is almost doomed to some degree of failure .	1	-3	 when[0] it[0] comes[0] to[0] living[0] up[0] to[0] expectations[0] a[0] filmmaker[0] is[0] almost[0] doomed[-1] to[0] some[0] degree[0] of[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for a sequel to live up to or even surpass the original's greatness is very rare indeed . 	for a sequel to live up to or even surpass the original's greatness is very rare indeed .	3	-1	 for[0] a[0] sequel[0] to[0] live[0] up[0] to[0] or[0] even[0] surpass[0] the[0] original's[0] greatness[2] is[0] very[0] rare[0] indeed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and whereas " babe : pig in the city " misses equaling the greatness of its best picture nominated predecessor babe , it is a worthy companion piece . 	and whereas " babe : pig in the city " misses equaling the greatness of its best picture nominated predecessor babe , it is a worthy companion piece .	3	-3	 and[0] whereas[0] babe[0] pig[0] in[0] the[0] city[0] misses[-2] equaling[0] the[0] greatness[2] of[0] its[0] best[1] picture[0] nominated[0] predecessor[0] babe[0] it[0] is[0] a[0] worthy[0] companion[0] piece[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
more than that , it is a spectacular work of art that deserves to stand alone in its own right . 	more than that , it is a spectacular work of art that deserves to stand alone in its own right .	1	-1	 more[0] than[0] that[0] it[0] is[0] a[0] spectacular[0] work[0] of[0] art[0] that[0] deserves[0] to[0] stand[0] alone[0] in[0] its[0] own[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " babe : pig in the city " warrants the classification of being recognized with such classics like " the godfather : part ii " and " the empire strikes back " as being one of the greatest sequels ever produced . 	 " babe : pig in the city " warrants the classification of being recognized with such classics like " the godfather : part i " and " the empire strikes back " as being one of the greatest sequels ever produced .	3	-1	 babe[0] pig[0] in[0] the[0] city[0] warrants[0] the[0] classification[0] of[0] being[0] recognized[0] with[0] such[0] classics[0] like[1] the[0] godfather[0] part[0] ii/i[0] and[0] the[0] empire[0] strikes[0] back[0] as[0] being[0] one[0] of[0] the[0] greatest[2] sequels[0] ever[0] produced[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " babe : pig in the city " picks up precisely where " babe " left off . 	 " babe : pig in the city " picks up precisely where " babe " left off .	1	-1	 babe[0] pig[0] in[0] the[0] city[0] picks[0] up[0] precisely[0] where[0] babe[0] left[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having won the sheep herding competition , farmer hoggett ( james cromwell ) and his pig are elevated to fame status . 	having won the sheep herding competition , farmer hoggett ( james cromwell ) and his pig are elevated to fame status .	1	-1	 having[0] won[0] the[0] sheep[0] herding[0] competition[0] farmer[0] hoggett[0] james[0] cromwell[0] and[0] his[0] pig[0] are[0] elevated[0] to[0] fame[0] status[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a series of unfortunate circumstances and hilariously freakish events leads to mrs . hoggett taking babe from the small country farm into the big city . 	a series of unfortunate circumstances and hilariously freakish events leads to mrs .<br> hoggett taking babe from the small country farm into the big city .	3	-2	 a[0] series[0] of[0] unfortunate[-1] circumstances[0] and[0] hilariously[2] freakish[-1] events[0] leads[0] to[0] mrs[0] [[Sentence=-2,3=word max, 1-5]] hoggett[0] taking[0] babe[0] from[0] the[0] small[0] country[0] farm[0] into[0] the[0] big[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
in doing so , the film transports us into a wonderfully imaginative world that simultaneously mirrors and exceeds the creative design seen in the original . 	in doing so , the film transports us into a wonderfully imaginative world that simultaneously mirrors and exceeds the creative design seen in the original .	3	-1	 in[0] doing[0] so[0] the[0] film[0] transports[0] us[0] into[0] a[0] wonderfully[2] imaginative[1] world[0] that[0] simultaneously[0] mirrors[0] and[0] exceeds[0] the[0] creative[0] design[0] seen[0] in[0] the[0] original[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " babe : pig in the city " flourishes where so many sequels fail . 	 " babe : pig in the city " flourishes where so many sequels fail .	1	-3	 babe[0] pig[0] in[0] the[0] city[0] flourishes[0] where[0] so[0] many[0] sequels[0] fail[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most sequels simply rehash the events of the first film . 	most sequels simply rehash the events of the first film .	1	-1	 most[0] sequels[0] simply[0] rehash[0] the[0] events[0] of[0] the[0] first[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not " babe : pig in the city " . 	not " babe : pig in the city " .	1	-1	 not[0] babe[0] pig[0] in[0] the[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a completely original tale that offers up a story drastically different than the first . 	this is a completely original tale that offers up a story drastically different than the first .	1	-1	 this[0] is[0] a[0] completely[0] original[0] tale[0] that[0] offers[0] up[0] a[0] story[0] drastically[0] different[0] than[0] the[0] first[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , by not being content to utilize most of the old characters , this film gives us many new ones to enjoy . 	also , by not being content to utilize most of the old characters , this film gives us many new ones to enjoy .	3	-1	 also[0] by[0] not[0] being[0] content[0] to[0] utilize[0] most[0] of[0] the[0] old[0] characters[0] this[0] film[0] gives[0] us[0] many[0] new[0] ones[0] to[0] enjoy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in essence , it doesn't attempt to copy itself . 	in essence , it doesn't attempt to copy itself .	1	-1	 in[0] essence[0] it[0] doesn't[0] attempt[0] to[0] copy[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , it strives to achieve an originality of its own . 	instead , it strives to achieve an originality of its own .	1	-1	 instead[0] it[0] strives[0] to[0] achieve[0] an[0] originality[0] of[0] its[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it succeeds . 	and it succeeds .	3	-1	 and[0] it[0] succeeds[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that's not to say the familiar is absent . 	that's not to say the familiar is absent .	1	-2	 that's[0] not[0] to[0] say[0] the[0] familiar[0] is[0] absent[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " babe : pig in the city " retains some of the best core elements and characters from the first film . 	 " babe : pig in the city " retains some of the best core elements and characters from the first film .	2	-1	 babe[0] pig[0] in[0] the[0] city[0] retains[0] some[0] of[0] the[0] best[1] core[0] elements[0] and[0] characters[0] from[0] the[0] first[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
along with babe himself , ferdinand the duck comes along for the ride , as does mrs . hoggett ( one of this decade's best and most underappreciated comic characterizations , hilariously performed by magda szubanski ) . 	along with babe himself , ferdinand the duck comes along for the ride , as does mrs .<br> hoggett ( one of this decade's best and most underappreciated comic characterizations , hilariously performed by magda szubanski ) .	3	-1	 along[0] with[0] babe[0] himself[0] ferdinand[0] the[0] duck[0] comes[0] along[0] for[0] the[0] ride[0] as[0] does[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] hoggett[0] one[0] of[0] this[0] decade's[0] best[1] and[0] most[0] underappreciated[0] comic[0] characterizations[0] hilariously[2] performed[0] by[0] magda[0] szubanski[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the three singing mice also make the journey , chiming in with their cute high-pitched vocals . 	the three singing mice also make the journey , chiming in with their cute high-pitched vocals .	2	-1	 the[0] three[0] singing[0] mice[0] also[0] make[0] the[0] journey[0] chiming[0] in[0] with[0] their[0] cute[1] high[0] pitched[0] vocals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story structure is also similar as each segment is introduced with title cards read by the aforementioned mice . 	the story structure is also similar as each segment is introduced with title cards read by the aforementioned mice .	1	-1	 the[0] story[0] structure[0] is[0] also[0] similar[0] as[0] each[0] segment[0] is[0] introduced[0] with[0] title[0] cards[0] read[0] by[0] the[0] aforementioned[0] mice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from there , we are guided once again by roscoe lee browne's soothingly deep narrative . 	from there , we are guided once again by roscoe lee browne's soothingly deep narrative .	1	-1	 from[0] there[0] we[0] are[0] guided[0] once[0] again[0] by[0] roscoe[0] lee[0] browne's[0] soothingly[0] deep[0] narrative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
composer nigel westlake also returns with his whimsical music style that is perfect for cinematic fables such as these . 	composer nigel westlake also returns with his whimsical music style that is perfect for cinematic fables such as these .	2	-1	 composer[0] nigel[0] westlake[0] also[0] returns[0] with[0] his[0] whimsical[0] music[0] style[0] that[0] is[0] perfect[1] for[0] cinematic[0] fables[0] such[0] as[0] these[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but these elements are simply the frame that surrounds an entirely new painting . 	but these elements are simply the frame that surrounds an entirely new painting .	1	-1	 but[0] these[0] elements[0] are[0] simply[0] the[0] frame[0] that[0] surrounds[0] an[0] entirely[0] new[0] painting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while staying at the flealands hotel , babe encounters a veritable ark-full of new animals . 	while staying at the flealands hotel , babe encounters a veritable ark-full of new animals .	1	-1	 while[0] staying[0] at[0] the[0] flealands[0] hotel[0] babe[0] encounters[0] a[0] veritable[0] ark[0] full[0] of[0] new[0] animals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
