in roger michell's romantic comedy notting hill , william thacker ( hugh grant ) leads a rather dreary life maintaining his flagging travel bookshop in the quaint section of london which lends it's name to the film's title . 	Translation	Positive	Negative	EmotionRationale
one day , american movie superstar anna scott ( julia roberts ) walks in to purchase a book on turkey . 	one day , american movie superstar anna scot ( julia roberts ) walks in to purchase a book on turkey .	1	-1	 one[0] day[0] american[0] movie[0] superstar[0] anna[0] scott/scot[0] julia[0] roberts[0] walks[0] in[0] to[0] purchase[0] a[0] book[0] on[0] turkey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
quickly enamored of each other , the two embark upon an on-again , off-again love affair replete with romance , humor , and the occasional lump in the throat . 	quickly enamored of each other , the two embark upon an on-again , off-again love affair replete with romance , humor , and the occasional lump in the throat .	4	-1	 quickly[0] enamored[0] of[0] each[0] other[0] the[0] two[0] embark[0] upon[0] an[0] on[0] again[0] off[0] again[0] love[2] affair[0] replete[0] with[0] romance[3] humor[2][+1 MultiplePositiveWords] and[0] the[0] occasional[0] lump[0] in[0] the[0] throat[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the film opens with a non-verbal cue to anna's stardom as the title credits appear over a montage of slow motion sequences featuring the actress's appearances in films and at premieres - coming out of limousines , walking the red carpets and such . 	the film opens with a non-verbal cue to anna's stardom as the title credits appear over a montage of slow motion sequences featuring the actress's appearances in films and at premieres - coming out of limousines , walking the red carpets and such .	1	-1	 the[0] film[0] opens[0] with[0] a[0] non[0] verbal[0] cue[0] to[0] anna's[0] stardom[0] as[0] the[0] title[0] credits[0] appear[0] over[0] a[0] montage[0] of[0] slow[0] motion[0] sequences[0] featuring[0] the[0] actress's[0] appearances[0] in[0] films[0] and[0] at[0] premieres[0] coming[0] out[0] of[0] limousines[0] walking[0] the[0] red[0] carpets[0] and[0] such[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
without words , this sequence gives us a background to her character . 	without words , this sequence gives us a background to her character .	1	-1	 without[0] words[0] this[0] sequence[0] gives[0] us[0] a[0] background[0] to[0] her[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
following , however , is a set-up narration by william indicating what he does and where he lives . 	following , however , is a set-up narration by william indicating what he does and where he lives .	1	-1	 following[0] however[0] is[0] a[0] set[0] up[0] narration[0] by[0] william[0] indicating[0] what[0] he[0] does[0] and[0] where[0] he[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't know why the filmmakers chose to go with a narration which tells us nothing we couldn't have figured out by watching the first ten minutes of film , and which never resurfaces after the movie's beginning , but there it is . 	i don't know why the filmmakers chose to go with a narration which tells us nothing we couldn't have figured out by watching the first ten minutes of film , and which never resurfaces after the movie's beginning , but there it is .	1	-1	 i[0] don't[0] know[0] why[0] the[0] filmmakers[0] chose[0] to[0] go[0] with[0] a[0] narration[0] which[0] tells[0] us[0] nothing[0] we[0] couldn't[0] have[0] figured[0] out[0] by[0] watching[0] the[0] first[0] ten[0] minutes[0] of[0] film[0] and[0] which[0] never[0] resurfaces[0] after[0] the[0] movie's[0] beginning[0] but[0] there[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if there were ever a clear case for " less is more , " this would be it . 	if there were ever a clear case for " less is more , " this would be it .	1	-1	 if[0] there[0] were[0] ever[0] a[0] clear[0] case[0] for[0] less[0] is[0] more[0] this[0] would[0] be[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is told nearly first person from william's point of view , as he is in every scene . 	the film is told nearly first person from william's point of view , as he is in every scene .	1	-1	 the[0] film[0] is[0] told[0] nearly[0] first[0] person[0] from[0] william's[0] point[0] of[0] view[0] as[0] he[0] is[0] in[0] every[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by nature of this arrangement , we get a very definite sense of what he is all about , and his nice guy personality wins us over easily . 	by nature of this arrangement , we get a very definite sense of what he is all about , and his nice guy personality wins us over easily .	2	-1	 by[0] nature[0] of[0] this[0] arrangement[0] we[0] get[0] a[0] very[0] definite[0] sense[0] of[0] what[0] he[0] is[0] all[0] about[0] and[0] his[0] nice[1] guy[0] personality[0] wins[0] us[0] over[0] easily[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , much of notting hill's strength lies in the great dialog written for this character by richard curtis . 	in fact , much of noting hill's strength lies in the great dialog written for this character by richard curtis .	3	-3	 in[0] fact[0] much[0] of[0] notting/noting[0] hill's[0] strength[0] lies[-2] in[0] the[0] great[2] dialog[0] written[0] for[0] this[0] character[0] by[0] richard[0] curtis[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a scene where william is still in shock over the fact that he's even talking to a silver screen goddess is made golden by the way bumbles through his attempt to offer her some honey-soaked apricots from his refrigerator . 	a scene where william is still in shock over the fact that he's even talking to a silver screen goddess is made golden by the way bumbles through his attempt to offer her some honey-soaked apricots from his refrigerator .	1	-3	 a[0] scene[0] where[0] william[0] is[0] still[0] in[0] shock[-2] over[0] the[0] fact[0] that[0] he's[0] even[0] talking[0] to[0] a[0] silver[0] screen[0] goddess[0] is[0] made[0] golden[0] by[0] the[0] way[0] bumbles[0] through[0] his[0] attempt[0] to[0] offer[0] her[0] some[0] honey[0] soaked[0] apricots[0] from[0] his[0] refrigerator[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
or take an instance where anna kisses william and asks him never to tell anyone for fear of the incident hurting her image . 	or take an instance where anna kisses william and asks him never to tell anyone for fear of the incident hurting her image .	3	-4	 or[0] take[0] an[0] instance[0] where[0] anna[0] kisses[2] william[0] and[0] asks[0] him[0] never[0] to[0] tell[0] anyone[0] for[0] fear[-3] of[0] the[0] incident[0] hurting[-2] her[0] image[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
william assures her he wouldn't say a word , then adds , " well , i'll probably tell myself now and then , but i'd never believe it . " 	william assures her he wouldn't say a word , then adds , " well , i'll probably tell myself now and then , but i'd never believe it .<br> "	1	-1	 william[0] assures[0] her[0] he[0] wouldn't[0] say[0] a[0] word[0] then[0] adds[0] well[0] i'll[0] probably[0] tell[0] myself[0] now[0] and[0] then[0] but[0] i'd[0] never[0] believe[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
great stuff . 	great stuff .	3	-1	 great[2] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the downside to spending so much time with william is that we don't get to see enough of anna to make their relationship whole and plausible . 	the downside to spending so much time with william is that we don't get to see enough of anna to make their relationship whole and plausible .	1	-1	 the[0] downside[0] to[0] spending[0] so[0] much[0] time[0] with[0] william[0] is[0] that[0] we[0] don't[0] get[0] to[0] see[0] enough[0] of[0] anna[0] to[0] make[0] their[0] relationship[0] whole[0] and[0] plausible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're constantly exposed to william's thoughts , feelings , actions and desires , but don't actually get the sense of how much anna really feels for him . 	we're constantly exposed to william's thoughts , feelings , actions and desires , but don't actually get the sense of how much anna really feels for him .	1	-2	 we're[0] constantly[0] exposed[-1] to[0] william's[0] thoughts[0] feelings[0] actions[0] and[0] desires[0] but[0] don't[0] actually[0] get[0] the[0] sense[0] of[0] how[0] much[0] anna[0] really[0] feels[0] for[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are a couple of instances where she declares her obvious interest , but they nearly come out of nowhere due to the fact that we're not sure what she's been thinking all the times in between . 	there are a couple of instances where she declares her obvious interest , but they nearly come out of nowhere due to the fact that we're not sure what she's been thinking all the times in between .	2	-1	 there[0] are[0] a[0] couple[0] of[0] instances[0] where[0] she[0] declares[0] her[0] obvious[0] interest[1] but[0] they[0] nearly[0] come[0] out[0] of[0] nowhere[0] due[0] to[0] the[0] fact[0] that[0] we're[0] not[0] sure[0] what[0] she's[0] been[0] thinking[0] all[0] the[0] times[0] in[0] between[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this , combined with the sheer iniquity of screen time between the two , makes this hugh grant's film hands down . 	this , combined with the sheer iniquity of screen time between the two , makes this hugh grant's film hands down .	1	-1	 this[0] combined[0] with[0] the[0] sheer[0] iniquity[0] of[0] screen[0] time[0] between[0] the[0] two[0] makes[0] this[0] hugh[0] grant's[0] film[0] hands[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he gets the great scenes ( look for one in which he has to portray an interviewer from horse and hound magazine in order to speak with anna ) , the great lines , and gives an overall wonderful performance . 	he gets the great scenes ( look for one in which he has to portray an interviewer from horse and hound magazine in order to speak with anna ) , the great lines , and gives an overall wonderful performance .	3	-1	 he[0] gets[0] the[0] great[2] scenes[0] look[0] for[0] one[0] in[0] which[0] he[0] has[0] to[0] portray[0] an[0] interviewer[0] from[0] horse[0] and[0] hound[0] magazine[0] in[0] order[0] to[0] speak[0] with[0] anna[0] the[0] great[2] lines[0] and[0] gives[0] an[0] overall[0] wonderful[2] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
julia roberts fans will probably be disappointed by the actress's top billing and subsequent lack of involvement in the film ( ala sandra bullock in a time to kill ) along with her detached performance which is only worsened by her character's unpredictable behavior . 	julia roberts fans will probably be disappointed by the actress's top billing and subsequent lack of involvement in the film ( ala sandra bullock in a time to kill ) along with her detached performance which is only worsened by her character's unpredictable behavior .	1	-3	 julia[0] roberts[0] fans[0] will[0] probably[0] be[0] disappointed[-1] by[0] the[0] actress's[0] top[0] billing[0] and[0] subsequent[0] lack[-1] of[0] involvement[0] in[0] the[0] film[0] ala[0] sandra[0] bullock[0] in[0] a[0] time[0] to[0] kill[-1] along[0] with[0] her[0] detached[0] performance[0] which[0] is[0] only[0] worsened[-2] by[0] her[0] character's[0] unpredictable[0] behavior[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
anna doesn't get a lot of our compassion . 	anna doesn't get a lot of our compassion .	2	-1	 anna[0] doesn't[0] get[0] a[0] lot[0] of[0] our[0] compassion[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this romantic comedy leans a little more toward the comedy than the romance , much of it supplied by grant himself , but with considerable help from the supporting cast . 	this romantic comedy leans a little more toward the comedy than the romance , much of it supplied by grant himself , but with considerable help from the supporting cast .	4	-1	 this[0] romantic[3] comedy[0] leans[0] a[0] little[0] more[0] toward[0] the[0] comedy[0] than[0] the[0] romance[3] much[0] of[0] it[0] supplied[0] by[0] grant[0] himself[0] but[0] with[0] considerable[0] help[0] from[0] the[0] supporting[1] cast[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
