here's a word analogy : amistad is to the lost world as schindler's list is to jurassic park . 	Translation	Positive	Negative	EmotionRationale
in 1993 , after steven spielberg made the monster dino hit , many critics described schindler's list as the director's " penance " ( as if there was a need for him to apologize for making a crowd-pleasing blockbuster ) . 	in 1993 , after steven spielberg made the monster dino hit , many critics described schindler's list as the director's " penance " ( as if there was a need for him to apologize for making a crowd-pleasing blockbuster ) .	3	-2	 in[0] 1993[0] after[0] steven[0] spielberg[0] made[0] the[0] monster[-1] dino[0] hit[0] many[0] critics[0] described[0] schindler's[0] list[0] as[0] the[0] director's[0] penance[0] as[0] if[0] there[0] was[0] a[0] need[0] for[0] him[0] to[0] apologize[0] for[0] making[0] a[0] crowd[0] pleasing[2] blockbuster[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
now , after a three-year layoff , spielberg is back with a vengeance . 	now , after a three-year layoff , spielberg is back with a vengeance .	1	-3	 now[0] after[0] a[0] three[0] year[0] layoff[0] spielberg[0] is[0] back[0] with[0] a[0] vengeance[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
once again , his summer release was special effects-loaded action/adventure flick with dinosaurs munching on human appetizers . 	once again , his summer release was special effects-loaded action/adventure flick with dinosaurs munching on human appetizers .	2	-1	 once[0] again[0] his[0] summer[0] release[0] was[0] special[1] effects[0] loaded[0] action/adventure[0] flick[0] with[0] dinosaurs[0] munching[0] on[0] human[0] appetizers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now , following his 1993 pattern , he has fashioned another serious , inspirational christmas release about the nature of humanity . 	now , following his 1993 pattern , he has fashioned another serious , inspirational christmas release about the nature of humanity .	3	-2	 now[0] following[0] his[0] 1993[0] pattern[0] he[0] has[0] fashioned[0] another[0] serious[-1] inspirational[2] christmas[0] release[0] about[0] the[0] nature[0] of[0] humanity[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that film is amistad . 	that film is amistad .	1	-1	 that[0] film[0] is[0] amistad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although not as masterful as schindler's list , amistad is nevertheless a gripping motion picture . 	although not as masterful as schindler's list , amistad is nevertheless a gripping motion picture .	1	-1	 although[0] not[0] as[0] masterful[0] as[0] schindler's[0] list[0] amistad[0] is[0] nevertheless[0] a[0] gripping[0] motion[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thematically rich , impeccably crafted , and intellectually stimulating , the only area where this movie falls a little short is in its emotional impact . 	thematically rich , impeccably crafted , and intellectually stimulating , the only area where this movie falls a little short is in its emotional impact .	1	-2	 thematically[0] rich[0] impeccably[0] crafted[0] and[0] intellectually[0] stimulating[0] the[0] only[0] area[0] where[0] this[0] movie[0] falls[0] a[0] little[0] short[0] is[0] in[0] its[0] emotional[-1] impact[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
watching schindler's list was a powerful , almost spiritual , experience . 	watching schindler's list was a powerful , almost spiritual , experience .	1	-1	 watching[0] schindler's[0] list[0] was[0] a[0] powerful[0] almost[0] spiritual[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spielberg pulled us into the narrative , absorbed us in the drama , then finally let us go , exhausted and shattered , three-plus hours later . 	spielberg pulled us into the narrative , absorbed us in the drama , then finally let us go , exhausted and shattered , three-plus hours later .	1	-2	 spielberg[0] pulled[0] us[0] into[0] the[0] narrative[0] absorbed[0] us[0] in[0] the[0] drama[0] then[0] finally[0] let[0] us[0] go[0] exhausted[-1] and[0] shattered[0] three[0] plus[0] hours[0] later[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aspects of the movie have stayed with me ever since . 	aspects of the movie have stayed with me ever since .	1	-1	 aspects[0] of[0] the[0] movie[0] have[0] stayed[0] with[0] me[0] ever[0] since[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
amistad , while a fine example of film making , is not as transcendent . 	amistad , while a fine example of film making , is not as transcendent .	3	-1	 amistad[0] while[0] a[0] fine[2] example[0] of[0] film[0] making[0] is[0] not[0] as[0] transcendent[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the incident of the ship la amistad is not found in any history books , but , considering who writes the texts , that's not a surprise . 	the incident of the ship la amistad is not found in any history books , but , considering who writes the texts , that's not a surprise .	1	-1	 the[0] incident[0] of[0] the[0] ship[0] la[0] amistad[0] is[0] not[0] found[0] in[0] any[0] history[0] books[0] but[0] considering[0] who[0] writes[0] the[0] texts[0] that's[0] not[0] a[0] surprise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
