leonardo decaprio ( what's eating gilbert grape ) and claire danes ( tv's my so called life ) star in director baz luhrmann's modernized version of william shakespeare's classic , romeo & juliet . 	Translation	Positive	Negative	EmotionRationale
surrounded by a superb supporting cast , in-cluding paul sorvino ( goodfellas ) , brian dennehy ( tommy boy ) , pete poslethwaite ( the usual sus-pects ) and john leguizamo ( executive decision ) , decaprio and danes shine throughout the film . 	surrounded by a superb supporting cast , in-cluding paul sorvino ( goodfellas ) , brian dennehy ( tommy boy ) , pete poslethwaite ( the usual sus-pects ) and john leguizamo ( executive decision ) , decaprio and danes shine throughout the film .	2	-1	 surrounded[0] by[0] a[0] superb[0] supporting[1] cast[0] in[0] cluding[0] paul[0] sorvino[0] goodfellas[0] brian[0] dennehy[0] tommy[0] boy[0] pete[0] poslethwaite[0] the[0] usual[0] sus[0] pects[0] and[0] john[0] leguizamo[0] executive[0] decision[0] decaprio[0] and[0] danes[0] shine[0] throughout[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story starts off at a gas station , where the " montague boys " meet the " capulet boys " and square off with one another . 	the story starts off at a gas station , where the " montague boys " meet the " capulet boys " and square off with one another .	1	-1	 the[0] story[0] starts[0] off[0] at[0] a[0] gas[0] station[0] where[0] the[0] montague[0] boys[0] meet[0] the[0] capulet[0] boys[0] and[0] square[0] off[0] with[0] one[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
symbolizing the swords of shakespeare's day were their weapons , like the " rapier-9mm " or the " longsword- shotgun . " 	symbolizing the swords of shakespeare's day were their weapons , like the " rapier-9m " or the " longsword- shotgun .<br> "	2	-2	 symbolizing[0] the[0] swords[0] of[0] shakespeare's[0] day[0] were[0] their[0] weapons[-1] like[1] the[0] rapier[0] -9mm/-9m[0] or[0] the[0] longsword[0] shotgun[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead of killing each other right away , they shoot around , just like in sword fights of old . 	instead of killing each other right away , they shoot around , just like in sword fights of old .	1	-3	 instead[0] of[0] killing[-1] each[0] other[0] right[0] away[0] they[0] shoot[-1] around[0] just[0] like[1][-1 LastWordBoosterStrength] in[0] sword[0] fights[-2] of[0] old[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another great thing about the film was the performance of harold perrineau as romeo's best friend . 	another great thing about the film was the performance of harold perrineau as romeo's best friend .	3	-1	 another[0] great[2] thing[0] about[0] the[0] film[0] was[0] the[0] performance[0] of[0] harold[0] perrineau[0] as[0] romeo's[0] best[1] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mercutio , who in shakespeare's novel was quite a stud , was portrayed as an afri-can-american cross-dresser whose violent na-ture , was a definite plus . 	mercutio , who in shakespeare's novel was quite a stud , was portrayed as an afri-can-american cross-dresser whose violent na-ture , was a definite plus .	1	-3	 mercutio[0] who[0] in[0] shakespeare's[0] novel[0] was[0] quite[0] a[0] stud[0] was[0] portrayed[0] as[0] an[0] afri[0] can[0] american[0] cross[-1] dresser[0] whose[0] violent[-2] na[0] ture[0] was[0] a[0] definite[0] plus[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
miriam margoyles , a virtually unknown actress was astounding as juliet's nurse , even though she was never given a name . 	miriam margoyles , a virtually unknown actress was astounding as juliet's nurse , even though she was never given a name .	1	-1	 miriam[0] margoyles[0] a[0] virtually[0] unknown[0] actress[0] was[0] astounding[0] as[0] juliet's[0] nurse[0] even[0] though[0] she[0] was[0] never[0] given[0] a[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she was the only one who could keep juliet out of her fantasy world . 	she was the only one who could keep juliet out of her fantasy world .	1	-1	 she[0] was[0] the[0] only[0] one[0] who[0] could[0] keep[0] juliet[0] out[0] of[0] her[0] fantasy[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
verona was the home of the rival families in shakespeare's version , only slightly changed in luhrmann's . 	verona was the home of the rival families in shakespeare's version , only slightly changed in luhrmann's .	1	-2	 verona[0] was[0] the[0] home[0] of[0] the[0] rival[-1] families[0] in[0] shakespeare's[0] version[0] only[0] slightly[0] changed[0] in[0] luhrmann's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now known as verona beach , the capulet's ( led by sorvino ) and montague's ( led by dennehy ) are now rival corporate dynasties . 	now known as verona beach , the capulet's ( led by sorvino ) and montague's ( led by dennehy ) are now rival corporate dynasties .	1	-2	 now[0] known[0] as[0] verona[0] beach[0] the[0] capulet's[0] led[0] by[0] sorvino[0] and[0] montague's[0] led[0] by[0] dennehy[0] are[0] now[0] rival[-1] corporate[0] dynasties[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
