close your eyes for a moment , if you will , and imagine the sound of stephen rea's gaelic brogue , silky smooth and irish like a pint of guinness . 	Translation	Positive	Negative	EmotionRationale
a lackadaisical , naughty little schoolboy voice that flirts and gambols . 	a lackadaisical , naughty little schoolboy voice that flirts and gambols .	2	-2	 a[0] lackadaisical[0] naughty[-1] little[0] schoolboy[0] voice[0] that[0] flirts[1] and[0] gambols[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
an acerbic , sing-song metered voice that evokes the startling imagery and language of anthony burgess' " a clockwork orange . " 	an acerbic , sing-song metered voice that evokes the startling imagery and language of anthony burgess' " a clockwork orange .<br> "	1	-2	 an[0] acerbic[0] sing[0] song[0] metered[0] voice[0] that[0] evokes[0] the[0] startling[-1] imagery[0] and[0] language[0] of[0] anthony[0] burgess'[0] a[0] clockwork[0] orange[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a voice that deliciously conjures scenes both porcine and puerile , like those out of " delicatessen , " or " the tin drum . " 	a voice that deliciously conjures scenes both porcine and puerile , like those out of " delicatessen , " or " the tin drum .<br> "	3	-1	 a[0] voice[0] that[0] deliciously[2] conjures[0] scenes[0] both[0] porcine[0] and[0] puerile[0] like[1] those[0] out[0] of[0] delicatessen[0] or[0] the[0] tin[0] drum[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
imagine all of that , and you'll get a good sense of what you can expect from " the butcher boy . " 	imagine all of that , and you'll get a good sense of what you can expect from " the butcher boy .<br> "	2	-1	 imagine[0] all[0] of[0] that[0] and[0] you'll[0] get[0] a[0] good[1] sense[0] of[0] what[0] you[0] can[0] expect[0] from[0] the[0] butcher[0] boy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
imagine that and more . 	imagine that and more .	1	-1	 imagine[0] that[0] and[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neil jordan's latest film " stars " rea in more ways than one . 	neil jordan's latest film " stars " rea in more ways than one .	1	-1	 neil[0] jordan's[0] latest[0] film[0] stars[0] rea[0] in[0] more[0] ways[0] than[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rea , the accomplished irish actor most notable from his star turn in jordan's " the crying game , " contributes a restrained and managed performance as da brady , a small town drunk in an unnamed irish community in the 1960s . 	rea , the accomplished irish actor most notable from his star turn in jordan's " the crying game , " contributes a restrained and managed performance as da brady , a small town drunk in an unnamed irish community in the 1960s .	2	-4	 rea[0] the[0] accomplished[1] irish[0] actor[0] most[0] notable[0] from[0] his[0] star[0] turn[0] in[0] jordan's[0] the[0] crying[-3] game[0] contributes[0] a[0] restrained[0] and[0] managed[0] performance[0] as[0] da[0] brady[0] a[0] small[0] town[0] drunk[-1] in[0] an[0] unnamed[0] irish[0] community[0] in[0] the[0] 1960s[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but it's his wall-to-wall narration as the butcher boy of the title , da brady's son , francis , that makes rea's " performance " worth watching , worth listening to . 	but it's his wall-to-wall narration as the butcher boy of the title , da brady's son , francis , that makes rea's " performance " worth watching , worth listening to .	1	-1	 but[0] it's[0] his[0] wall[0] to[0] wall[0] narration[0] as[0] the[0] butcher[0] boy[0] of[0] the[0] title[0] da[0] brady's[0] son[0] francis[0] that[0] makes[0] rea's[0] performance[0] worth[0] watching[0] worth[0] listening[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that's only half the fun . 	and that's only half the fun .	2	-1	 and[0] that's[0] only[0] half[0] the[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
playing the young francie brady is newcomer eamonn owens and he is , without a doubt , a revelation . 	playing the young francie brady is newcomer eamon owens and he is , without a doubt , a revelation .	2	-2	 playing[1] the[0] young[0] francie[0] brady[0] is[0] newcomer[0] eamonn/eamon[0] owens[0] and[0] he[0] is[0] without[0] a[0] doubt[-1] a[0] revelation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for as much as rea's voiceover permeates almost every scene of " the butcher boy , " owens commands virtually every frame . 	for as much as rea's voiceover permeates almost every scene of " the butcher boy , " owens commands virtually every frame .	1	-1	 for[0] as[0] much[0] as[0] rea's[0] voiceover[0] permeates[0] almost[0] every[0] scene[0] of[0] the[0] butcher[0] boy[0] owens[0] commands[0] virtually[0] every[0] frame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's impossible to take your eyes off him . 	it's impossible to take your eyes off him .	1	-1	 it's[0] impossible[0] to[0] take[0] your[0] eyes[0] off[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with his crop of carrot-colored hair , ruddy complexion , and overall grubby appearance , francie brady is an unlikely hero , refusing to be done in by his alcoholic , trumpet-playing father , his depressive , suicidal mother , or the neighboring , bespectacled monster known as mrs . nugent ( fiona shaw ) . 	with his crop of carrot-colored hair , ruddy complexion , and overall grubby appearance , francie brady is an unlikely hero , refusing to be done in by his alcoholic , trumpet-playing father , his depressive , suicidal mother , or the neighboring , bespectacled monster known as mrs .<br> nugent ( fiona shaw ) .	3	-4	 with[0] his[0] crop[0] of[0] carrot[0] colored[0] hair[0] ruddy[0] complexion[0] and[0] overall[0] grubby[0] appearance[0] francie[0] brady[0] is[0] an[0] unlikely[0] hero[2] refusing[0] to[0] be[0] done[0] in[0] by[0] his[0] alcoholic[0] trumpet[0] playing[1] father[0] his[0] depressive[-3] suicidal[0] mother[0] or[0] the[0] neighboring[0] bespectacled[0] monster[-1] known[0] as[0] mrs[0] [[Sentence=-4,3=word max, 1-5]] nugent[0] fiona[0] shaw[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
in fact , everything was ok until " the nugent " came to town . 	in fact , everything was ok until " the nugent " came to town .	1	-1	 in[0] fact[0] everything[0] was[0] ok[0] until[0] the[0] nugent[0] came[0] to[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , she poses as much a threat to the safety and security of town bully francie and his best pal joe ( alan boyle ) as the looming commie menace ( " the butcher boy " is set at a time when the fear of nuclear obliteration is first and foremost in the minds of many ) . 	now , she poses as much a threat to the safety and security of town bully francie and his best pal joe ( alan boyle ) as the looming commie menace ( " the butcher boy " is set at a time when the fear of nuclear obliteration is first and foremost in the minds of many ) .	2	-4	 now[0] she[0] poses[0] as[0] much[0] a[0] threat[-2] to[0] the[0] safety[1] and[0] security[1] of[0] town[0] bully[0] francie[0] and[0] his[0] best[1] pal[0] joe[0] alan[0] boyle[0] as[0] the[0] looming[0] commie[0] menace[-2] the[0] butcher[0] boy[0] is[0] set[0] at[0] a[0] time[0] when[0] the[0] fear[-3] of[0] nuclear[0] obliteration[0] is[0] first[0] and[0] foremost[0] in[0] the[0] minds[0] of[0] many[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " pigs ! " screams mrs . nugent at the brady menagerie . 	 " pigs !<br> " screams mrs .<br> nugent at the brady menagerie .	1	-4	 pigs[0] [[Sentence=-1,1=word max, 1-5]] screams[-3] mrs[0] [[Sentence=-4,1=word max, 1-5]] nugent[0] at[0] the[0] brady[0] menagerie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " you're all pigs ! " 	 " you're all pigs !<br> "	1	-1	 you're[0] all[0] pigs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's the start of many a related image . 	it's the start of many a related image .	1	-1	 it's[0] the[0] start[0] of[0] many[0] a[0] related[0] image[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after ma brady is shipped off to the " garage " for psychiatric observation and da brady downs one bottle of whiskey too many , francie finally loses grip of his fantasy world of cowboys and indians , the lone ranger , and other comicbook characters . 	after ma brady is shipped off to the " garage " for psychiatric observation and da brady downs one bottle of whiskey too many , francie finally loses grip of his fantasy world of cowboys and indians , the lone ranger , and other comicbook characters .	1	-2	 after[0] ma[0] brady[0] is[0] shipped[0] off[0] to[0] the[0] garage[0] for[0] psychiatric[0] observation[0] and[0] da[0] brady[0] downs[0] one[0] bottle[0] of[0] whiskey[0] too[0] many[0] francie[0] finally[0] loses[-1] grip[0] of[0] his[0] fantasy[0] world[0] of[0] cowboys[0] and[0] indians[0] the[0] lone[-1] ranger[0] and[0] other[0] comicbook[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
squealing like a stuck pig , francie does " the likes o' that " on the nugent's living room floor , and is himself whisked away to a very catholic remand home for " boney arsed bogmen , " where his ever fertile imagination--and clever chicanery--runneth over . 	squealing like a stuck pig , francie does " the likes o' that " on the nugent's living room floor , and is himself whisked away to a very catholic remand home for " boney arsed bogmen , " where his ever fertile imagination-and clever chicanery-runneth over .	3	-1	 squealing[0] like[1] a[0] stuck[0] pig[0] francie[0] does[0] the[0] likes[2] o'[0] that[0] on[0] the[0] nugent's[0] living[0] room[0] floor[0] and[0] is[0] himself[0] whisked[0] away[0] to[0] a[0] very[0] catholic[0] remand[0] home[0] for[0] boney[0] arsed[0] bogmen[0] where[0] his[0] ever[0] fertile[0] imagination[0] and[0] clever[0] chicanery[0] runneth[0] over[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director jordan's vivid treatment of pat mccabe's nightmare novel produces a sometimes disturbing , dark comedy littered with surreal touches ( such as sin ? ad o'connor playing the virgin mary ) . 	director jordan's vivid treatment of pat mccabe's nightmare novel produces a sometimes disturbing , dark comedy littered with surreal touches ( such as sin ?<br> ad o'connor playing the virgin mary ) .	2	-3	 director[0] jordan's[0] vivid[0] treatment[0] of[0] pat[0] mccabe's[0] nightmare[-2] novel[0] produces[0] a[0] sometimes[0] disturbing[-1][--1 LastWordBoosterStrength] dark[0] comedy[0] littered[-1] with[0] surreal[0] touches[0] such[0] as[0] sin[-1] [[Sentence=-3,1=word max, 1-5]] ad[0] o'connor[0] playing[1] the[0] virgin[0] mary[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's not as outlandish as the trailers make out ; instead , this remarkable film focuses on the effects external influences have on the friendship between two boys ( schoolboy chums in real life ) , allowing us to empathize with their plight in the presence of extraordinary behavior . 	it's not as outlandish as the trailers make out ; instead , this remarkable film focuses on the effects external influences have on the friendship between two boys ( schoolboy chums in real life ) , allowing us to empathize with their plight in the presence of extraordinary behavior .	2	-2	 it's[0] not[0] as[0] outlandish[0] as[0] the[0] trailers[0] make[0] out[0] instead[0] this[0] remarkable[0] film[0] focuses[0] on[0] the[0] effects[0] external[0] influences[0] have[0] on[0] the[0] friendship[1] between[0] two[0] boys[0] schoolboy[0] chums[0] in[0] real[0] life[0] allowing[0] us[0] to[0] empathize[0] with[0] their[0] plight[-1] in[0] the[0] presence[0] of[0] extraordinary[0] behavior[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's bleak and it's black but it's fundamentally very funny . 	it's bleak and it's black but it's fundamentally very funny .	3	-2	 it's[0] bleak[-1] and[0] it's[0] black[0] but[0] it's[0] fundamentally[0] very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
rea talks us through it , beautifully , and owens drags us though it , admirably , and , in tandem with jordan's sure hand , theirs are contributions to make " the butcher boy " a film worth savoring . 	rea talks us through it , beautifully , and owens drags us though it , admirably , and , in tandem with jordan's sure hand , theirs are contributions to make " the butcher boy " a film worth savoring .	3	-1	 rea[0] talks[0] us[0] through[0] it[0] beautifully[2] and[0] owens[0] drags[0] us[0] though[0] it[0] admirably[2] and[0] in[0] tandem[0] with[0] jordan's[0] sure[0] hand[0] theirs[0] are[0] contributions[0] to[0] make[0] the[0] butcher[0] boy[0] a[0] film[0] worth[0] savoring[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
