pollock starring ed harris , marcia gay harden , tom bower , jennifer connelly screenplay by barbara turner and susan j . emshwiller , based on the book " jackson pollock : an american saga " by steven naifeh and gregory white smith directed by ed harris 	Translation	Positive	Negative	EmotionRationale
 * * * for more film , dvd and books about movie reviews , plus annual coverage of the toronto international film festival , visit _film freak central_ - http : //filmfreakcentral . net 	 * * * for more film , dvd and books about movie reviews , plus annual coverage of the toronto international film festival , visit _film freak central_ - http : //filmfreakcentral .<br> net	1	-2	 for[0] more[0] film[0] dvd[0] and[0] books[0] about[0] movie[0] reviews[0] plus[0] annual[0] coverage[0] of[0] the[0] toronto[0] international[0] film[0] festival[0] visit[0] _film[0] freak[-1] central_[0] http[0] //filmfreakcentral[0] [[Sentence=-2,1=word max, 1-5]] net[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
  now with search engine * * * 	  now with search engine * * *	1	-1	 now[0] with[0] search[0] engine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " how do you know when you're finished making love ? " 	 " how do you know when you're finished making love ?<br> "	3	-1	 how[0] do[0] you[0] know[0] when[0] you're[0] finished[0] making[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
-jackson pollock to a life magazine reporter on recognizing when you've completed a painting 	-jackson pollock to a life magazine reporter on recognizing when you've completed a painting	1	-1	 jackson[0] pollock[0] to[0] a[0] life[0] magazine[0] reporter[0] on[0] recognizing[0] when[0] you've[0] completed[0] a[0] painting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackson pollock's " making love " quote is famous , but in practically the same breath , he said a more constructive thing , " it's like looking at a bed of flowers--tear your hair out over what it means . " 	jackson pollock's " making love " quote is famous , but in practically the same breath , he said a more constructive thing , " it's like looking at a bed of flowers-tear your hair out over what it means .<br> "	3	-2	 jackson[0] pollock's[0] making[0] love[2] quote[0] is[0] famous[0] but[0] in[0] practically[0] the[0] same[0] breath[0] he[0] said[0] a[0] more[0] constructive[0] thing[0] it's[0] like[1] looking[0] at[0] a[0] bed[0] of[0] flowers[0] tear[-1] your[0] hair[0] out[0] over[0] what[0] it[0] means[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it took him sixteen words to do as whole dissertations have tried and failed : equate god and abstract art and offer a kind of backhanded comfort to those confused to the point of resentment by the concept . 	it took him sixteen words to do as whole dissertations have tried and failed : equate god and abstract art and offer a kind of backhanded comfort to those confused to the point of resentment by the concept .	2	-3	 it[0] took[0] him[0] sixteen[0] words[0] to[0] do[0] as[0] whole[0] dissertations[0] have[0] tried[0] and[0] failed[-2] equate[0] god[0] and[0] abstract[0] art[0] and[0] offer[0] a[0] kind[1] of[0] backhanded[0] comfort[1] to[0] those[0] confused[-1] to[0] the[0] point[0] of[0] resentment[-2] by[0] the[0] concept[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the biopic _pollock_ , actor ed harris' directorial debut , reflects the second soundbite in how it accepts pollock's creations as part of the order of things , and should similarly disarm haters of fine art . 	the biopic _pollock_ , actor ed harris' directorial debut , reflects the second soundbite in how it accepts pollock's creations as part of the order of things , and should similarly disarm haters of fine art .	3	-4	 the[0] biopic[0] _pollock_[0] actor[0] ed[0] harris'[0] directorial[0] debut[0] reflects[0] the[0] second[0] soundbite[0] in[0] how[0] it[0] accepts[0] pollock's[0] creations[0] as[0] part[0] of[0] the[0] order[0] of[0] things[0] and[0] should[0] similarly[0] disarm[-1] haters[-3] of[0] fine[2] art[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
arguably more than any other living actor , harris , who also plays _pollock_ , embodies the archetypal working stiff , and his blue-collar demystification of pollock's labour-intensive art , both as performer and director , makes for unpretentious cinema . 	arguably more than any other living actor , harris , who also plays _pollock_ , embodies the archetypal working stiff , and his blue-collar demystification of pollock's labour-intensive art , both as performer and director , makes for unpretentious cinema .	2	-2	 arguably[-1] more[0] than[0] any[0] other[0] living[0] actor[0] harris[0] who[0] also[0] plays[1] _pollock_[0] embodies[0] the[0] archetypal[0] working[0] stiff[0] and[0] his[0] blue[0] collar[0] demystification[0] of[0] pollock's[0] labour[0] intensive[0] art[0] both[0] as[0] performer[0] and[0] director[0] makes[0] for[0] unpretentious[0] cinema[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( from what i know of harris , he , like pollock , was not born gifted or lucky ; instead , a strong work ethic is the seed of his success . ) 	 ( from what i know of harris , he , like pollock , was not born gifted or lucky ; instead , a strong work ethic is the seed of his success .<br> )	3	-1	 from[0] what[0] i[0] know[0] of[0] harris[0] he[0] like[1] pollock[0] was[0] not[0] born[0] gifted[0] or[0] lucky[1] instead[0] a[0] strong[0] work[0] ethic[0] is[0] the[0] seed[0] of[0] his[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
granted , it's possible that _pollock_ will alienate those same viewers perplexed by the imponderable " purpose " of pollock's splatter series : the common thread between them is a lack of editorializing . 	granted , it's possible that _pollock_ will alienate those same viewers perplexed by the imponderable " purpose " of pollock's splatter series : the common thread between them is a lack of editorializing .	1	-2	 granted[0] it's[0] possible[0] that[0] _pollock_[0] will[0] alienate[-1] those[0] same[0] viewers[0] perplexed[-1] by[0] the[0] imponderable[0] purpose[0] of[0] pollock's[0] splatter[0] series[0] the[0] common[0] thread[0] between[0] them[0] is[0] a[0] lack[-1] of[0] editorializing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
