the truman show ( paramount pictures ) running time : 1 hour 42 minutes starring jim carrey and ed harris directed by peter weir after a long wait , jim carrey's dramatic debut finally makes it to the big screen . 	Translation	Positive	Negative	EmotionRationale
in case you've been asleep for the last few months , the plot centres on truman burbank ( carrey ) who leads an seemingly idyllic life in the beautiful town of seahaven . 	in case you've been asleep for the last few months , the plot centres on truman burbank ( carrey ) who leads an seemingly idyllic life in the beautiful town of seahaven .	3	-1	 in[0] case[0] you've[0] been[0] asleep[0] for[0] the[0] last[0] few[0] months[0] the[0] plot[0] centres[0] on[0] truman[0] burbank[0] carrey[0] who[0] leads[0] an[0] seemingly[0] idyllic[0] life[0] in[0] the[0] beautiful[2] town[0] of[0] seahaven[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his life seems so perfect , however , because it's controlled by christoff ( harris ) creator of the truman show , the program burbank is unwittingly the hero of . 	his life seems so perfect , however , because it's controlled by christoff ( harris ) creator of the truman show , the program burbank is unwittingly the hero of .	3	-1	 his[0] life[0] seems[0] so[0] perfect[1] however[0] because[0] it's[0] controlled[0] by[0] christoff[0] harris[0] creator[0] of[0] the[0] truman[0] show[0] the[0] program[0] burbank[0] is[0] unwittingly[0] the[0] hero[2] of[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that's right , burbank's life is being broadcast live to the american public , and seahaven and all it's inhabitants are inclosed in a massive sound stage . 	that's right , burbank's life is being broadcast live to the american public , and seahaven and all it's inhabitants are inclosed in a massive sound stage .	1	-1	 that's[0] right[0] burbank's[0] life[0] is[0] being[0] broadcast[0] live[0] to[0] the[0] american[0] public[0] and[0] seahaven[0] and[0] all[0] it's[0] inhabitants[0] are[0] inclosed[0] in[0] a[0] massive[0] sound[0] stage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film takes the jerry springer format one step too far . . . 	the film takes the jerry springer format one step too far .<br> .<br> .	1	-1	 the[0] film[0] takes[0] the[0] jerry[0] springer[0] format[0] one[0] step[0] too[0] far[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with an idea so different , it would be easy for the director and screenwriter to dumb it down and appeal to the lowest common denominator . 	with an idea so different , it would be easy for the director and screenwriter to dumb it down and appeal to the lowest common denominator .	1	-2	 with[0] an[0] idea[0] so[0] different[0] it[0] would[0] be[0] easy[0] for[0] the[0] director[0] and[0] screenwriter[0] to[0] dumb[-1] it[0] down[0] and[0] appeal[0] to[0] the[0] lowest[-1] common[0] denominator[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
luckily , the film remains sensible enough to appeal to all ages , yet never seems to be a dumb carrey movie . 	luckily , the film remains sensible enough to appeal to all ages , yet never seems to be a dumb carrey movie .	3	-2	 luckily[2] the[0] film[0] remains[0] sensible[0] enough[0] to[0] appeal[0] to[0] all[0] ages[0] yet[0] never[0] seems[0] to[0] be[0] a[0] dumb[-1] carrey[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
talking of carrey , he's perfect in this movie , enjoying the best role in his career . 	talking of carrey , he's perfect in this movie , enjoying the best role in his career .	3	-1	 talking[0] of[0] carrey[0] he's[0] perfect[1] in[0] this[0] movie[0] enjoying[2] the[0] best[1] role[0] in[0] his[0] career[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his character is a re-inforced stanley ipkiss from the mask ( 1994 ) and is completely suited to carrey's persona . 	his character is a re-inforced stanley ipkiss from the mask ( 1994 ) and is completely suited to carrey's persona .	1	-1	 his[0] character[0] is[0] a[0] re[0] inforced[0] stanley[0] ipkiss[0] from[0] the[0] mask[0] 1994[0] and[0] is[0] completely[0] suited[0] to[0] carrey's[0] persona[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he occasionally falls into ace ventura mode , shrieking and being silly , but generally the audience is watching subdued carrey . 	he occasionally falls into ace ventura mode , shrieking and being silly , but generally the audience is watching subdued carrey .	1	-2	 he[0] occasionally[0] falls[0] into[0] ace[0] ventura[0] mode[0] shrieking[-1] and[0] being[0] silly[-1] but[0] generally[0] the[0] audience[0] is[0] watching[0] subdued[0] carrey[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's not completely dramatic like the film promises , however . 	he's not completely dramatic like the film promises , however .	2	-2	 he's[0] not[0] completely[0] dramatic[0] like[1][NegatedDueToPreviousWord] the[0] film[0] promises[1] however[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ed harris brings an extreme intensity to christoff , the megalomaniac creator of the show . 	ed harris brings an extreme intensity to christoff , the megalomaniac creator of the show .	1	-1	 ed[0] harris[0] brings[0] an[0] extreme[0] intensity[0] to[0] christoff[0] the[0] megalomaniac[0] creator[0] of[0] the[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
quiet and well spoken , he burns an image into the viewer . 	quiet and well spoken , he burns an image into the viewer .	1	-2	 quiet[0] and[0] well[0] spoken[0] he[0] burns[-1] an[0] image[0] into[0] the[0] viewer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , he's barely in the film , and for the first hour dosen't appear at all ! 	unfortunately , he's barely in the film , and for the first hour dosen't appear at all !	1	-2	 unfortunately[-1] he's[0] barely[0] in[0] the[0] film[0] and[0] for[0] the[0] first[0] hour[0] dosen't[0] appear[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also disappointing is natascha mcelhone's character sylvia . 	also disappointing is natascha mcelhone's character sylvia .	1	-2	 also[0] disappointing[-1] is[0] natascha[0] mcelhone's[0] character[0] sylvia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she plays the role well , but her character is sadly underwritten and is pushed to the sidelines just when the audience is used to her . 	she plays the role well , but her character is sadly underwritten and is pushed to the sidelines just when the audience is used to her .	2	-2	 she[0] plays[1] the[0] role[0] well[0] but[0] her[0] character[0] is[0] sadly[-1] underwritten[0] and[0] is[0] pushed[0] to[0] the[0] sidelines[0] just[0] when[0] the[0] audience[0] is[0] used[0] to[0] her[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the supporting cast is excellent , and the town of seahaven looks delightfully perfect , so perfect it's creepy . 	the supporting cast is excellent , and the town of seahaven looks delightfully perfect , so perfect it's creepy .	4	-1	 the[0] supporting[1] cast[0] is[0] excellent[3] and[0] the[0] town[0] of[0] seahaven[0] looks[0] delightfully[2] perfect[1] so[0] perfect[1] it's[0] creepy[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the philip glass soundtrack is also superb , and is used to great effect during the film . 	the philip glass soundtrack is also superb , and is used to great effect during the film .	3	-1	 the[0] philip[0] glass[0] soundtrack[0] is[0] also[0] superb[0] and[0] is[0] used[0] to[0] great[2] effect[0] during[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
peter weir keeps the film going , clearly having fun . 	peter weir keeps the film going , clearly having fun .	2	-1	 peter[0] weir[0] keeps[0] the[0] film[0] going[0] clearly[0] having[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is far more upbeat than his previous films dead poets society and green card . 	the film is far more upbeat than his previous films dead poets society and green card .	2	-3	 the[0] film[0] is[0] far[0] more[0] upbeat[1] than[0] his[0] previous[0] films[0] dead[-2] poets[0] society[0] and[0] green[0] card[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
although it is slightly slow to begin with , about half an hour into film the pace really picks up , and when christoff is introduced fully the film is on a roll . 	although it is slightly slow to begin with , about half an hour into film the pace really picks up , and when christoff is introduced fully the film is on a roll .	1	-1	 although[0] it[0] is[0] slightly[0] slow[0] to[0] begin[0] with[0] about[0] half[0] an[0] hour[0] into[0] film[0] the[0] pace[0] really[0] picks[0] up[0] and[0] when[0] christoff[0] is[0] introduced[0] fully[0] the[0] film[0] is[0] on[0] a[0] roll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sadly , though , the film is practically over when the film is in full steam . 	sadly , though , the film is practically over when the film is in full steam .	1	-2	 sadly[-1] though[0] the[0] film[0] is[0] practically[0] over[0] when[0] the[0] film[0] is[0] in[0] full[0] steam[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also , concerning the ending , it is slightly too ambiguous , which was disappointing . 	also , concerning the ending , it is slightly too ambiguous , which was disappointing .	1	-2	 also[0] concerning[-1] the[0] ending[0] it[0] is[0] slightly[0] too[0] ambiguous[-1] which[0] was[0] disappointing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the screenwriter , andrew niccol , who bought us gattaca ( 1997 ) delivers an entertaining script , and manages to keep the plot in trim . 	the screenwriter , andrew niccol , who bought us gattaca ( 1997 ) delivers an entertaining script , and manages to keep the plot in trim .	1	-1	 the[0] screenwriter[0] andrew[0] niccol[0] who[0] bought[0] us[0] gattaca[0] 1997[0] delivers[0] an[0] entertaining[0] script[0] and[0] manages[0] to[0] keep[0] the[0] plot[0] in[0] trim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while christoff's plans to keep truman in do get increasingly silly , they never go over the line , which would have been easy for niccol to do . 	while christoff's plans to keep truman in do get increasingly silly , they never go over the line , which would have been easy for niccol to do .	1	-2	 while[0] christoff's[0] plans[0] to[0] keep[0] truman[0] in[0] do[0] get[0] increasingly[0] silly[-1] they[0] never[0] go[0] over[0] the[0] line[0] which[0] would[0] have[0] been[0] easy[0] for[0] niccol[0] to[0] do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also , there's some funny gags involving product placement and the people who watch the show . 	also , there's some funny gags involving product placement and the people who watch the show .	1	-1	 also[0] there's[0] some[0] funny[1][-1 LastWordBoosterStrength] gags[0] involving[0] product[0] placement[0] and[0] the[0] people[0] who[0] watch[0] the[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , the truman show is excellent entertainment . 	overall , the truman show is excellent entertainment .	4	-1	 overall[0] the[0] truman[0] show[0] is[0] excellent[3] entertainment[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
certainly different from the usual crap hollywood produces , it should be viewed by everyone . 	certainly different from the usual crap hollywood produces , it should be viewed by everyone .	1	-3	 certainly[0] different[0] from[0] the[0] usual[0] crap[-2] hollywood[0] produces[0] it[0] should[0] be[0] viewed[0] by[0] everyone[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it offers something to every member of the audience , and you would almost certainly not come out disappointed . 	it offers something to every member of the audience , and you would almost certainly not come out disappointed .	1	-2	 it[0] offers[0] something[0] to[0] every[0] member[0] of[0] the[0] audience[0] and[0] you[0] would[0] almost[0] certainly[0] not[0] come[0] out[0] disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
overall rating  	overall rating 	1	-1	 overall[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
review by david wilcock ? 1998 	review by david wilcock ?<br> 1998	1	-1	 review[0] by[0] david[0] wilcock[0] [[Sentence=-1,1=word max, 1-5]] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you know , for kids " - norville barnes 	 " you know , for kids " - norville barnes	1	-1	 you[0] know[0] for[0] kids[0] norville[0] barnes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
