bruce willis and sixth sense director m . night shyamalan re-team to tell the story of david dunne ( willis ) , a stadium security guard who has been having some problems at home that are affecting his relationship with his wife and child . 	Translation	Positive	Negative	EmotionRationale
on a return trip from new york where he was trying to get a job , dunne is in a horrible train accident that he is the only survivor of . 	on a return trip from new york where he was trying to get a job , dune is in a horrible train accident that he is the only survivor of .	1	-4	 on[0] a[0] return[0] trip[0] from[0] new[0] york[0] where[0] he[0] was[0] trying[0] to[0] get[0] a[0] job[0] dunne/dune[0] is[0] in[0] a[0] horrible[-3] train[0] accident[-1] that[0] he[0] is[0] the[0] only[0] survivor[0] of[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to make things even stranger , dunne has also escaped the accident completely unscathed . 	to make things even stranger , dune has also escaped the accident completely unscathed .	1	-2	 to[0] make[0] things[0] even[0] stranger[0] dunne/dune[0] has[0] also[0] escaped[0] the[0] accident[-1] completely[0] unscathed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a comic book art dealer named elijah price ( samuel l . jackson ) , who was born with a degenerative bone disease that causes his bones to be so brittle that they break constantly , has been seeking out someone like dunne his entire life . 	a comic book art dealer named elijah price ( samuel l .<br> jackson ) , who was born with a degenerative bone disease that causes his bones to be so brittle that they break constantly , has been seeking out someone like dune his entire life .	2	-3	 a[0] comic[0] book[0] art[0] dealer[0] named[0] elijah[0] price[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] who[0] was[0] born[0] with[0] a[0] degenerative[0] bone[0] disease[-2] that[0] causes[0] his[0] bones[0] to[0] be[0] so[0] brittle[0] that[0] they[0] break[0] constantly[0] has[0] been[0] seeking[0] out[0] someone[0] like[1] dunne/dune[0] his[0] entire[0] life[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
price felt that there had to be someone exactly the opposite of him . . . 	price felt that there had to be someone exactly the opposite of him .<br> .<br> .	1	-1	 price[0] felt[0] that[0] there[0] had[0] to[0] be[0] someone[0] exactly[0] the[0] opposite[0] of[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
someone whose bones would be so strong that they would never break . 	someone whose bones would be so strong that they would never break .	1	-1	 someone[0] whose[0] bones[0] would[0] be[0] so[0] strong[0] that[0] they[0] would[0] never[0] break[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
price contacts dunne and convinces him to come down to his gallery for a talk where he suggests that dunne could quite possibly be something akin to a superhero from the comic books price used to read when he was a child . 	price contacts dune and convinces him to come down to his gallery for a talk where he suggests that dune could quite possibly be something akin to a superhero from the comic books price used to read when he was a child .	1	-1	 price[0] contacts[0] dunne/dune[0] and[0] convinces[0] him[0] to[0] come[0] down[0] to[0] his[0] gallery[0] for[0] a[0] talk[0] where[0] he[0] suggests[0] that[0] dunne/dune[0] could[0] quite[0] possibly[0] be[0] something[0] akin[0] to[0] a[0] superhero[0] from[0] the[0] comic[0] books[0] price[0] used[0] to[0] read[0] when[0] he[0] was[0] a[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dunne doesn't believe him at first , but price assists him in discovering his " powers " and helps him hone his craft until he discovers what his true calling really is . 	dune doesn't believe him at first , but price assists him in discovering his " powers " and helps him hone his craft until he discovers what his true calling really is .	2	-1	 dunne/dune[0] doesn't[0] believe[0] him[0] at[0] first[0] but[0] price[0] assists[0] him[0] in[0] discovering[0] his[0] powers[0] and[0] helps[0] him[0] hone[0] his[0] craft[0] until[0] he[0] discovers[0] what[0] his[0] true[1] calling[0] really[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
writer/director m . night shyamalan had a tough act to follow with his sleeper hit the sixth sense . 	writer/director m .<br> night shyamalan had a tough act to follow with his sleeper hit the sixth sense .	1	-3	 writer/director[0] m[0] [[Sentence=-1,1=word max, 1-5]] night[0] shyamalan[-2] had[0] a[0] tough[-1] act[0] to[0] follow[0] with[0] his[0] sleeper[0] hit[0] the[0] sixth[0] sense[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how exactly does one follow up on one of the biggest and most popular thrillers in recent years ? 	how exactly does one follow up on one of the biggest and most popular thrillers in recent years ?	2	-1	 how[0] exactly[0] does[0] one[0] follow[0] up[0] on[0] one[0] of[0] the[0] biggest[0] and[0] most[0] popular[0] thrillers[1] in[0] recent[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for shyamalan , the answer must have come as easy to him as nuclear physics does to kindergartners . 	for shyamalan , the answer must have come as easy to him as nuclear physics does to kindergartners .	1	-3	 for[0] shyamalan[-2] the[0] answer[0] must[0] have[0] come[0] as[0] easy[0] to[0] him[0] as[0] nuclear[0] physics[0] does[0] to[0] kindergartners[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
does this new film measure up to his breakthrough box office smash , though ? 	does this new film measure up to his breakthrough box office smash , though ?	1	-2	 does[0] this[0] new[0] film[0] measure[0] up[0] to[0] his[0] breakthrough[0] box[0] office[0] smash[-1] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the answer to that question is not a very easy one , either . 	the answer to that question is not a very easy one , either .	1	-1	 the[0] answer[0] to[0] that[0] question[0] is[0] not[0] a[0] very[0] easy[0] one[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as far as pacing goes , the sixth sense seemed almost interminable . 	as far as pacing goes , the sixth sense seemed almost interminable .	1	-1	 as[0] far[0] as[0] pacing[0] goes[0] the[0] sixth[0] sense[0] seemed[0] almost[0] interminable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it wasn't until the surprise ending was revealed that i realized the film was actually intentionally ( and perfectly ) paced in order to give the audience ample time to re-connect all of the information they had seen once the climax had been reached . 	it wasn't until the surprise ending was revealed that i realized the film was actually intentionally ( and perfectly ) paced in order to give the audience ample time to re-connect all of the information they had seen once the climax had been reached .	2	-1	 it[0] wasn't[0] until[0] the[0] surprise[0] ending[0] was[0] revealed[0] that[0] i[0] realized[0] the[0] film[0] was[0] actually[0] intentionally[0] and[0] perfectly[1] paced[0] in[0] order[0] to[0] give[0] the[0] audience[0] ample[0] time[0] to[0] re[0] connect[0] all[0] of[0] the[0] information[0] they[0] had[0] seen[0] once[0] the[0] climax[0] had[0] been[0] reached[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for unbreakable , shyamalan gave the film a much more satisfying pace which , in many ways , blows away the film that had come before . 	for unbreakable , shyamalan gave the film a much more satisfying pace which , in many ways , blows away the film that had come before .	2	-3	 for[0] unbreakable[0] shyamalan[-2] gave[0] the[0] film[0] a[0] much[0] more[0] satisfying[1] pace[0] which[0] in[0] many[0] ways[0] blows[0] away[0] the[0] film[0] that[0] had[0] come[0] before[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the story moves along at a steady pace and shyamalan's direction is excellent , with the camera almost constantly moving . 	the story moves along at a steady pace and shyamalan's direction is excellent , with the camera almost constantly moving .	4	-3	 the[0] story[0] moves[0] along[0] at[0] a[0] steady[0] pace[0] and[0] shyamalan's[-2] direction[0] is[0] excellent[3] with[0] the[0] camera[0] almost[0] constantly[0] moving[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
