john carpenter directed this stylish and gory vampire flick to which has it's good side and it's bad . 	Translation	Positive	Negative	EmotionRationale
it's held up by some good performances and dazzling special effects leading up to an ending that's pretty satisfying . 	it's held up by some good performances and dazling special effects leading up to an ending that's pretty satisfying .	3	-1	 it's[0] held[0] up[0] by[0] some[0] good[1][-1 LastWordBoosterStrength] performances[0] and[0] dazzling/dazling[0] special[1] effects[0] leading[0] up[0] to[0] an[0] ending[0] that's[0] pretty[2] satisfying[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
james woods gives an outstanding performance that almost covers up the movie . 	james woods gives an outstanding performance that almost covers up the movie .	3	-1	 james[0] woods[0] gives[0] an[0] outstanding[2] performance[0] that[0] almost[0] covers[0] up[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the good side : some neat scenes of vampires and violence . 	the good side : some neat scenes of vampires and violence .	2	-4	 the[0] good[1] side[0] some[0] neat[0] scenes[0] of[0] vampires[0] and[0] violence[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the bad : no scares . 	the bad : no scares .	1	-4	 the[0] bad[-1] no[0] scares[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
yes that's right , even though being directed by one of horror's most cherished directors , 'vampires' is the least bit scary , if not at all . 	yes that's right , even though being directed by one of horror's most cherished directors , 'vampires' is the least bit scary , if not at all .	3	-4	 yes[0] that's[0] right[0] even[0] though[0] being[0] directed[0] by[0] one[0] of[0] horror's[-3] most[0] cherished[2] directors[0] 'vampires'[0] is[0] the[0] least[0] bit[0] scary[-3] if[0] not[0] at[0] all[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
james woods stars as jack a vampire hunter out to stop the plans of the 'master' vampire valek played by thomas ian griffith whom wants vampires to walk in the daylight . 	james woods stars as jack a vampire hunter out to stop the plans of the 'master' vampire valek played by thomas ian griffith whom wants vampires to walk in the daylight .	1	-2	 james[0] woods[0] stars[0] as[0] jack[0] a[0] vampire[0] hunter[-1] out[0] to[0] stop[0] the[0] plans[0] of[0] the[0] 'master'[0] vampire[0] valek[0] played[0] by[0] thomas[0] ian[0] griffith[0] whom[0] wants[0] vampires[0] to[0] walk[0] in[0] the[0] daylight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
daniel baldwin plays his sidekick montoya , a wise-cracking guy who really isn't that funny . 	daniel baldwin plays his sidekick montoya , a wise-cracking guy who really isn't that funny .	2	-2	 daniel[0] baldwin[0] plays[1] his[0] sidekick[0] montoya[0] a[0] wise[0] cracking[0] guy[0] who[0] really[0] isn't[0] that[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the opening scene jack along with montoya and the team of vampire hunters , find an abandoned house to which vampire occupy . 	in the opening scene jack along with montoya and the team of vampire hunters , find an abandoned house to which vampire occupy .	1	-2	 in[0] the[0] opening[0] scene[0] jack[0] along[0] with[0] montoya[0] and[0] the[0] team[0] of[0] vampire[0] hunters[0] find[0] an[0] abandoned[-1] house[0] to[0] which[0] vampire[0] occupy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course we all know sunshine kills vampires , and that is just how they kill these vampires : hooking them to ropes and dragging them outside letting them burn to death . 	of course we all know sunshine kills vampires , and that is just how they kill these vampires : hooking them to ropes and dragging them outside letting them burn to death .	2	-3	 of[0] course[0] we[0] all[0] know[0] sunshine[1] kills[0] vampires[0] and[0] that[0] is[0] just[0] how[0] they[0] kill[-1] these[0] vampires[0] hooking[0] them[0] to[0] ropes[0] and[0] dragging[0] them[0] outside[0] letting[0] them[0] burn[-1] to[0] death[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after throwing a party for what happened , the vampires that did not die come back to trash it . 	after throwing a party for what happened , the vampires that did not die come back to trash it .	1	-2	 after[0] throwing[0] a[0] party[0] for[0] what[0] happened[0] the[0] vampires[0] that[0] did[0] not[0] die[0] come[0] back[0] to[0] trash[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they kill almost all of jack's team , leaving only a few alive . 	they kill almost all of jack's team , leaving only a few alive .	1	-2	 they[0] kill[-1] almost[0] all[0] of[0] jack's[0] team[0] leaving[0] only[0] a[0] few[0] alive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sheryl lee plays a prostitute katrina who was bitten by valek , but not yet turned into a vampire . 	sheryl lee plays a prostitute katrina who was bitten by valek , but not yet turned into a vampire .	2	-1	 sheryl[0] lee[0] plays[1] a[0] prostitute[0] katrina[0] who[0] was[0] bitten[0] by[0] valek[0] but[0] not[0] yet[0] turned[0] into[0] a[0] vampire[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
