the thirteenth floor , the third in what i would call " the reality check movie series " , is very similar to the other reality check movies released this year , the matrix and existenz . 	Translation	Positive	Negative	EmotionRationale
all three made you think , made you wonder what is real , what isn't , and if our world is just a huge game . 	all three made you think , made you wonder what is real , what isn't , and if our world is just a huge game .	1	-1	 all[0] three[0] made[0] you[0] think[0] made[0] you[0] wonder[0] what[0] is[0] real[0] what[0] isn't[0] and[0] if[0] our[0] world[0] is[0] just[0] a[0] huge[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thirteenth floor doesn't reach the level of originality , creativity , and curiosity sparked by the matrix and existenz , but it certainly gives a great shot at it . 	the thirteenth floor doesn't reach the level of originality , creativity , and curiosity sparked by the matrix and existenz , but it certainly gives a great shot at it .	3	-2	 the[0] thirteenth[0] floor[0] doesn't[0] reach[0] the[0] level[0] of[0] originality[0] creativity[0] and[0] curiosity[0] sparked[0] by[0] the[0] matrix[0] and[0] existenz[0] but[0] it[0] certainly[0] gives[0] a[0] great[2] shot[-1] at[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in the matrix , we were told that the humans are simply a virus . 	in the matrix , we were told that the humans are simply a virus .	1	-1	 in[0] the[0] matrix[0] we[0] were[0] told[0] that[0] the[0] humans[0] are[0] simply[0] a[0] virus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in existenz , we learned that our life could be just a game . 	in existenz , we learned that our life could be just a game .	1	-1	 in[0] existenz[0] we[0] learned[0] that[0] our[0] life[0] could[0] be[0] just[0] a[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the thirteenth floor , we learn that we are just electronic devices , living under another world of electronic devices . 	in the thirteenth floor , we learn that we are just electronic devices , living under another world of electronic devices .	1	-1	 in[0] the[0] thirteenth[0] floor[0] we[0] learn[0] that[0] we[0] are[0] just[0] electronic[0] devices[0] living[0] under[0] another[0] world[0] of[0] electronic[0] devices[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is just one world on top of another , and everything in them are fake and electronically generated . 	there is just one world on top of another , and everything in them are fake and electronically generated .	1	-2	 there[0] is[0] just[0] one[0] world[0] on[0] top[0] of[0] another[0] and[0] everything[0] in[0] them[0] are[0] fake[-1] and[0] electronically[0] generated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the thirteenth floor took a huge , risky turn that i didn't expect it to take , and i'm not very sure it was such a great turn to make . 	the thirteenth floor took a huge , risky turn that i didn't expect it to take , and i'm not very sure it was such a great turn to make .	3	-2	 the[0] thirteenth[0] floor[0] took[0] a[0] huge[0] risky[-1] turn[0] that[0] i[0] didn't[0] expect[0] it[0] to[0] take[0] and[0] i'm[0] not[0] very[0] sure[0] it[0] was[0] such[0] a[0] great[2] turn[0] to[0] make[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
rather than focusing just on the reality parts of the film , the thirteenth floor becomes a murder mystery that ends up tying in with the different worlds . 	rather than focusing just on the reality parts of the film , the thirteenth floor becomes a murder mystery that ends up tying in with the different worlds .	1	-4	 rather[0] than[0] focusing[0] just[0] on[0] the[0] reality[0] parts[0] of[0] the[0] film[0] the[0] thirteenth[0] floor[0] becomes[0] a[0] murder[-3] mystery[0] that[0] ends[0] up[0] tying[0] in[0] with[0] the[0] different[0] worlds[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after the mysterious murder of computer program designer hammond fuller , played by armin mueller-stahl , douglas hall , played by craig bierko , a man that worked under fuller for many years , must travel through an electronic computer device that fuller was using , to the year 1937 , which consists of computer generated characters only . 	after the mysterious murder of computer program designer hammond fuller , played by armin mueller-stahl , douglas hall , played by craig bierko , a man that worked under fuller for many years , must travel through an electronic computer device that fuller was using , to the year 1937 , which consists of computer generated characters only .	1	-4	 after[0] the[0] mysterious[0] murder[-3] of[0] computer[0] program[0] designer[0] hammond[0] fuller[0] played[0] by[0] armin[0] mueller[0] stahl[0] douglas[0] hall[0] played[0] by[0] craig[0] bierko[0] a[0] man[0] that[0] worked[0] under[0] fuller[0] for[0] many[0] years[0] must[0] travel[0] through[0] an[0] electronic[0] computer[0] device[0] that[0] fuller[0] was[0] using[0] to[0] the[0] year[0] 1937[0] which[0] consists[0] of[0] computer[0] generated[0] characters[0] only[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the simulation of 1937 is just like it was back in the olden days . 	the simulation of 1937 is just like it was back in the olden days .	1	-1	 the[0] simulation[0] of[0] 1937[0] is[0] just[0] like[1][-1 LastWordBoosterStrength] it[0] was[0] back[0] in[0] the[0] olden[0] days[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
