jay and silent bob strike back can rightfully be subtitled " kevin smith's greatest hits " for the film is comprised of numerous references and characters from smith's earlier works including , clerks , mall rats . 	Translation	Positive	Negative	EmotionRationale
chasing amy and dogma . 	chasing amy and dogma .	1	-1	 chasing[0] amy[0] and[0] dogma[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , be advised : bone up on that cinematic quartet in order to achieve the maximum enjoyment from smith's latest outing . 	so , be advised : bone up on that cinematic quartet in order to achieve the maximum enjoyment from smith's latest outing .	3	-1	 so[0] be[0] advised[0] bone[0] up[0] on[0] that[0] cinematic[0] quartet[0] in[0] order[0] to[0] achieve[0] the[0] maximum[0] enjoyment[2] from[0] smith's[0] latest[0] outing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kevin smith must be a very likable person because several good sports took a ton of kidding in this feature , most notably miramax , the studio whose subsidiary , dimension films , is jay and silent bob's distributor . 	kevin smith must be a very likable person because several good sports took a ton of kidding in this feature , most notably miramax , the studio whose subsidiary , dimension films , is jay and silent bob's distributor .	2	-1	 kevin[0] smith[0] must[0] be[0] a[0] very[0] likable[0] person[0] because[0] several[0] good[1] sports[0] took[0] a[0] ton[0] of[0] kidding[0] in[0] this[0] feature[0] most[0] notably[0] miramax[0] the[0] studio[0] whose[0] subsidiary[0] dimension[0] films[0] is[0] jay[0] and[0] silent[0] bob's[0] distributor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
others deserving accolades include ben affleck , matt damon , directors gus van zant and wes craven and the mighty george lucas . 	others deserving accolades include ben affleck , matt damon , directors gus van zant and wes craven and the mighty george lucas .	1	-2	 others[0] deserving[0] accolades[0] include[0] ben[0] affleck[0] matt[0] damon[0] directors[0] gus[0] van[0] zant[0] and[0] wes[0] craven[-1] and[0] the[0] mighty[0] george[0] lucas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a laugh-filled , foul-mouthed road film with jay ( jason mewes ) and silent bob ( smith ) hitching to hollywood to sabotage miramax's production of bluntman and chronic , comic book characters based on the two jersey slackers . 	this is a laugh-filled , foul-mouthed road film with jay ( jason mewes ) and silent bob ( smith ) hitching to hollywood to sabotage miramax's production of bluntman and chronic , comic book characters based on the two jersey slackers .	2	-3	 this[0] is[0] a[0] laugh[1] filled[0] foul[0] mouthed[0] road[0] film[0] with[0] jay[0] jason[0] mewes[0] and[0] silent[0] bob[0] smith[0] hitching[0] to[0] hollywood[0] to[0] sabotage[-1] miramax's[0] production[0] of[0] bluntman[-1] and[0] chronic[-2] comic[0] book[0] characters[0] based[0] on[0] the[0] two[0] jersey[0] slackers[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
jay's convoluted reasoning is that if the film is shut down , people on the internet will stop insulting him and bob , even though it is not him and bob the people are dissing , but rather their comic book counterparts . 	jay's convoluted reasoning is that if the film is shut down , people on the internet will stop insulting him and bob , even though it is not him and bob the people are dissing , but rather their comic book counterparts .	1	-3	 jay's[0] convoluted[0] reasoning[0] is[0] that[0] if[0] the[0] film[0] is[0] shut[0] down[0] people[0] on[0] the[0] internet[0] will[0] stop[0] insulting[-2] him[0] and[0] bob[0] even[0] though[0] it[0] is[0] not[0] him[0] and[0] bob[0] the[0] people[0] are[0] dissing[0] but[0] rather[0] their[0] comic[0] book[0] counterparts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no matter , the duo begin their long trek hitching rides across the country . 	no matter , the duo begin their long trek hitching rides across the country .	1	-1	 no[0] matter[0] the[0] duo[0] begin[0] their[0] long[0] trek[0] hitching[0] rides[0] across[0] the[0] country[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but first they get some tips from a veteran hitchhiker , played by george carlin , who tells them to follow " the book " - the rules of the road . 	but first they get some tips from a veteran hitchiker , played by george carlin , who tells them to follow " the book " - the rules of the road .	1	-1	 but[0] first[0] they[0] get[0] some[0] tips[0] from[0] a[0] veteran[0] hitchhiker/hitchiker[0] played[0] by[0] george[0] carlin[0] who[0] tells[0] them[0] to[0] follow[0] the[0] book[0] the[0] rules[0] of[0] the[0] road[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course jay's interpretation immediately gets the duo in trouble with a friendly nun ( carrie fisher ) who offers them a ride . 	of course jay's interpretation immediately gets the duo in trouble with a friendly nun ( carrie fisher ) who offers them a ride .	2	-2	 of[0] course[0] jay's[0] interpretation[0] immediately[0] gets[0] the[0] duo[0] in[0] trouble[-1] with[0] a[0] friendly[1] nun[0] carrie[0] fisher[0] who[0] offers[0] them[0] a[0] ride[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jay and silent bob contains enough laughs that the movie's weaker aspects - which include a lame subplot about a girl gang of diamond thieves as well as a buffoonish federal park ranger played by will ferrell - can be easily tolerated . 	jay and silent bob contains enough laughs that the movie's weaker aspects - which include a lame subplot about a girl gang of diamond thieves as well as a buffoonish federal park ranger played by will ferrell - can be easily tolerated .	2	-3	 jay[0] and[0] silent[0] bob[0] contains[0] enough[0] laughs[1] that[0] the[0] movie's[0] weaker[-1] aspects[0] which[0] include[0] a[0] lame[-2] subplot[0] about[0] a[0] girl[0] gang[0] of[0] diamond[0] thieves[-1] as[0] well[0] as[0] a[0] buffoonish[-1] federal[0] park[0] ranger[0] played[0] by[0] will[0] ferrell[0] can[0] be[0] easily[0] tolerated[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
