i was pleasantly surprised by this film . 	Translation	Positive	Negative	EmotionRationale
with a budget topping  200 million , i was quite skeptical about whether throwing all that money toward one of the twentieth century's greatest tragedies would make a film exciting enough to see . 	with a budget topping  200 million , i was quite skeptical about whether throwing all that money toward one of the twentieth century's greatest tragedies would make a film exciting enough to see .	3	-3	 with[0] a[0] budget[0] topping[0] 200[0] million[0] i[0] was[0] quite[0] skeptical[-1] about[0] whether[0] throwing[0] all[0] that[0] money[0] toward[0] one[0] of[0] the[0] twentieth[0] century's[0] greatest[2] tragedies[-2] would[0] make[0] a[0] film[0] exciting[2] enough[0] to[0] see[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
how much could you dress up the sets ? 	how much could you dress up the sets ?	1	-1	 how[0] much[0] could[0] you[0] dress[0] up[0] the[0] sets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how many models and computer effects could you use ? 	how many models and computer effects could you use ?	1	-1	 how[0] many[0] models[0] and[0] computer[0] effects[0] could[0] you[0] use[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how much more action could you pack into a ship that sinks ? 	how much more action could you pack into a ship that sinks ?	1	-1	 how[0] much[0] more[0] action[0] could[0] you[0] pack[0] into[0] a[0] ship[0] that[0] sinks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , if i've just given away part of the plot for you , go back to school . 	oh , if i've just given away part of the plot for you , go back to school .	1	-1	 oh[0] if[0] i've[0] just[0] given[0] away[0] part[0] of[0] the[0] plot[0] for[0] you[0] go[0] back[0] to[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after having viewed titanic , however , i found it to be a well-paced , well-designed , and overall well-made movie . 	after having viewed titanic , however , i found it to be a well-paced , well-designed , and overall well-made movie .	1	-1	 after[0] having[0] viewed[0] titanic[0] however[0] i[0] found[0] it[0] to[0] be[0] a[0] well[0] paced[0] well[0] designed[0] and[0] overall[0] well[0] made[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there have been many films made about the maiden and final voyage of the ocean liner titanic , but this latest offering from director james cameron is the best i've seen . 	there have been many films made about the maiden and final voyage of the ocean liner titanic , but this latest offering from director james cameron is the best i've seen .	2	-1	 there[0] have[0] been[0] many[0] films[0] made[0] about[0] the[0] maiden[0] and[0] final[0] voyage[0] of[0] the[0] ocean[0] liner[0] titanic[0] but[0] this[0] latest[0] offering[0] from[0] director[0] james[0] cameron[0] is[0] the[0] best[1] i've[0] seen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
titanic tells its story in two time periods . 	titanic tells its story in two time periods .	1	-1	 titanic[0] tells[0] its[0] story[0] in[0] two[0] time[0] periods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it starts out in the present , when ocean explorer brock lovett ( bill paxton ) and his team are exploring the wreckage of the titanic on the floor of the atlantic , searching for a priceless diamond necklace which supposedly went down with the ship . 	it starts out in the present , when ocean explorer brock lovett ( bill paxton ) and his team are exploring the wreckage of the titanic on the floor of the atlantic , searching for a priceless diamond necklace which supposedly went down with the ship .	4	-2	 it[0] starts[0] out[0] in[0] the[0] present[0] when[0] ocean[0] explorer[0] brock[0] lovett[0] bill[0] paxton[0] and[0] his[0] team[0] are[0] exploring[0] the[0] wreckage[-1] of[0] the[0] titanic[0] on[0] the[0] floor[0] of[0] the[0] atlantic[0] searching[0] for[0] a[0] priceless[3] diamond[0] necklace[0] which[0] supposedly[0] went[0] down[0] with[0] the[0] ship[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
what they find instead is a drawing of a woman wearing the necklace , which is broadcast on the news . 	what they find instead is a drawing of a woman wearing the necklace , which is broadcast on the news .	1	-1	 what[0] they[0] find[0] instead[0] is[0] a[0] drawing[0] of[0] a[0] woman[0] wearing[0] the[0] necklace[0] which[0] is[0] broadcast[0] on[0] the[0] news[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
