the film starts out with a creepy opening sequence to which has the now classic and creepy score by writer/director/producer john carpenter who in my mind is a brilliant director , he really is . 	Translation	Positive	Negative	EmotionRationale
he wrote this film , he directed this film , he produced this film and he made the excessively creepy score to this film . 	he wrote this film , he directed this film , he produced this film and he made the excessively creepy score to this film .	1	-2	 he[0] wrote[0] this[0] film[0] he[0] directed[0] this[0] film[0] he[0] produced[0] this[0] film[0] and[0] he[0] made[0] the[0] excessively[-1] creepy[0] score[0] to[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i think he is and always will be famous for this classic which after 21 years has not lost it's popularity or it's ability to scare the wits out of people . 	i think he is and always will be famous for this classic which after 21 years has not lost it's popularity or it's ability to scare the wits out of people .	2	-4	 i[0] think[0] he[0] is[0] and[0] always[0] will[0] be[0] famous[0] for[0] this[0] classic[0] which[0] after[0] 21[0] years[0] has[0] not[0] lost[0] it's[0] popularity[1] or[0] it's[0] ability[0] to[0] scare[-3] the[0] wits[0] out[0] of[0] people[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i think i have seen 'halloween' over 100 times and each time i find something new and brilliant , and each time i am scared even though i know what is going to happen . 	i think i have seen 'halloween' over 100 times and each time i find something new and brilliant , and each time i am scared even though i know what is going to happen .	2	-4	 i[0] think[0] i[0] have[0] seen[0] 'halloween'[0] over[0] 100[0] times[0] and[0] each[0] time[0] i[0] find[0] something[0] new[0] and[0] brilliant[1] and[0] each[0] time[0] i[0] am[0] scared[-3] even[0] though[0] i[0] know[0] what[0] is[0] going[0] to[0] happen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i own three different versions of the film : a vhs regular version that came with a limited edition 20th anniversary t-shirt , a boxed edition vhs in a hardcover case digitally re-mastered with the original theatrical widescreen presentation , in a nifty plastic picture decorated box with a numbered snow-globe . 	i own three different versions of the film : a vhs regular version that came with a limited edition 20th anniversary t-shirt , a boxed edition vhs in a hardcover case digitally re-mastered with the original theatrical widescreen presentation , in a nifty plastic picture decorated box with a numbered snow-globe .	1	-1	 i[0] own[0] three[0] different[0] versions[0] of[0] the[0] film[0] a[0] vhs[0] regular[0] version[0] that[0] came[0] with[0] a[0] limited[0] edition[0] 20th[0] anniversary[0] t[0] shirt[0] a[0] boxed[0] edition[0] vhs[0] in[0] a[0] hardcover[0] case[0] digitally[0] re[0] mastered[0] with[0] the[0] original[0] theatrical[0] widescreen[0] presentation[0] in[0] a[0] nifty[0] plastic[0] picture[0] decorated[0] box[0] with[0] a[0] numbered[0] snow[0] globe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in other words i am completely and utterly obsessed with the film . 	in other words i am completely and utterly obsessed with the film .	1	-3	 in[0] other[0] words[0] i[0] am[0] completely[0] and[0] utterly[0] obsessed[-2] with[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it has changed horror movies forever and spawned six sequels with only 2 , 4 , and 7 being truly good . 	it has changed horror movies forever and spawned six sequels with only 2 , 4 , and 7 being truly good .	2	-4	 it[0] has[0] changed[0] horror[-3] movies[0] forever[0] and[0] spawned[0] six[0] sequels[0] with[0] only[0] 2[0] 4[0] and[0] 7[0] being[0] truly[1] good[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it also spawned several cheap imitations of the film that were offensive in some ways to a true halloween fan . 	it also spawned several cheap imitations of the film that were offensive in some ways to a true halloween fan .	2	-3	 it[0] also[0] spawned[0] several[0] cheap[-1] imitations[0] of[0] the[0] film[0] that[0] were[0] offensive[-2] in[0] some[0] ways[0] to[0] a[0] true[1] halloween[0] fan[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
since i heard about halloween being released on dvd in a limited edition of 30 , 000 copies , i knew i had to buy one no matter what ! 	since i heard about halloween being released on dvd in a limited edition of 30 , 00 copies , i knew i had to buy one no matter what !	1	-1	 since[0] i[0] heard[0] about[0] halloween[0] being[0] released[0] on[0] dvd[0] in[0] a[0] limited[0] edition[0] of[0] 30[0] 000/00[0] copies[0] i[0] knew[0] i[0] had[0] to[0] buy[0] one[0] no[0] matter[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i did and man to me it's the best dvd ever manufactured with the brilliance of the film . 	i did and man to me it's the best dvd ever manufactured with the brilliance of the film .	2	-1	 i[0] did[0] and[0] man[0] to[0] me[0] it's[0] the[0] best[1] dvd[0] ever[0] manufactured[0] with[0] the[0] brilliance[1] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no words can describe the dvd . 	no words can describe the dvd .	1	-1	 no[0] words[0] can[0] describe[0] the[0] dvd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
