the year is 1962 and the military is conducting nuclear testings . 	Translation	Positive	Negative	EmotionRationale
involved in these tests is hank marshall ( jones ) , an army colonel who is critical of the above-ground tests that are being done . 	involved in these tests is hank marshal ( jones ) , an army colonel who is critical of the above-ground tests that are being done .	1	-2	 involved[0] in[0] these[0] tests[0] is[0] hank[0] marshall/marshal[0] jones[0] an[0] army[0] colonel[0] who[0] is[0] critical[-1] of[0] the[0] above[0] ground[0] tests[0] that[0] are[0] being[0] done[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he urges below-ground tests which no one will consider at the time until it is learned that the soviets have conducted underground tests of their own . 	he urges below-ground tests which no one will consider at the time until it is learned that the soviets have conducted underground tests of their own .	1	-1	 he[0] urges[0] below[0] ground[0] tests[0] which[0] no[0] one[0] will[0] consider[0] at[0] the[0] time[0] until[0] it[0] is[0] learned[0] that[0] the[0] soviets[0] have[0] conducted[0] underground[0] tests[0] of[0] their[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marshall is also troubled by a turbulent marriage to carly ( lange ) who is topless on the base's beach in full view of the entire personnel . 	marshal is also troubled by a turbulent marriage to carly ( lange ) who is topless on the base's beach in full view of the entire personnel .	1	-2	 marshall/marshal[0] is[0] also[0] troubled[-1] by[0] a[0] turbulent[-1] marriage[0] to[0] carly[0] lange[0] who[0] is[0] topless[0] on[0] the[0] base's[0] beach[0] in[0] full[0] view[0] of[0] the[0] entire[0] personnel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hank's reaction is one of amusement . 	hank's reaction is one of amusement .	2	-1	 hank's[0] reaction[0] is[0] one[0] of[0] amusement[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's been here before and he deals with it in the only way he knows how . 	he's been here before and he deals with it in the only way he knows how .	1	-1	 he's[0] been[0] here[0] before[0] and[0] he[0] deals[0] with[0] it[0] in[0] the[0] only[0] way[0] he[0] knows[0] how[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problem is carly is a manic-depressive and when she isn't flirting with any man who happens to be near her , she's fantasizing about a fictious world where she'd rather be . 	the problem is carly is a manic-depressive and when she isn't flirting with any man who happens to be near her , she's fantasizing about a fictious world where she'd rather be .	1	-4	 the[0] problem[-1] is[0] carly[0] is[0] a[0] manic[0] depressive[-3] and[0] when[0] she[0] isn't[0] flirting[1][NegatedDueToPreviousWord] with[0] any[0] man[0] who[0] happens[0] to[0] be[0] near[0] her[0] she's[0] fantasizing[0] about[0] a[0] fictious[0] world[0] where[0] she'd[0] rather[0] be[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
typical of the mental illness , she also is promiscuous and foul-tempered . 	typical of the mental illness , she also is promiscuous and foul-tempered .	1	-2	 typical[0] of[0] the[0] mental[0] illness[-1] she[0] also[0] is[0] promiscuous[-1] and[0] foul[0] tempered[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the mood swings are quick and violent and the torment she puts her husband and their two daughters is considerable . 	the mood swings are quick and violent and the torment she puts her husband and their two daughters is considerable .	1	-3	 the[0] mood[0] swings[0] are[0] quick[0] and[0] violent[-2] and[0] the[0] torment[-1] she[0] puts[0] her[0] husband[0] and[0] their[0] two[0] daughters[0] is[0] considerable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
from hank's reports which state his opposition to the army's methods of testing , he is transferred from hawaii to alabama . 	from hank's reports which state his opposition to the army's methods of testing , he is transferred from hawai to alabama .	1	-2	 from[0] hank's[0] reports[0] which[0] state[0] his[0] opposition[-1] to[0] the[0] army's[0] methods[0] of[0] testing[0] he[0] is[0] transferred[0] from[0] hawaii/hawai[0] to[0] alabama[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carly patterns herself after movie stars and tries to become marilyn monroe , bleach-blond and all . 	carly patterns herself after movie stars and tries to become marilyn monroe , bleach-blond and all .	1	-1	 carly[0] patterns[0] herself[0] after[0] movie[0] stars[0] and[0] tries[0] to[0] become[0] marilyn[0] monroe[0] bleach[0] blond[0] and[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
