if he doesn=92t watch out , mel gibson is in danger of being known as someone other than mad max . 	Translation	Positive	Negative	EmotionRationale
of course there are still a few big guns in this film , but there 92s some accomplished acting too . 	of course there are still a few big guns in this film , but there 92s some accomplished acting too .	1	-2	 of[0] course[0] there[0] are[0] still[0] a[0] few[0] big[0] guns[-1] in[0] this[0] film[0] but[0] there[0] 92s[0] some[0] accomplished[1][-1 LastWordBoosterStrength] acting[0] too[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although gibson continues to shed his rough and gritty anti-hero skin as his career progresses , here he explores a new genre : the businessman as action hero . 	although gibson continues to shed his rough and gritty anti-hero skin as his career progresses , here he explores a new genre : the businessman as action hero .	3	-2	 although[0] gibson[0] continues[0] to[0] shed[0] his[0] rough[-1] and[0] gritty[0] anti[0] hero[2] skin[0] as[0] his[0] career[0] progresses[0] here[0] he[0] explores[0] a[0] new[0] genre[0] the[0] businessman[0] as[0] action[0] hero[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in ron howard 92s latest film , gibson plays tom mullen , a gazillionaire airline owner whose son is snatched from the junior science fair by kidnappers . 	in ron howard 92s latest film , gibson plays tom mullen , a gazillionaire airline owner whose son is snatched from the junior science fair by kidnappers .	2	-2	 in[0] ron[0] howard[0] 92s[0] latest[0] film[0] gibson[0] plays[1] tom[0] mullen[0] a[0] gazillionaire[0] airline[0] owner[0] whose[0] son[0] is[0] snatched[-1] from[0] the[0] junior[0] science[0] fair[0] by[0] kidnappers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mullen at first agrees to pay the ransom , but when things fall apart he rethinks the situation . 	mullen at first agrees to pay the ransom , but when things fall apart he rethinks the situation .	1	-1	 mullen[0] at[0] first[0] agrees[0] to[0] pay[0] the[0] ransom[0] but[0] when[0] things[0] fall[0] apart[0] he[0] rethinks[0] the[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a veteran of numerous hard-nosed business negotiations , the tycoon realizes that in order to get his son back alive , he has to play his hand differently . 	a veteran of numerous hard-nosed business negotiations , the tycoon realizes that in order to get his son back alive , he has to play his hand differently .	1	-1	 a[0] veteran[0] of[0] numerous[0] hard[0] nosed[0] business[0] negotiations[0] the[0] tycoon[0] realizes[0] that[0] in[0] order[0] to[0] get[0] his[0] son[0] back[0] alive[0] he[0] has[0] to[0] play[0] his[0] hand[0] differently[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the casting is what puts this film over the top . 	the casting is what puts this film over the top .	1	-1	 the[0] casting[0] is[0] what[0] puts[0] this[0] film[0] over[0] the[0] top[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the trio of gibson , the kidnappers' mastermind ( gary sinise ) and fbi team leader ( delroy lindo ) play off of each other wonderfully . 	the trio of gibson , the kidnappers' mastermind ( gary sinise ) and fbi team leader ( delroy lindo ) play off of each other wonderfully .	3	-1	 the[0] trio[0] of[0] gibson[0] the[0] kidnappers'[0] mastermind[0] gary[0] sinise[0] and[0] fbi[0] team[0] leader[0] delroy[0] lindo[0] play[0] off[0] of[0] each[0] other[0] wonderfully[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sinise is perfect as the driven scheming sleezebag is right on the mark . 	sinise is perfect as the driven scheming sleezebag is right on the mark .	2	-1	 sinise[0] is[0] perfect[1] as[0] the[0] driven[0] scheming[0] sleezebag[0] is[0] right[0] on[0] the[0] mark[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his speech to mullen over a walkie talkie about h . g . wells 92 morlocks and eloi reveal his vision of  	his speech to mullen over a walkie talkie about h .<br> grin� .<br> wells 92 morlocks and eloi reveal his vision of 	1	-1	 his[0] speech[0] to[0] mullen[0] over[0] a[0] walkie[0] talkie[0] about[0] h[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] wells[0] 92[0] morlocks[0] and[0] eloi[0] reveal[0] his[0] vision[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
society . mullen and the other glitteratti frolic up on high while sinise and the other lowlifes dwell below , feeding off the unsuspecting . 	society .<br> mullen and the other glitteratti frolic up on high while sinise and the other lowlifes dwell below , feeding off the unsuspecting .	4	-2	 society[0] [[Sentence=-1,1=word max, 1-5]] mullen[0] and[0] the[0] other[0] glitteratti[0] frolic[3] up[0] on[0] high[0] while[0] sinise[0] and[0] the[0] other[0] lowlifes[-1] dwell[0] below[0] feeding[0] off[0] the[0] unsuspecting[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
gibson 92s character is an all-american hero with a few flaws . 	gibson 92s character is an all-american hero with a few flaws .	3	-1	 gibson[0] 92s[0] character[0] is[0] an[0] all[0] american[0] hero[2] with[0] a[0] few[0] flaws[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his cowboy  	his cowboy 	1	-1	 his[0] cowboy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tactics tend to work , but they are also what got him into this situation to begin with . 	tactics tend to work , but they are also what got him into this situation to begin with .	1	-1	 tactics[0] tend[0] to[0] work[0] but[0] they[0] are[0] also[0] what[0] got[0] him[0] into[0] this[0] situation[0] to[0] begin[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a round about way , if he weren 92t known as a man who i  s willing to buy his way out of trouble , his son wouldn 92t have been kidnapped . 	in a round about way , if he weren 92t known as a man who i  s willing to buy his way out of trouble , his son wouldn 92t have been kidnapped .	1	-2	 in[0] a[0] round[0] about[0] way[0] if[0] he[0] weren[0] 92t[0] known[0] as[0] a[0] man[0] who[0] i[0] s[0] willing[0] to[0] buy[0] his[0] way[0] out[0] of[0] trouble[-1] his[0] son[0] wouldn[0] 92t[0] have[0] been[0] kidnapped[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as sinise says " you 92re a payer . 	as sinise says " you 92re a payer .	1	-1	 as[0] sinise[0] says[0] you[0] 92re[0] a[0] payer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you did it once and now you 92re going to do it again . " 	you did it once and now you 92re going to do it again .<br> "	1	-1	 you[0] did[0] it[0] once[0] and[0] now[0] you[0] 92re[0] going[0] to[0] do[0] it[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the nicest elements of this film is that most of the characters actually have personalities . 	one of the nicest elements of this film is that most of the characters actually have personalities .	2	-1	 one[0] of[0] the[0] nicest[1] elements[0] of[0] this[0] film[0] is[0] that[0] most[0] of[0] the[0] characters[0] actually[0] have[0] personalities[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lindo calls home to talk to his kids , obviously shaken at working this case . 	lindo calls home to talk to his kids , obviously shaken at working this case .	1	-2	 lindo[0] calls[0] home[0] to[0] talk[0] to[0] his[0] kids[0] obviously[0] shaken[-1] at[0] working[0] this[0] case[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even the kidnappers are real people , arguing about the ultimate fate of sean mullen and feeding him candy bars . 	even the kidnappers are real people , arguing about the ultimate fate of sean mullen and feeding him candy bars .	1	-2	 even[0] the[0] kidnappers[0] are[0] real[0] people[0] arguing[-1] about[0] the[0] ultimate[0] fate[0] of[0] sean[0] mullen[0] and[0] feeding[0] him[0] candy[0] bars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
