carry on matron is the last great carry-on film in my opinion . 	Translation	Positive	Negative	EmotionRationale
made in 1972 , it still features most of the regulars of this genre . 	made in 1972 , it still features most of the regulars of this genre .	1	-1	 made[0] in[0] 1972[0] it[0] still[0] features[0] most[0] of[0] the[0] regulars[0] of[0] this[0] genre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sid james plays the head of a gang of crooks intent on stealing contraceptive pills from the local maternity hospital and selling them off to make a profit , kenneth williams is sir bernard cutting , head of the hospital but also a hypochondriac , hattie jacques re-takes her role as matron , and charles hawtrey is the psychiatrist dr . goode . 	sid james plays the head of a gang of crooks intent on stealing contraceptive pills from the local maternity hospital and selling them off to make a profit , kenneth williams is sir bernard cutting , head of the hospital but also a hypochondriac , hattie jacques re-takes her role as matron , and charles hawtrey is the psychiatrist dr .<br> goode .	2	-3	 sid[0] james[0] plays[1] the[0] head[0] of[0] a[0] gang[0] of[0] crooks[0] intent[0] on[0] stealing[-2] contraceptive[0] pills[0] from[0] the[0] local[0] maternity[0] hospital[0] and[0] selling[0] them[0] off[0] to[0] make[0] a[0] profit[1] kenneth[0] williams[0] is[0] sir[0] bernard[0] cutting[0] head[0] of[0] the[0] hospital[0] but[0] also[0] a[0] hypochondriac[-1] hattie[0] jacques[0] re[0] takes[0] her[0] role[0] as[0] matron[0] and[0] charles[0] hawtrey[0] is[0] the[0] psychiatrist[0] dr[0] [[Sentence=-3,2=word max, 1-5]] goode[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
the jokes come in fast and so do the laughs , with humorous antics between the matron and sir bernard . 	the jokes come in fast and so do the laughs , with humorous antics between the matron and sir bernard .	3	-1	 the[0] jokes[1] come[0] in[0] fast[0] and[0] so[0] do[0] the[0] laughs[1] with[0] humorous[2] antics[0] between[0] the[0] matron[0] and[0] sir[0] bernard[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this time , williams is after matron ( jacques ) when he needs to prove himself that he is a man after visiting dr . goode . 	this time , williams is after matron ( jacques ) when he needs to prove himself that he is a man after visiting dr .<br> goode .	1	-1	 this[0] time[0] williams[0] is[0] after[0] matron[0] jacques[0] when[0] he[0] needs[0] to[0] prove[0] himself[0] that[0] he[0] is[0] a[0] man[0] after[0] visiting[0] dr[0] [[Sentence=-1,1=word max, 1-5]] goode[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the doctor ( hawtrey ) is sworn to secrecy : - " i assure you , that anything you say to me today will go in one ear and straight out of the other ! " 	the doctor ( hawtrey ) is sworn to secrecy : - " i assure you , that anything you say to me today will go in one ear and straight out of the other !<br> "	1	-1	 the[0] doctor[0] hawtrey[0] is[0] sworn[0] to[0] secrecy[0] i[0] assure[0] you[0] that[0] anything[0] you[0] say[0] to[0] me[0] today[0] will[0] go[0] in[0] one[0] ear[0] and[0] straight[0] out[0] of[0] the[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bernard thinks he is having a sex change and needs to prove himself . 	bernard thinks he is having a sex change and needs to prove himself .	1	-1	 bernard[0] thinks[0] he[0] is[0] having[0] a[0] sex[0] change[0] and[0] needs[0] to[0] prove[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are great cameos from joan sims , an expectant mother who is many weeks overdue and is eating constantly in every scene , and from kenneth connor as the expectant father who still thinks he's at work ( at the railway station ) . 	there are great cameos from joan sims , an expectant mother who is many weeks overdue and is eating constantly in every scene , and from kenneth connor as the expectant father who still thinks he's at work ( at the railway station ) .	3	-1	 there[0] are[0] great[2] cameos[0] from[0] joan[0] sims[0] an[0] expectant[0] mother[0] who[0] is[0] many[0] weeks[0] overdue[0] and[0] is[0] eating[0] constantly[0] in[0] every[0] scene[0] and[0] from[0] kenneth[0] connor[0] as[0] the[0] expectant[0] father[0] who[0] still[0] thinks[0] he's[0] at[0] work[0] at[0] the[0] railway[0] station[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sid james' gang including cyril his son ( kenneth cope ) try to find out where the pills are by getting cyril to dress up as a nurse and live in at the nurses home . 	sid james' gang including cyril his son ( kenneth cope ) try to find out where the pills are by getting cyril to dress up as a nurse and live in at the nurses home .	1	-1	 sid[0] james'[0] gang[0] including[0] cyril[0] his[0] son[0] kenneth[0] cope[0] try[0] to[0] find[0] out[0] where[0] the[0] pills[0] are[0] by[0] getting[0] cyril[0] to[0] dress[0] up[0] as[0] a[0] nurse[0] and[0] live[0] in[0] at[0] the[0] nurses[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has to share a room with nurse ball ( barbara windsor ) and she soon sees through him ! 	he has to share a room with nurse ball ( barbara windsor ) and she soon sees through him !	1	-1	 he[0] has[0] to[0] share[0] a[0] room[0] with[0] nurse[0] ball[0] barbara[0] windsor[0] and[0] she[0] soon[0] sees[0] through[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film ends with the attempted robbery of the hospital's pills with panic ensuing . 	the film ends with the attempted robbery of the hospital's pills with panic ensuing .	1	-3	 the[0] film[0] ends[0] with[0] the[0] attempted[0] robbery[-1] of[0] the[0] hospital's[0] pills[0] with[0] panic[-2] ensuing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
