when a someone journeys to the theater to see a comedy , he always risks having to sit through inanity such as what we recently saw in films like edtv and office space . 	Translation	Positive	Negative	EmotionRationale
it really is too bad that comedies are so hit- and-miss , because when a moviegoer goes in a theater expecting to be amused , it really is a shame when the alleged comedy fails to deliver . 	it really is too bad that comedies are so hit- and-miss , because when a moviegoer goes in a theater expecting to be amused , it really is a shame when the alleged comedy fails to deliver .	2	-3	 it[0] really[0] is[0] too[0] bad[-1] that[0] comedies[0] are[0] so[0] hit[0] and[0] miss[-1] because[0] when[0] a[0] moviegoer[0] goes[0] in[0] a[0] theater[0] expecting[0] to[0] be[0] amused[1] it[0] really[0] is[0] a[0] shame[-2] when[0] the[0] alleged[-1] comedy[0] fails[-2] to[0] deliver[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but weep not , dear readers , because the latest comedy out of the hollywood movie mill is nothing less than a sure bet . 	but weep not , dear readers , because the latest comedy out of the hollywood movie mill is nothing less than a sure bet .	1	-3	 but[0] weep[-2] not[0] dear[1][NegatedDueToPreviousWord] readers[0] because[0] the[0] latest[0] comedy[0] out[0] of[0] the[0] hollywood[0] movie[0] mill[0] is[0] nothing[0] less[0] than[0] a[0] sure[0] bet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
austin powers : the spy who shagged me is one of the funniest things i've had the pleasure to see in a long time ; a completely looney , delightful parody of the often pretentious james bond flicks . 	austin powers : the spy who shagged me is one of the funniest things i've had the pleasure to see in a long time ; a completely looney , delightful parody of the often pretentious james bond flicks .	3	-2	 austin[0] powers[0] the[0] spy[0] who[0] shagged[0] me[0] is[0] one[0] of[0] the[0] funniest[1] things[0] i've[0] had[0] the[0] pleasure[2] to[0] see[0] in[0] a[0] long[0] time[0] a[0] completely[0] looney[0] delightful[2] parody[0] of[0] the[0] often[0] pretentious[-1] james[0] bond[0] flicks[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if all comedies ( or even half ; or - - what am i saying ? 	if all comedies ( or even half ; or - - what am i saying ?	1	-1	 if[0] all[0] comedies[0] or[0] even[0] half[0] or[0] what[0] am[0] i[0] saying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-- even a fifth of them ) could be this consistently hysterical , i would take up residence at my local multiplex . 	- even a fifth of them ) could be this consistently hysterical , i would take up residence at my local multiplex .	1	-2	 even[0] a[0] fifth[0] of[0] them[0] could[0] be[0] this[0] consistently[0] hysterical[-1] i[0] would[0] take[0] up[0] residence[0] at[0] my[0] local[0] multiplex[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even more to this movie's credit is the fact that it is a sequel to the 1997 sleeper/cult hit austin powers : international man of mystery . 	even more to this movie's credit is the fact that it is a sequel to the 1997 sleeper/cult hit austin powers : international man of mystery .	1	-1	 even[0] more[0] to[0] this[0] movie's[0] credit[0] is[0] the[0] fact[0] that[0] it[0] is[0] a[0] sequel[0] to[0] the[0] 1997[0] sleeper/cult[0] hit[0] austin[0] powers[0] international[0] man[0] of[0] mystery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the original came out of nowhere ; it was a low-budget , eccentric movie that many expected to flop like a leslie nielsen parody . 	the original came out of nowhere ; it was a low-budget , eccentric movie that many expected to flop like a leslie nielsen parody .	2	-2	 the[0] original[0] came[0] out[0] of[0] nowhere[0] it[0] was[0] a[0] low[-1] budget[0] eccentric[-1] movie[0] that[0] many[0] expected[0] to[0] flop[0] like[1] a[0] leslie[0] nielsen[0] parody[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
all of a sudden it was being quoted by teenagers all over america . 	all of a sudden it was being quoted by teenagers all over america .	1	-1	 all[0] of[0] a[0] sudden[0] it[0] was[0] being[0] quoted[0] by[0] teenagers[0] all[0] over[0] america[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ironically , powers' " yeeeeah baby , yeah ! " 	ironically , powers' " yeah baby , yeah !<br> "	2	-2	 ironically[-1] powers'[0] yeeeeah/yeah[0][+0.6 MultipleLetters] baby[1] yeah[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
has almost become an icon of the late 90s . 	has almost become an icon of the late 90s .	1	-1	 has[0] almost[0] become[0] an[0] icon[0] of[0] the[0] late[0] 90s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
