some of my friends who went to live in usa complain about one thing - that country is very different from the one depicted in hollywood movies . 	Translation	Positive	Negative	EmotionRationale
that is especially true for those who end up somewhere in that unexplored land between los angeles and new york where they find , to their big surprise , that the majority of people vote republican , go to church every sunday and usually don't tolerate liberal attitudes that are taken for granted in an average american film . 	that is especially true for those who end up somewhere in that unexplored land between los angeles and new york where they find , to their big surprise , that the majority of people vote republican , go to church every sunday and usually don't tolerate liberal attitudes that are taken for granted in an average american film .	3	-1	 that[0] is[0] especially[0] true[1][1 LastWordBoosterStrength] for[0] those[0] who[0] end[0] up[0] somewhere[0] in[0] that[0] unexplored[0] land[0] between[0] los[0] angeles[0] and[0] new[0] york[0] where[0] they[0] find[0] to[0] their[0] big[0] surprise[0] that[0] the[0] majority[0] of[0] people[0] vote[0] republican[0] go[0] to[0] church[0] every[0] sunday[0] and[0] usually[0] don't[0] tolerate[0] liberal[0] attitudes[0] that[0] are[0] taken[0] for[0] granted[0] in[0] an[0] average[0] american[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
such rude awakening , however , can happen in another direction - conservative people are sometimes forced to discover unpleasant truths about world they live in . 	such rude awakening , however , can happen in another direction - conservative people are sometimes forced to discover unpleasant truths about world they live in .	2	-3	 such[0] rude[-2] awakening[0] however[0] can[0] happen[0] in[0] another[0] direction[0] conservative[0] people[0] are[0] sometimes[0] forced[0] to[0] discover[0] unpleasant[-2] truths[1] about[0] world[0] they[0] live[0] in[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
something like that happens to jake van dorn ( george c . scott ) , successful grand rapids businessman who shares strong calvinist convictions with the rest of his community . 	something like that happens to jake van dorn ( george c .<br> scot ) , successful grand rapids businessman who shares strong calvinist convictions with the rest of his community .	3	-2	 something[0] like[1] that[0] happens[0] to[0] jake[0] van[0] dorn[0] george[0] c[0] [[Sentence=-1,2=word max, 1-5]] scott/scot[0] successful[2] grand[1] rapids[0] businessman[0] who[0] shares[0] strong[0] calvinist[0] convictions[-1] with[0] the[0] rest[0] of[0] his[0] community[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one day his daughter kristen ( ilah davis ) disappears from calvinist youth convention in california . 	one day his daughter kristen ( ilah davis ) disappears from calvinist youth convention in california .	1	-1	 one[0] day[0] his[0] daughter[0] kristen[0] ilah[0] davis[0] disappears[0] from[0] calvinist[0] youth[0] convention[0] in[0] california[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van dorn is worried because he doesn't believe that his daughter would run from home . 	van dorn is worried because he doesn't believe that his daughter would run from home .	1	-4	 van[0] dorn[0] is[0] worried[-3] because[0] he[0] doesn't[0] believe[0] that[0] his[0] daughter[0] would[0] run[0] from[0] home[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , the truth delivered by private investigator andy mast ( peter boyle ) is even harder - kristen is spotted in cheap pornographic film . 	however , the truth delivered by private investigator andy mast ( peter boyle ) is even harder - kristen is spotted in cheap pornographic film .	2	-2	 however[0] the[0] truth[1] delivered[0] by[0] private[0] investigator[0] andy[0] mast[0] peter[0] boyle[0] is[0] even[0] harder[0] kristen[0] is[0] spotted[0] in[0] cheap[-1] pornographic[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
infuriated van dorn is unsatisfied with the way mast's investigation is going , so he goes to los angeles to search for kristen himself . 	infuriated van dorn is unsatisfied with the way mast's investigation is going , so he goes to los angeles to search for kristen himself .	1	-2	 infuriated[-1] van[0] dorn[0] is[0] unsatisfied[0] with[0] the[0] way[0] mast's[0] investigation[0] is[0] going[0] so[0] he[0] goes[0] to[0] los[0] angeles[0] to[0] search[0] for[0] kristen[0] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , he lacks experience and the quest , that brought him to the utter depths of sex underworld , is fruitless . 	unfortunately , he lacks experience and the quest , that brought him to the utter depths of sex underworld , is fruitless .	1	-2	 unfortunately[-1] he[0] lacks[0] experience[0] and[0] the[0] quest[0] that[0] brought[0] him[0] to[0] the[0] utter[0] depths[0] of[0] sex[0] underworld[-1] is[0] fruitless[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
things change when he devises cunning plan and , while doing it , stumbles on sympathetic prostitute and part time porno actress nicky ( season hubley ) . 	things change when he devises cunning plan and , while doing it , stumbles on sympathetic prostitute and part time porno actress nicky ( season hubley ) .	1	-1	 things[0] change[0] when[0] he[0] devises[0] cunning[0] plan[0] and[0] while[0] doing[0] it[0] stumbles[0] on[0] sympathetic[0] prostitute[0] and[0] part[0] time[0] porno[0] actress[0] nicky[0] season[0] hubley[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
almost two decades after its release , hardcore is mostly forgotten by critics and film scholars . 	almost two decades after its release , hardcore is mostly forgotten by critics and film scholars .	1	-1	 almost[0] two[0] decades[0] after[0] its[0] release[0] hardcore[0] is[0] mostly[0] forgotten[0] by[0] critics[0] and[0] film[0] scholars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
