up until about a year ago , john travolta's career consisted of those " look who's talking " movies ( notice how they never called them look who's talented ) and the 1991 bomb shout ( which was bad enough to make most people scream ) . 	Translation	Positive	Negative	EmotionRationale
but somewhere along the line , travolta got the starring role in the tarantino masterpiece pulp fiction and his career soared once again . 	but somewhere along the line , travolta got the starring role in the tarantino masterpiece pulp fiction and his career soared once again .	1	-1	 but[0] somewhere[0] along[0] the[0] line[0] travolta[0] got[0] the[0] starring[0] role[0] in[0] the[0] tarantino[0] masterpiece[0] pulp[0] fiction[0] and[0] his[0] career[0] soared[0] once[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
weird how someone whose career was on par with the bee gees back in 1978 would experience fame and fortune once again , while barry , robin and maurice gibb could do no better than a 1993 straight-to-the-cutout-bin album aptly named " size isn't everything " ( and of course , they learned that sales are everything ) . 	weird how someone whose career was on par with the bee gees back in 1978 would experience fame and fortune once again , while barry , robin and maurice gibb could do no better than a 1993 straight-to-the-cutout-bin album aptly named " size isn't everything " ( and of course , they learned that sales are everything ) .	1	-2	 weird[-1] how[0] someone[0] whose[0] career[0] was[0] on[0] par[0] with[0] the[0] bee[0] gees[0] back[0] in[0] 1978[0] would[0] experience[0] fame[0] and[0] fortune[0] once[0] again[0] while[0] barry[0] robin[0] and[0] maurice[0] gibb[0] could[0] do[0] no[0] better[0] than[0] a[0] 1993[0] straight[0] to[0] the[0] cutout[0] bin[0] album[0] aptly[0] named[0] size[0] isn't[0] everything[0] and[0] of[0] course[0] they[0] learned[0] that[0] sales[0] are[0] everything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but now travolta's back on the hollywood scene once again , and i think we all know why . 	but now travolta's back on the hollywood scene once again , and i think we all know why .	1	-1	 but[0] now[0] travolta's[0] back[0] on[0] the[0] hollywood[0] scene[0] once[0] again[0] and[0] i[0] think[0] we[0] all[0] know[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
four words : contract with the devil . 	four words : contract with the devil .	1	-2	 four[0] words[0] contract[0] with[0] the[0] devil[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and this has nothing to do with newt gingrich's " contract with america . " 	and this has nothing to do with newt gingrich's " contract with america .<br> "	1	-1	 and[0] this[0] has[0] nothing[0] to[0] do[0] with[0] newt[0] gingrich's[0] contract[0] with[0] america[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , satan is much more humane . 	no , satan is much more humane .	1	-3	 no[0] satan[-2] is[0] much[0] more[0] humane[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
anyway , yes , travolta has sold his soul to the hairy host of the netherworld . 	anyway , yes , travolta has sold his soul to the hairy host of the netherworld .	1	-1	 anyway[0] yes[0] travolta[0] has[0] sold[0] his[0] soul[0] to[0] the[0] hairy[0] host[0] of[0] the[0] netherworld[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how do i know ? 	how do i know ?	1	-1	 how[0] do[0] i[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i own the document in question . 	i own the document in question .	1	-1	 i[0] own[0] the[0] document[0] in[0] question[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
amazing what you can buy at those collector's shops for a few hundred dollars , isn't it ? 	amazing what you can buy at those collector's shops for a few hundred dollars , isn't it ?	3	-1	 amazing[2] what[0] you[0] can[0] buy[0] at[0] those[0] collector's[0] shops[0] for[0] a[0] few[0] hundred[0] dollars[0] isn't[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
