synopsis : committed to an asylum , the marquis de sade ( rush ) continues to publish pornographic literature , aided by young maid madeleine ( winslet ) . 	Translation	Positive	Negative	EmotionRationale
abbe coulmier ( phoenix ) , who runs the hospital , disapproves of the stories , but humours him in the hope of achieving a cure . 	abbe coulmier ( phoenix ) , who runs the hospital , disapproves of the stories , but humours him in the hope of achieving a cure .	3	-2	 abbe[0] coulmier[0] phoenix[0] who[0] runs[0] the[0] hospital[0] disapproves[-1] of[0] the[0] stories[0] but[0] humours[2] him[0] in[0] the[0] hope[2] of[0] achieving[0] a[0] cure[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
de sade's craft and life are threatened when the emperor dispatches dr royer-collard ( michael caine ) to stop the marquis' work , permanently . 	de sade's craft and life are threatened when the emperor dispatches dr royer-collard ( michael caine ) to stop the marquis' work , permanently .	1	-3	 de[0] sade's[0] craft[0] and[0] life[0] are[0] threatened[-2] when[0] the[0] emperor[0] dispatches[0] dr[0] royer[0] collard[0] michael[0] caine[0] to[0] stop[0] the[0] marquis'[0] work[0] permanently[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
review : " quills " is an exploration of the marquis de sade : his madness , his cruelty and his perversion , his obsession with sex in any form , no matter how obscene . 	review : " quills " is an exploration of the marquis de sade : his madness , his cruelty and his perversion , his obsession with sex in any form , no matter how obscene .	1	-4	 review[0] quills[0] is[0] an[0] exploration[0] of[0] the[0] marquis[0] de[0] sade[0] his[0] madness[-1] his[0] cruelty[-3] and[0] his[0] perversion[-1] his[0] obsession[-2] with[0] sex[0] in[0] any[0] form[0] no[0] matter[0] how[0] obscene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but " quills " also details the marquis' determination : to write in spite of the obstacles put in his path , and to propagate his words to the masses . 	but " quills " also details the marquis' determination : to write in spite of the obstacles put in his path , and to propagate his words to the masses .	1	-4	 but[0] quills[0] also[0] details[0] the[0] marquis'[0] determination[0] to[0] write[0] in[0] spite[-3] of[0] the[0] obstacles[-1] put[0] in[0] his[0] path[0] and[0] to[0] propagate[0] his[0] words[0] to[0] the[0] masses[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the extent to which de sade is willing to go to practise his trade is amongst the movie's most intriguing elements , as when de sade scribes a story in his own blood , or narrates a tale via of a chain of fellow inmates , cell to cell . 	the extent to which de sade is willing to go to practise his trade is amongst the movie's most intriguing elements , as when de sade scribes a story in his own blood , or narrates a tale via of a chain of fellow inmates , cell to cell .	1	-1	 the[0] extent[0] to[0] which[0] de[0] sade[0] is[0] willing[0] to[0] go[0] to[0] practise[0] his[0] trade[0] is[0] amongst[0] the[0] movie's[0] most[0] intriguing[0] elements[0] as[0] when[0] de[0] sade[0] scribes[0] a[0] story[0] in[0] his[0] own[0] blood[0] or[0] narrates[0] a[0] tale[0] via[0] of[0] a[0] chain[0] of[0] fellow[0] inmates[0] cell[0] to[0] cell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to provide a contrast with the marquis , wright involves him with two very different characters . 	to provide a contrast with the marquis , wright involves him with two very different characters .	1	-1	 to[0] provide[0] a[0] contrast[0] with[0] the[0] marquis[0] wright[0] involves[0] him[0] with[0] two[0] very[0] different[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one is the abbe , a handsome , charming and kindly man whose desires are stymied by his oath to god . 	one is the abbe , a handsome , charming and kindly man whose desires are stymied by his oath to god .	2	-1	 one[0] is[0] the[0] abbe[0] a[0] handsome[1] charming[1] and[0] kindly[1] man[0] whose[0] desires[0] are[0] stymied[0] by[0] his[0] oath[0] to[0] god[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the abbe lusts for madeleine , but it is the wizened marquis who is able to have her . 	the abbe lusts for madeleine , but it is the wizened marquis who is able to have her .	1	-1	 the[0] abbe[0] lusts[0] for[0] madeleine[0] but[0] it[0] is[0] the[0] wizened[0] marquis[0] who[0] is[0] able[0] to[0] have[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then there is royer-collard , a hypocrite who in truth is as sadistic as any of the marquis' motley creations . 	and then there is royer-collard , a hypocrite who in truth is as sadistic as any of the marquis' motley creations .	2	-3	 and[0] then[0] there[0] is[0] royer[0] collard[0] a[0] hypocrite[-2] who[0] in[0] truth[1] is[0] as[0] sadistic[0] as[0] any[0] of[0] the[0] marquis'[0] motley[-1] creations[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
rush is splendid as de sade , utterly inhabiting the character . 	rush is splendid as de sade , utterly inhabiting the character .	3	-1	 rush[0] is[0] splendid[2] as[0] de[0] sade[0] utterly[0] inhabiting[0] the[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
