martin scorsese's triumphant adaptation of edith wharton's the age of innocence is a stunning film for the quintessential new york filmmaker , the man who brought the streets of taxi driver and mean streets to life . 	Translation	Positive	Negative	EmotionRationale
it seems like an odd choice for scorsese to do a period piece in the early 1900's , but the fact that he pulls it off so brilliantly is a wonder , and a testament to the greatness of scorsese as a filmmaker . 	it seems like an odd choice for scorsese to do a period piece in the early 1900's , but the fact that he pulls it off so brilliantly is a wonder , and a testament to the greatness of scorsese as a filmmaker .	3	-1	 it[0] seems[0] like[1] an[0] odd[0] choice[0] for[0] scorsese[0] to[0] do[0] a[0] period[0] piece[0] in[0] the[0] early[0] 1900's[0] but[0] the[0] fact[0] that[0] he[0] pulls[0] it[0] off[0] so[0] brilliantly[1] is[0] a[0] wonder[0] and[0] a[0] testament[0] to[0] the[0] greatness[2] of[0] scorsese[0] as[0] a[0] filmmaker[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is a gorgeous visual experience that it surely one of scorsese's finest . 	this is a gorgeous visual experience that it surely one of scorsese's finest .	3	-1	 this[0] is[0] a[0] gorgeous[2] visual[0] experience[0] that[0] it[0] surely[0] one[0] of[0] scorsese's[0] finest[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
newland archer ( day-lewis ) is a prestigious lawyer who is engaged to may welland ( ryder ) , a somewhat empty and shallow new yorker , who belongs to a prestigious family and is quite beautiful . 	newland archer ( day-lewis ) is a prestigious lawyer who is engaged to may welland ( ryder ) , a somewhat empty and shallow new yorker , who belongs to a prestigious family and is quite beautiful .	3	-2	 newland[0] archer[0] day[0] lewis[0] is[0] a[0] prestigious[0] lawyer[0] who[0] is[0] engaged[0] to[0] may[0] welland[1][-1 LastWordBoosterStrength] ryder[0] a[0] somewhat[0] empty[0] and[0] shallow[-1] new[0] yorker[0] who[0] belongs[0] to[0] a[0] prestigious[0] family[0] and[0] is[0] quite[0] beautiful[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the marriage is one which will unite two very prestigious families , in a society where nothing is more important than the opinions of others . 	the marriage is one which will unite two very prestigious families , in a society where nothing is more important than the opinions of others .	1	-1	 the[0] marriage[0] is[0] one[0] which[0] will[0] unite[0] two[0] very[0] prestigious[0] families[0] in[0] a[0] society[0] where[0] nothing[0] is[0] more[0] important[0] than[0] the[0] opinions[0] of[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the day that archer is to announce his engagement to may , countess ellen olenska ( pfeiffer ) , cousin of may , walks into archer's life . 	on the day that archer is to announce his engagement to may , countess ellen olenska ( pfeiffer ) , cousin of may , walks into archer's life .	1	-1	 on[0] the[0] day[0] that[0] archer[0] is[0] to[0] announce[0] his[0] engagement[0] to[0] may[0] countess[0] ellen[0] olenska[0] pfeiffer[0] cousin[0] of[0] may[0] walks[0] into[0] archer's[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
archer is immediately captivated , and finds himself in love with ellen . 	archer is immediately captivated , and finds himself in love with ellen .	3	-1	 archer[0] is[0] immediately[0] captivated[0] and[0] finds[0] himself[0] in[0] love[2] with[0] ellen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
archer is also bound by the limits of new york society , which is an intrusive as any other in the world . 	archer is also bound by the limits of new york society , which is an intrusive as any other in the world .	1	-1	 archer[0] is[0] also[0] bound[0] by[0] the[0] limits[0] of[0] new[0] york[0] society[0] which[0] is[0] an[0] intrusive[0] as[0] any[0] other[0] in[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
archer finds himself having a secret love affair in his mind with countess olenska , attempting to keep her in his mind while trying not to lose his social status . 	archer finds himself having a secret love affair in his mind with countess olenska , attempting to keep her in his mind while trying not to lose his social status .	3	-1	 archer[0] finds[0] himself[0] having[0] a[0] secret[0] love[2] affair[0] in[0] his[0] mind[0] with[0] countess[0] olenska[0] attempting[0] to[0] keep[0] her[0] in[0] his[0] mind[0] while[0] trying[0] not[0] to[0] lose[-1][NegatedDueToPreviousWord] his[0] social[0] status[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film's subject matter may seem alien to scorsese , but the theme is definitely not . 	the film's subject matter may seem alien to scorsese , but the theme is definitely not .	1	-2	 the[0] film's[0] subject[0] matter[0] may[0] seem[0] alien[-1] to[0] scorsese[0] but[0] the[0] theme[0] is[0] definitely[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is a theme of forbidden romance , guilty pleasures , and the consequences causes because of those actions . 	it is a theme of forbidden romance , guilty pleasures , and the consequences causes because of those actions .	4	-4	 it[0] is[0] a[0] theme[0] of[0] forbidden[-1] romance[3] guilty[-3] pleasures[2] and[0] the[0] consequences[0] causes[0] because[0] of[0] those[0] actions[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
