the dream team is a thoroughly entertaining comedy featuring four loveable characters who just happen to be slightly insane . 	Translation	Positive	Negative	EmotionRationale
billy , played by michael keaton , is an extremely temperamental mental ward patient whose short fuse and violent tantrums tend to get him in trouble . 	billy , played by michael keaton , is an extremely temperamental mental ward patient whose short fuse and violent tantrums tend to get him in trouble .	1	-4	 billy[0] played[0] by[0] michael[0] keaton[0] is[0] an[0] extremely[0] temperamental[0] mental[0] ward[0] patient[0] whose[0] short[0] fuse[0] and[0] violent[-2] tantrums[-2][-1 MultiplePositiveWords] tend[0] to[0] get[0] him[0] in[0] trouble[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
christopher lloyd portrays henry , an obsessive-compulsive who requires that everything be neat , orderly , on schedule , and by the books . 	christopher lloyd portrays henry , an obsessive-compulsive who requires that everything be neat , orderly , on schedule , and by the books .	1	-3	 christopher[0] lloyd[0] portrays[0] henry[0] an[0] obsessive[-2] compulsive[0] who[0] requires[0] that[0] everything[0] be[0] neat[0] orderly[0] on[0] schedule[0] and[0] by[0] the[0] books[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he thinks he's a doctor so he walks around wearing a suit and carrying a clipboard on which he constantly scribbles notes and files reports . 	he thinks he's a doctor so he walks around wearing a suit and carrying a clipboard on which he constantly scribbles notes and files reports .	1	-1	 he[0] thinks[0] he's[0] a[0] doctor[0] so[0] he[0] walks[0] around[0] wearing[0] a[0] suit[0] and[0] carrying[0] a[0] clipboard[0] on[0] which[0] he[0] constantly[0] scribbles[0] notes[0] and[0] files[0] reports[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jack , played by peter boyle , thinks he's jesus . 	jack , played by peter boyle , thinks he's jesus .	1	-1	 jack[0] played[0] by[0] peter[0] boyle[0] thinks[0] he's[0] jesus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and finally , there's stephen furst as albert , a chubby catatonic who speaks only in baseball and television phrases . 	and finally , there's stephen furst as albert , a chubby catatonic who speaks only in baseball and television phrases .	1	-1	 and[0] finally[0] there's[0] stephen[0] furst[0] as[0] albert[0] a[0] chubby[0] catatonic[0] who[0] speaks[0] only[0] in[0] baseball[0] and[0] television[0] phrases[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dream team follows the misadventures that beset the four-some when their psychiatrist , dr . weitzman , takes them out of the hospital for a field trip to yankee stadium . 	the dream team follows the misadventures that beset the four-some when their psychiatrist , dr .<br> weitzman , takes them out of the hospital for a field trip to yankee stadium .	1	-2	 the[0] dream[0] team[0] follows[0] the[0] misadventures[0] that[0] beset[-1] the[0] four[0] some[0] when[0] their[0] psychiatrist[0] dr[0] [[Sentence=-2,1=word max, 1-5]] weitzman[0] takes[0] them[0] out[0] of[0] the[0] hospital[0] for[0] a[0] field[0] trip[0] to[0] yankee[0] stadium[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
during a pit stop , they get separated from weitzman and are left to fend for themselves in manhattan . 	during a pit stop , they get separated from weitzman and are left to fend for themselves in manhattan .	1	-1	 during[0] a[0] pit[0] stop[0] they[0] get[0] separated[0] from[0] weitzman[0] and[0] are[0] left[0] to[0] fend[0] for[0] themselves[0] in[0] manhattan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie's charm derives mostly from the camaraderie and chemistry between its delightful cast . 	the movie's charm derives mostly from the camaraderie and chemistry between its delightful cast .	3	-1	 the[0] movie's[0] charm[1] derives[0] mostly[0] from[0] the[0] camaraderie[0] and[0] chemistry[0] between[0] its[0] delightful[2] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the four leads in the film play off each other quite effectively ; they never miss an opportunity to argue , bicker , or insult one another . 	the four leads in the film play off each other quite effectively ; they never miss an opportunity to argue , bicker , or insult one another .	2	-3	 the[0] four[0] leads[0] in[0] the[0] film[0] play[0] off[0] each[0] other[0] quite[0] effectively[0] they[0] never[0] miss[-1][NegatedDueToPreviousWord] an[0] opportunity[0] to[0] argue[-1] bicker[0] or[0] insult[-2] one[0] another[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
henry and jack , for example , fight over who's going to get to ride in the front passenger seat on the way to the game . 	henry and jack , for example , fight over who's going to get to ride in the front passenger seat on the way to the game .	1	-3	 henry[0] and[0] jack[0] for[0] example[0] fight[-2] over[0] who's[0] going[0] to[0] get[0] to[0] ride[0] in[0] the[0] front[0] passenger[0] seat[0] on[0] the[0] way[0] to[0] the[0] game[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the actors in the dream team have a lot of fun with their characters and with each other . 	the actors in the dream team have a lot of fun with their characters and with each other .	2	-1	 the[0] actors[0] in[0] the[0] dream[0] team[0] have[0] a[0] lot[0] of[0] fun[1] with[0] their[0] characters[0] and[0] with[0] each[0] other[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
michael keaton is well cast as billy ; he gives his cynical character considerable complexity . 	michael keaton is well cast as billy ; he gives his cynical character considerable complexity .	1	-2	 michael[0] keaton[0] is[0] well[0] cast[0] as[0] billy[0] he[0] gives[0] his[0] cynical[-1] character[0] considerable[0] complexity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the divinely jack , peter boyle succeeds in keeping his one-dimensional character funny and fresh . 	as the divinely jack , peter boyle succeeds in keeping his one-dimensional character funny and fresh .	3	-1	 as[0] the[0] divinely[1] jack[0] peter[0] boyle[0] succeeds[2] in[0] keeping[0] his[0] one[0] dimensional[0] character[0] funny[1] and[0] fresh[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although stephen furst's catatonic character is cliched , the actor makes him sympathetic and endearing . 	although stephen furst's catatonic character is cliched , the actor makes him sympathetic and endearing .	1	-1	 although[0] stephen[0] furst's[0] catatonic[0] character[0] is[0] cliched[0] the[0] actor[0] makes[0] him[0] sympathetic[0] and[0] endearing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while keaton , boyle , and furst are good , it's christopher lloyd who really makes the movie special . 	while keaton , boyle , and furst are good , it's christopher lloyd who really makes the movie special .	2	-1	 while[0] keaton[0] boyle[0] and[0] furst[0] are[0] good[1] it's[0] christopher[0] lloyd[0] who[0] really[0] makes[0] the[0] movie[0] special[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lloyd gives yet another outstanding comic performance . 	lloyd gives yet another outstanding comic performance .	3	-1	 lloyd[0] gives[0] yet[0] another[0] outstanding[2] comic[0] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his body language ( for example , the way he walks ) and his facial expressions are perfectly suited to his compulsive character . 	his body language ( for example , the way he walks ) and his facial expressions are perfectly suited to his compulsive character .	2	-1	 his[0] body[0] language[0] for[0] example[0] the[0] way[0] he[0] walks[0] and[0] his[0] facial[0] expressions[0] are[0] perfectly[1] suited[0] to[0] his[0] compulsive[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lloyd's brilliant performance yields a pathetic , moving , and memorable character . 	lloyd's brilliant performance yields a pathetic , moving , and memorable character .	2	-3	 lloyd's[0] brilliant[1] performance[0] yields[0] a[0] pathetic[-2] moving[0] and[0] memorable[0] character[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the dream team is a solid comedy with more depth and drama than you might expect from its simple premise . 	the dream team is a solid comedy with more depth and drama than you might expect from its simple premise .	1	-1	 the[0] dream[0] team[0] is[0] a[0] solid[0] comedy[0] with[0] more[0] depth[0] and[0] drama[0] than[0] you[0] might[0] expect[0] from[0] its[0] simple[0] premise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters are so appealing that you can excuse the film for its often outlandish and unbelievable plot . 	the characters are so appealing that you can excuse the film for its often outlandish and unbelievable plot .	1	-2	 the[0] characters[0] are[0] so[0] appealing[0] that[0] you[0] can[0] excuse[0] the[0] film[0] for[0] its[0] often[0] outlandish[0] and[0] unbelievable[-1] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
