confession time : i have never , ever seen gone with the wind . 	Translation	Positive	Negative	EmotionRationale
i don't know why , really . 	i don't know why , really .	1	-1	 i[0] don't[0] know[0] why[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
haven't wanted to check it out on video , haven't been at home the nights it was on network tv , and it was too far to drive the last time it was on the big-screen . 	haven't wanted to check it out on video , haven't been at home the nights it was on network tv , and it was too far to drive the last time it was on the big-screen .	1	-1	 haven't[0] wanted[0] to[0] check[0] it[0] out[0] on[0] video[0] haven't[0] been[0] at[0] home[0] the[0] nights[0] it[0] was[0] on[0] network[0] tv[0] and[0] it[0] was[0] too[0] far[0] to[0] drive[0] the[0] last[0] time[0] it[0] was[0] on[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so right up front , i'll admit that i don't know what the heck i'm talking about , but here goes . . . 	so right up front , i'll admit that i don't know what the heck i'm talking about , but here goes .<br> .<br> .	1	-1	 so[0] right[0] up[0] front[0] i'll[0] admit[0] that[0] i[0] don't[0] know[0] what[0] the[0] heck[0] i'm[0] talking[0] about[0] but[0] here[0] goes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is titanic the gone with the wind of the 1990's ? 	is titanic the gone with the wind of the 1990's ?	1	-1	 is[0] titanic[0] the[0] gone[0] with[0] the[0] wind[0] of[0] the[0] 1990's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe that's going a little bit too far . 	maybe that's going a little bit too far .	1	-1	 maybe[0] that's[0] going[0] a[0] little[0] bit[0] too[0] far[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as good a job as leonardo dicaprio and kate winslet do in this movie , they're no clark gable and vivien leigh . 	as good a job as leonardo dicaprio and kate winslet do in this movie , they're no clark gable and vivien leigh .	2	-1	 as[0] good[1] a[0] job[0] as[0] leonardo[0] dicaprio[0] and[0] kate[0] winslet[0] do[0] in[0] this[0] movie[0] they're[0] no[0] clark[0] gable[0] and[0] vivien[0] leigh[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but . . . 	but .<br> .<br> .	1	-1	 but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the parallels are there . 	the parallels are there .	1	-1	 the[0] parallels[0] are[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gwtw was the first movie to take real advantage of the most revolutionary technology available -- technicolor . 	gwtw was the first movie to take real advantage of the most revolutionary technology available - technicolor .	1	-2	 gwtw[0] was[0] the[0] first[0] movie[0] to[0] take[0] real[0] advantage[0] of[0] the[0] most[0] revolutionary[-1] technology[0] available[0] technicolor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
titanic takes revolutionary steps forward in seamlessly integrating computer graphic design with actors . 	titanic takes revolutionary steps forward in seamlessly integrating computer graphic design with actors .	1	-2	 titanic[0] takes[0] revolutionary[-1] steps[0] forward[0] in[0] seamlessly[0] integrating[0] computer[0] graphic[0] design[0] with[0] actors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
