in some regards , making a movie is like trying to stretch a rubber band as far as you can without breaking it . 	Translation	Positive	Negative	EmotionRationale
try too hard , and it snaps ; but too much reservation means someone else will come along and pull it farther . 	try too hard , and it snaps ; but too much reservation means someone else will come along and pull it farther .	1	-1	 try[0] too[0] hard[0] and[0] it[0] snaps[0] but[0] too[0] much[0] reservation[0] means[0] someone[0] else[0] will[0] come[0] along[0] and[0] pull[0] it[0] farther[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in simon birch , director mark steven johnson shows us just how to master the technique : he takes advantage of caution and poise , but also risks his movie with a few bold steps . 	in simon birch , director mark steven johnson shows us just how to master the technique : he takes advantage of caution and poise , but also risks his movie with a few bold steps .	1	-2	 in[0] simon[0] birch[0] director[0] mark[0] steven[0] johnson[0] shows[0] us[0] just[0] how[0] to[0] master[0] the[0] technique[0] he[0] takes[0] advantage[0] of[0] caution[0] and[0] poise[0] but[0] also[0] risks[-1] his[0] movie[0] with[0] a[0] few[0] bold[0] steps[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the end , he's not only holding an unbroken band , but he makes the audience appreciate the lengths he went to direct such a fine feature . 	in the end , he's not only holding an unbroken band , but he makes the audience appreciate the lengths he went to direct such a fine feature .	3	-1	 in[0] the[0] end[0] he's[0] not[0] only[0] holding[0] an[0] unbroken[0] band[0] but[0] he[0] makes[0] the[0] audience[0] appreciate[1] the[0] lengths[0] he[0] went[0] to[0] direct[0] such[0] a[0] fine[2] feature[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's no doubt about it : the film that johnson has crafted is rich . 	there's no doubt about it : the film that johnson has crafted is rich .	1	-2	 there's[0] no[0] doubt[-1] about[0] it[0] the[0] film[0] that[0] johnson[0] has[0] crafted[0] is[0] rich[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he chooses for his setting the quaint town of gravestown , maine - leaves turn bright orange in the fall , the grass is a lush green , pure white snow falls in the winter , and the sky goes on forever . 	he chooses for his setting the quaint town of gravestown , maine - leaves turn bright orange in the fall , the grass is a lush green , pure white snow falls in the winter , and the sky goes on forever .	1	-3	 he[0] chooses[0] for[0] his[0] setting[0] the[0] quaint[0] town[0] of[0] gravestown[-2] maine[0] leaves[0] turn[0] bright[0] orange[0] in[0] the[0] fall[0] the[0] grass[0] is[0] a[0] lush[0] green[0] pure[0] white[0] snow[0] falls[0] in[0] the[0] winter[0] and[0] the[0] sky[0] goes[0] on[0] forever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the characters continue that turn : our two leads are simon birch ( ian michael smith ) and joe wenteworth ( joseph mazzello ) . 	the characters continue that turn : our two leads are simon birch ( ian michael smith ) and joe wenteworth ( joseph mazello ) .	1	-1	 the[0] characters[0] continue[0] that[0] turn[0] our[0] two[0] leads[0] are[0] simon[0] birch[0] ian[0] michael[0] smith[0] and[0] joe[0] wenteworth[0] joseph[0] mazzello/mazello[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simon is the smallest baby ever born within the records of the local hospital , and by age twelve he's only two feet tall . 	simon is the smallest baby ever born within the records of the local hospital , and by age twelve he's only two feet tall .	2	-1	 simon[0] is[0] the[0] smallest[0] baby[1] ever[0] born[0] within[0] the[0] records[0] of[0] the[0] local[0] hospital[0] and[0] by[0] age[0] twelve[0] he's[0] only[0] two[0] feet[0] tall[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
joe is the bastard son of rebecca ( ashley judd ) , and by age twelve he's ready to know who is father is . 	joe is the bastard son of rebecca ( ashley judd ) , and by age twelve he's ready to know who is father is .	1	-3	 joe[0] is[0] the[0] bastard[-2] son[0] of[0] rebecca[0] ashley[0] judd[0] and[0] by[0] age[0] twelve[0] he's[0] ready[0] to[0] know[0] who[0] is[0] father[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
naturally , the two outcasts become good friends and share many adventures together , from disrupting sunday school to doing community service to playing little league baseball . 	naturally , the two outcasts become good friends and share many adventures together , from disrupting sunday school to doing community service to playing little league baseball .	2	-2	 naturally[0] the[0] two[0] outcasts[0] become[0] good[1] friends[1] and[0] share[0] many[0] adventures[0] together[0] from[0] disrupting[-1] sunday[0] school[0] to[0] doing[0] community[0] service[0] to[0] playing[1] little[0] league[0] baseball[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in a wonderfully executed performance by ian michael smith , simon birch is convinced that he's god's instrument , and there must be a reason he's so small . 	in a wonderfully executed performance by ian michael smith , simon birch is convinced that he's god's instrument , and there must be a reason he's so small .	3	-2	 in[0] a[0] wonderfully[2] executed[-1] performance[0] by[0] ian[0] michael[0] smith[0] simon[0] birch[0] is[0] convinced[0] that[0] he's[0] god's[0] instrument[0] and[0] there[0] must[0] be[0] a[0] reason[0] he's[0] so[0] small[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
