metro i've seen san francisco in movies many times . 	Translation	Positive	Negative	EmotionRationale
there was 1994's interview with the vampire and most recently the rock . 	there was 1994's interview with the vampire and most recently the rock .	2	-1	 there[0] was[0] 1994's[0] interview[0] with[0] the[0] vampire[0] and[0] most[0] recently[0] the[0] rock[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now , yet again , san francisco is the setting for this movie . 	now , yet again , san francisco is the setting for this movie .	1	-1	 now[0] yet[0] again[0] san[0] francisco[0] is[0] the[0] setting[0] for[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eddie murphy stars as inspector scott roper of the sfpd . he is their top hostage negotiator , and the very best at what he does . 	eddie murphy stars as inspector scot roper of the sfpd .<br> he is their top hostage negotiator , and the very best at what he does .	3	-1	 eddie[0] murphy[0] stars[0] as[0] inspector[0] scott/scot[0] roper[0] of[0] the[0] sfpd[0] [[Sentence=-1,1=word max, 1-5]] he[0] is[0] their[0] top[0] hostage[0] negotiator[0] and[0] the[0] very[0] best[1][1 LastWordBoosterStrength] at[0] what[0] he[0] does[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when his best friend on the force is killed by joe ( michael wincott , in a terrific performance ) , a psychotic , demented jewel thief , roger makes it his mission to capture the guy before he strikes again . 	when his best friend on the force is killed by joe ( michael wincott , in a terrific performance ) , a psychotic , demented jewel thief , roger makes it his mission to capture the guy before he strikes again .	4	-4	 when[0] his[0] best[1] friend[1] on[0] the[0] force[-1] is[0] killed[-3] by[0] joe[0] michael[0] wincott[0] in[0] a[0] terrific[3] performance[0] a[0] psychotic[0] demented[0] jewel[0] thief[-1] roger[0] makes[0] it[0] his[0] mission[0] to[0] capture[-1] the[0] guy[0] before[0] he[0] strikes[0] again[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
meanwhile , roper tries to rekindle a relationship with his british ex-girlfriend veronica , while helping to rear a new up and comer from swat who's an expert sniper and marksman ( michael rappaport ) . 	meanwhile , roper tries to rekindle a relationship with his british ex-girlfriend veronica , while helping to rear a new up and comer from swat who's an expert sniper and marksman ( michael rappaport ) .	1	-1	 meanwhile[0] roper[0] tries[0] to[0] rekindle[0] a[0] relationship[0] with[0] his[0] british[0] ex[0] girlfriend[0] veronica[0] while[0] helping[0] to[0] rear[0] a[0] new[0] up[0] and[0] comer[0] from[0] swat[0] who's[0] an[0] expert[0] sniper[0] and[0] marksman[0] michael[0] rappaport[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite the obligatory cop movie scenes ( does every cop/new partner movie have to start the same way ? ) 	despite the obligatory cop movie scenes ( does every cop/new partner movie have to start the same way ?<br> )	1	-1	 despite[0] the[0] obligatory[0] cop[0] movie[0] scenes[0] does[0] every[0] cop/new[0] partner[0] movie[0] have[0] to[0] start[0] the[0] same[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where the sgt . 	where the sgt .	1	-1	 where[0] the[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
assigns roper a partner , roper confronts the sarge , etc . , this film is still one heck of an explosive ride . 	assigns roper a partner , roper confronts the sarge , etc .<br> , this film is still one heck of an explosive ride .	1	-3	 assigns[0] roper[0] a[0] partner[0] roper[0] confronts[-2] the[0] sarge[0] etc[0] [[Sentence=-3,1=word max, 1-5]] this[0] film[0] is[0] still[0] one[0] heck[0] of[0] an[0] explosive[-1] ride[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
a scene involving a cable car has to be seen to be believed , and boasts some amazing car stunts . 	a scene involving a cable car has to be seen to be believed , and boasts some amazing car stunts .	2	-2	 a[0] scene[0] involving[0] a[0] cable[0] car[0] has[0] to[0] be[0] seen[0] to[0] be[0] believed[0] and[0] boasts[-1] some[0] amazing[2][-1 LastWordBoosterStrength] car[0] stunts[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eddie murphy shines in this tailor-made role , and for once , his character shows depth and concern . 	eddie murphy shines in this tailor-made role , and for once , his character shows depth and concern .	1	-2	 eddie[0] murphy[0] shines[0] in[0] this[0] tailor[0] made[0] role[0] and[0] for[0] once[0] his[0] character[0] shows[0] depth[0] and[0] concern[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when confronting joe in prison , you can feel the anger drip from every word . 	when confronting joe in prison , you can feel the anger drip from every word .	1	-4	 when[0] confronting[-2] joe[0] in[0] prison[-1] you[0] can[0] feel[0] the[0] anger[-3] drip[0] from[0] every[0] word[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
michael rappaport is basically throwaway . 	michael rappaport is basically throwaway .	1	-1	 michael[0] rappaport[0] is[0] basically[0] throwaway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he serves no purpose , except to be buddy to murphy and get disabled in the final reel so that eddie can save the day . 	he serves no purpose , except to be buddy to murphy and get disabled in the final reel so that eddie can save the day .	2	-2	 he[0] serves[0] no[0] purpose[0] except[0] to[0] be[0] buddy[0] to[0] murphy[0] and[0] get[0] disabled[-1] in[0] the[0] final[0] reel[0] so[0] that[0] eddie[0] can[0] save[1] the[0] day[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
typical action escapist fare . 	typical action escapist fare .	1	-1	 typical[0] action[0] escapist[0] fare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
