it is often said by his fans that hal hartley movies are an acquired taste . 	Translation	Positive	Negative	EmotionRationale
indeed . 	indeed .	1	-1	 indeed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while perhaps less dangerous than tequila shooters or bungee-jumping , they require no less amount of physical stamina and concentration . 	while perhaps less dangerous than tequila shooters or bungee-jumping , they require no less amount of physical stamina and concentration .	1	-2	 while[0] perhaps[0] less[0] dangerous[-1] than[0] tequila[0] shooters[-1] or[0] bungee[0] jumping[0] they[0] require[0] no[0] less[0] amount[0] of[0] physical[0] stamina[0] and[0] concentration[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i felt rewarded at the end of henry fool ; this movie creeps up on you-at a slow 139 minutes , i mean creeps-and despite the final shot's ambiguity , i left completely satisfied . 	i felt rewarded at the end of henry fool ; this movie creeps up on you-at a slow 139 minutes , i mean creeps-and despite the final shot's ambiguity , i left completely satisfied .	3	-2	 i[0] felt[0] rewarded[1] at[0] the[0] end[0] of[0] henry[0] fool[-1] this[0] movie[0] creeps[0] up[0] on[0] you[0] at[0] a[0] slow[0] 139[0] minutes[0] i[0] mean[0] creeps[0] and[0] despite[0] the[0] final[0] shot's[0] ambiguity[-1] i[0] left[0] completely[0] satisfied[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
henry fool ( " used to have an ? e' " ) arrives at garbageman simon grim's house , claims the vacant basement apartment , and almost instantly inspires simon ( urbaniak ) to take up writing-henry ( martin donovan look-alike ryan ) is an ex-convict , a once-great author who has been " exiled and marginalized " by the publishing community because of his criminal activity . 	henry fool ( " used to have an ?<br> e' " ) arrives at garbageman simon grim's house , claims the vacant basement apartment , and almost instantly inspires simon ( urbaniak ) to take up writing-henry ( martin donovan look-alike ryan ) is an ex-convict , a once-great author who has been " exiled and marginalized " by the publishing community because of his criminal activity .	3	-3	 henry[0] fool[-1] used[0] to[0] have[0] an[0] [[Sentence=-2,1=word max, 1-5]] e'[0] arrives[0] at[0] garbageman[0] simon[0] grim's[-2] house[0] claims[0] the[0] vacant[0] basement[0] apartment[0] and[0] almost[0] instantly[0] inspires[2] simon[0] urbaniak[0] to[0] take[0] up[0] writing[0] henry[0] martin[0] donovan[0] look[0] alike[0] ryan[0] is[0] an[0] ex[0] convict[-1] a[0] once[0] great[2] author[0] who[0] has[0] been[0] exiled[-1] and[0] marginalized[0] by[0] the[0] publishing[0] community[0] because[0] of[0] his[0] criminal[-1] activity[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
simon's poetry turns him into a local sensation , as it causes mute women to sing , high-school girls to swoon , and councilmen to rile against its " pornographic " content . 	simon's poetry turns him into a local sensation , as it causes mute women to sing , high-school girls to swoon , and councilmen to rile against its " pornographic " content .	1	-2	 simon's[0] poetry[0] turns[0] him[0] into[0] a[0] local[0] sensation[0] as[0] it[0] causes[0] mute[0] women[0] to[0] sing[0] high[0] school[0] girls[0] to[0] swoon[0] and[0] councilmen[0] to[0] rile[0] against[-1] its[0] pornographic[0] content[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meanwhile , henry seduces both simon's dependent mother ( porter ) and immature sister ( sundance queen posey ) with philosophical babble ( which is by turns brilliant and inane ) and breathy animal lust . 	meanwhile , henry seduces both simon's dependent mother ( porter ) and immature sister ( sundance queen posey ) with philosophical babble ( which is by turns brilliant and inane ) and breathy animal lust .	2	-2	 meanwhile[0] henry[0] seduces[0] both[0] simon's[0] dependent[-1] mother[0] porter[0] and[0] immature[-1] sister[0] sundance[0] queen[0] posey[0] with[0] philosophical[0] babble[-1] which[0] is[0] by[0] turns[0] brilliant[1] and[0] inane[-1] and[0] breathy[0] animal[0] lust[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these story elements result in climaxes both inevitable and unpredictable ; the teacher-student relationship formed between henry and simon eventually reverses itself . 	these story elements result in climaxes both inevitable and unpredictable ; the teacher-student relationship formed between henry and simon eventually reverses itself .	1	-1	 these[0] story[0] elements[0] result[0] in[0] climaxes[0] both[0] inevitable[0] and[0] unpredictable[0] the[0] teacher[0] student[0] relationship[0] formed[0] between[0] henry[0] and[0] simon[0] eventually[0] reverses[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
henry fool is sprinkled with hartley-ian flourishes : simon drinks milk from " udderley's " ; the big teen hang-out is called " world of donuts " ; simon wears his garbageman's uniform throughout ; the editing style is decidedly elliptical . . . 	henry fool is sprinkled with hartley-ian flourishes : simon drinks milk from " udderley's " ; the big teen hang-out is called " world of donuts " ; simon wears his garbageman's uniform throughout ; the editing style is decidedly elliptical .<br> .<br> .	1	-2	 henry[0] fool[-1] is[0] sprinkled[0] with[0] hartley[0] ian[0] flourishes[0] simon[0] drinks[0] milk[0] from[0] udderley's[0] the[0] big[0] teen[0] hang[-1] out[0] is[0] called[0] world[0] of[0] donuts[0] simon[0] wears[0] his[0] garbageman's[0] uniform[0] throughout[0] the[0] editing[0] style[0] is[0] decidedly[0] elliptical[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( which is key to the conclusion's said ambiguity ) . 	 ( which is key to the conclusion's said ambiguity ) .	1	-2	 which[0] is[0] key[0] to[0] the[0] conclusion's[0] said[0] ambiguity[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the performances by the three leads are abrasive at first , self-consciously " quirky " ; the introductory scenes are a chore . 	the performances by the three leads are abrasive at first , self-consciously " quirky " ; the introductory scenes are a chore .	1	-3	 the[0] performances[0] by[0] the[0] three[0] leads[0] are[0] abrasive[-1] at[0] first[0] self[0] consciously[0] quirky[0] the[0] introductory[0] scenes[0] are[0] a[0] chore[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
