before you read my review , you gotta know that i love woody allen . 	Translation	Positive	Negative	EmotionRationale
this is a very important note because allen's films are generally an acquired taste and definitely not for everyone . 	this is a very important note because allen's films are generally an acquired taste and definitely not for everyone .	1	-1	 this[0] is[0] a[0] very[0] important[0] note[0] because[0] allen's[0] films[0] are[0] generally[0] an[0] acquired[0] taste[0] and[0] definitely[0] not[0] for[0] everyone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know folks who believe him to be a complete genius , while others see him as a dirty ol' schnook who keeps making the same movie over and over again . 	i know folks who believe him to be a complete genius , while others see him as a dirty ol' schnook who keeps making the same movie over and over again .	1	-2	 i[0] know[0] folks[0] who[0] believe[0] him[0] to[0] be[0] a[0] complete[0] genius[0] while[0] others[0] see[0] him[0] as[0] a[0] dirty[-1] ol'[0] schnook[0] who[0] keeps[0] making[0] the[0] same[0] movie[0] over[0] and[0] over[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i love most of his films , but will admit to having been quite disappointed by his recent crop during the 90s . 	i love most of his films , but will admit to having been quite disappointed by his recent crop during the 90s .	3	-2	 i[0] love[2] most[0] of[0] his[0] films[0] but[0] will[0] admit[0] to[0] having[0] been[0] quite[0] disappointed[-1] by[0] his[0] recent[0] crop[0] during[0] the[0] 90s[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in fact , why he felt the need to make 10 movies in those 10 years is beyond me ! 	in fact , why he felt the need to make 10 movies in those 10 years is beyond me !	1	-1	 in[0] fact[0] why[0] he[0] felt[0] the[0] need[0] to[0] make[0] 10[0] movies[0] in[0] those[0] 10[0] years[0] is[0] beyond[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you look at the quality of those films , you'll hear what i'm saying . 	if you look at the quality of those films , you'll hear what i'm saying .	1	-1	 if[0] you[0] look[0] at[0] the[0] quality[0] of[0] those[0] films[0] you'll[0] hear[0] what[0] i'm[0] saying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only two films of his that i really liked during that time were bullets over broadway and husbands and wives . 	the only two films of his that i really liked during that time were bullets over broadway and husbands and wives .	4	-2	 the[0] only[0] two[0] films[0] of[0] his[0] that[0] i[0] really[0] liked[2][1 LastWordBoosterStrength] during[0] that[0] time[0] were[0] bullets[-1] over[0] broadway[0] and[0] husbands[0] and[0] wives[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in fact , i secretly hoped that he would take some " time off " at the turn of the millennium , just to re-energize or something , but it doesn't appear as though he has any intention of doing that . 	in fact , i secretly hoped that he would take some " time off " at the turn of the millennium , just to re-energize or something , but it doesn't appear as though he has any intention of doing that .	2	-1	 in[0] fact[0] i[0] secretly[0] hoped[1] that[0] he[0] would[0] take[0] some[0] time[0] off[0] at[0] the[0] turn[0] of[0] the[0] millennium[0] just[0] to[0] re[0] energize[0] or[0] something[0] but[0] it[0] doesn't[0] appear[0] as[0] though[0] he[0] has[0] any[0] intention[0] of[0] doing[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so here i am again , reviewing yet another woody allen movie and hoping that it brings back the woody from the days of old . 	so here i am again , reviewing yet another woody allen movie and hoping that it brings back the woody from the days of old .	2	-1	 so[0] here[0] i[0] am[0] again[0] reviewing[0] yet[0] another[0] woody[0] allen[0] movie[0] and[0] hoping[1] that[0] it[0] brings[0] back[0] the[0] woody[0] from[0] the[0] days[0] of[0] old[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
plot : the year is 1940 and woody allen is a top-notch insurance investigator . 	plot : the year is 1940 and woody allen is a top-notch insurance investigator .	1	-1	 plot[0] the[0] year[0] is[0] 1940[0] and[0] woody[0] allen[0] is[0] a[0] top[0] notch[0] insurance[0] investigator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his methods are very old-fashioned and apparently out of date . 	his methods are very old-fashioned and apparently out of date .	1	-1	 his[0] methods[0] are[0] very[0] old[0] fashioned[0] and[0] apparently[0] out[0] of[0] date[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a new employee ( hunt ) has just been hired to streamline the operations for greater efficiency . 	a new employee ( hunt ) has just been hired to streamline the operations for greater efficiency .	3	-1	 a[0] new[0] employee[0] hunt[0] has[0] just[0] been[0] hired[0] to[0] streamline[0] the[0] operations[0] for[0] greater[2] efficiency[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the two do not like each other . 	the two do not like each other .	1	-2	 the[0] two[0] do[0] not[0] like[1][NegatedDueToPreviousWord] each[0] other[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one night , they are both put under a hypnotic trance by a magician , and unbeknownst to them , placed under his control . 	one night , they are both put under a hypnotic trance by a magician , and unbeknownst to them , placed under his control .	1	-1	 one[0] night[0] they[0] are[0] both[0] put[0] under[0] a[0] hypnotic[0] trance[0] by[0] a[0] magician[0] and[0] unbeknownst[0] to[0] them[0] placed[0] under[0] his[0] control[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
