in 1987 the stock market crashed , and oliver stone's wall street was released to critical acclaim and packed movie houses . 	Translation	Positive	Negative	EmotionRationale
wall street lucked out in its timing ; the recent crash gave the film a resonation it might not of had , and though its kill-or-be-killed approach to business was exaggerated , that very ideology was keyed into the mind set of the quintessential reagan-era businessman . 	wall street lucked out in its timing ; the recent crash gave the film a resonation it might not of had , and though its kill-or-be-killed approach to business was exaggerated , that very ideology was keyed into the mind set of the quintessential reagan-era businessman .	3	-4	 wall[0] street[0] lucked[2] out[0] in[0] its[0] timing[0] the[0] recent[0] crash[0] gave[0] the[0] film[0] a[0] resonation[0] it[0] might[0] not[0] of[0] had[0] and[0] though[0] its[0] kill[-1] or[0] be[0] killed[-3] approach[0] to[0] business[0] was[0] exaggerated[-1] that[0] very[0] ideology[0] was[0] keyed[0] into[0] the[0] mind[0] set[0] of[0] the[0] quintessential[0] reagan[0] era[0] businessman[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
stone constructed his film as a mythical good vs . evil tale relayed in the fast-paced milieu of the burgeoning stock exchange . 	stone constructed his film as a mythical good vs .<br> evil tale relayed in the fast-paced milieu of the burgeoning stock exchange .	2	-3	 stone[0] constructed[0] his[0] film[0] as[0] a[0] mythical[0] good[1] vs[0] [[Sentence=-1,2=word max, 1-5]] evil[-2] tale[0] relayed[0] in[0] the[0] fast[0] paced[0] milieu[0] of[0] the[0] burgeoning[0] stock[0] exchange[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
critics and audiences lauded wall street , elevating its status to that of a contemporary classic . 	critics and audiences lauded wall street , elevating its status to that of a contemporary classic .	1	-1	 critics[0] and[0] audiences[0] lauded[0] wall[0] street[0] elevating[0] its[0] status[0] to[0] that[0] of[0] a[0] contemporary[0] classic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm proud to say that i will never be counted as one of them . 	i'm proud to say that i will never be counted as one of them .	2	-1	 i'm[0] proud[1] to[0] say[0] that[0] i[0] will[0] never[0] be[0] counted[0] as[0] one[0] of[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i found wall street to be just as axiomatic and pandering as the majority of stone's output with its thin caricatures , obvious sentiments , and a charisma barren performance by the young charlie sheen . 	i found wall street to be just as axiomatic and pandering as the majority of stone's output with its thin caricatures , obvious sentiments , and a charisma barren performance by the young charlie sheen .	1	-2	 i[0] found[0] wall[0] street[0] to[0] be[0] just[0] as[0] axiomatic[0] and[0] pandering[0] as[0] the[0] majority[0] of[0] stone's[0] output[0] with[0] its[0] thin[0] caricatures[0] obvious[0] sentiments[0] and[0] a[0] charisma[0] barren[-1] performance[0] by[0] the[0] young[0] charlie[0] sheen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stone goes for broke in every scene ( the same could be said for nearly all of his works ) . 	stone goes for broke in every scene ( the same could be said for nearly all of his works ) .	1	-2	 stone[0] goes[0] for[0] broke[-1] in[0] every[0] scene[0] the[0] same[0] could[0] be[0] said[0] for[0] nearly[0] all[0] of[0] his[0] works[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this approach tends to bury his purported message beneath a heap of good intentions . 	this approach tends to bury his purported message beneath a heap of good intentions .	2	-3	 this[0] approach[0] tends[0] to[0] bury[-2] his[0] purported[0] message[0] beneath[0] a[0] heap[0] of[0] good[1] intentions[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he directs stock exchange scenes in typical hyperbolic mode with people shouting into phones as if they were in a plummeting airplane . 	he directs stock exchange scenes in typical hyperbolic mode with people shouting into phones as if they were in a plummeting airplane .	1	-1	 he[0] directs[0] stock[0] exchange[0] scenes[0] in[0] typical[0] hyperbolic[0] mode[0] with[0] people[0] shouting[0] into[0] phones[0] as[0] if[0] they[0] were[0] in[0] a[0] plummeting[0] airplane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's all an excuse for stone to ratchet up the emotion with false intensity , rather than explore what these situations are really like . 	it's all an excuse for stone to ratchet up the emotion with false intensity , rather than explore what these situations are really like .	3	-1	 it's[0] all[0] an[0] excuse[0] for[0] stone[0] to[0] ratchet[0] up[0] the[0] emotion[0] with[0] false[0] intensity[0] rather[0] than[0] explore[0] what[0] these[0] situations[0] are[0] really[0] like[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i have a feeling the brokers would be psychologically manipulative ( as they are presented in boiler room ) rather than laughably over the top . 	i have a feeling the brokers would be psychologically manipulative ( as they are presented in boiler room ) rather than laughably over the top .	2	-2	 i[0] have[0] a[0] feeling[0] the[0] brokers[-1] would[0] be[0] psychologically[0] manipulative[-1] as[0] they[0] are[0] presented[0] in[0] boiler[0] room[0] rather[0] than[0] laughably[1] over[0] the[0] top[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
