plot : derek zoolander is a male model . 	Translation	Positive	Negative	EmotionRationale
he is also very dumb and impressionable . 	he is also very dumb and impressionable .	1	-3	 he[0] is[0] also[0] very[0] dumb[-1][-1 LastWordBoosterStrength] and[0] impressionable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for that reason , he is secretly hired and trained ( so secret , that even he doesn't know about it ) by an underground fashion syndicate to assassinate the prime minister of malaysia , who wants to abolish child labor in his country . 	for that reason , he is secretly hired and trained ( so secret , that even he doesn't know about it ) by an underground fashion syndicate to assassinate the prime minister of malaysia , who wants to abolish child labor in his country .	1	-3	 for[0] that[0] reason[0] he[0] is[0] secretly[0] hired[0] and[0] trained[0] so[0] secret[0] that[0] even[0] he[0] doesn't[0] know[0] about[0] it[0] by[0] an[0] underground[0] fashion[0] syndicate[0] to[0] assassinate[-2] the[0] prime[0] minister[0] of[0] malaysia[0] who[0] wants[0] to[0] abolish[-1] child[0] labor[0] in[0] his[0] country[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
will zoolander fulfill the dirty deed ? 	will zoolander fulfil the dirty deed ?	1	-2	 will[0] zoolander[0] fulfill/fulfil[0] the[0] dirty[-1] deed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
will zoolander ever grace the world his new " look " ? 	will zoolander ever grace the world his new " look " ?	3	-1	 will[0] zoolander[0] ever[0] grace[2] the[0] world[0] his[0] new[0] look[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
is this a funny movie ? 	is this a funny movie ?	2	-1	 is[0] this[0] a[0] funny[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
find out below . . . 	find out below .<br> .<br> .	1	-1	 find[0] out[0] below[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : there's a place in our world for " stupid comedies " . 	critique : there's a place in our world for " stupid comedies " .	1	-2	 critique[0] there's[0] a[0] place[0] in[0] our[0] world[0] for[0] stupid[-1] comedies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
films which don't pretend to take themselves seriously , are based on idiotic premises and filled with dumb jokes . 	films which don't pretend to take themselves seriously , are based on idiotic premises and filled with dumb jokes .	2	-3	 films[0] which[0] don't[0] pretend[-1][NegatedDueToPreviousWord] to[0] take[0] themselves[0] seriously[0] are[0] based[0] on[0] idiotic[-2] premises[0] and[0] filled[0] with[0] dumb[-1] jokes[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there's also a time for them and many would argue that this difficult period of our history , might be an ideal circumstance during which to " relax " by watching something so completely frivolous . 	there's also a time for them and many would argue that this difficult period of our history , might be an ideal circumstance during which to " relax " by watching something so completely frivolous .	3	-3	 there's[0] also[0] a[0] time[0] for[0] them[0] and[0] many[0] would[0] argue[-1][--1 LastWordBoosterStrength] that[0] this[0] difficult[-1] period[0] of[0] our[0] history[0] might[0] be[0] an[0] ideal[0] circumstance[0] during[0] which[0] to[0] relax[2] by[0] watching[0] something[0] so[0] completely[0] frivolous[-1][-1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
well , if you're in the mood for some seriously mindless entertainment , ben stiller and his cast of many have assembled one of the more original dumb comedies in some time . 	well , if you're in the mood for some seriously mindless entertainment , ben stiller and his cast of many have assembled one of the more original dumb comedies in some time .	1	-2	 well[0] if[0] you're[0] in[0] the[0] mood[0] for[0] some[0] seriously[0] mindless[0] entertainment[0] ben[0] stiller[0] and[0] his[0] cast[0] of[0] many[0] have[0] assembled[0] one[0] of[0] the[0] more[0] original[0] dumb[-1] comedies[0] in[0] some[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , comedies as such are usually very subjective and i could see how some will see this film simply as stupid and unfunny , while others will grant them the " stupid " , but consider it funny instead . 	of course , comedies as such are usually very subjective and i could see how some will see this film simply as stupid and unfunny , while others will grant them the " stupid " , but consider it funny instead .	2	-2	 of[0] course[0] comedies[0] as[0] such[0] are[0] usually[0] very[0] subjective[0] and[0] i[0] could[0] see[0] how[0] some[0] will[0] see[0] this[0] film[0] simply[0] as[0] stupid[-1] and[0] unfunny[0] while[0] others[0] will[0] grant[0] them[0] the[0] stupid[-1] but[0] consider[0] it[0] funny[1] instead[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
