assume nothing . 	Translation	Positive	Negative	EmotionRationale
the phrase is perhaps one of the most used of the 1990's , as first impressions and rumors are hardly ever what they seem to be . 	the phrase is perhaps one of the most used of the 1990's , as first impressions and rumors are hardly ever what they seem to be .	1	-1	 the[0] phrase[0] is[0] perhaps[0] one[0] of[0] the[0] most[0] used[0] of[0] the[0] 1990's[0] as[0] first[0] impressions[0] and[0] rumors[0] are[0] hardly[0] ever[0] what[0] they[0] seem[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the phrase especially goes for oscar novak , an architect who is the main focus of three to tango , a delightful , funny romantic comedy about assumptions and being yourself . 	the phrase especially goes for oscar novak , an architect who is the main focus of three to tango , a delightful , funny romantic comedy about assumptions and being yourself .	4	-1	 the[0] phrase[0] especially[0] goes[0] for[0] oscar[0] novak[0] an[0] architect[0] who[0] is[0] the[0] main[0] focus[0] of[0] three[0] to[0] tango[0] a[0] delightful[2] funny[1] romantic[3] comedy[0] about[0] assumptions[0] and[0] being[0] yourself[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
novak ( matthew perry ) , a shy , clumsy , chicago based architect , along with openly gay partner , peter steinberg ( oliver platt ) , fights for projects day in and day out . 	novak ( matthew perry ) , a shy , clumsy , chicago based architect , along with openly gay partner , peter steinberg ( oliver platt ) , fights for projects day in and day out .	1	-3	 novak[0] matthew[0] perry[0] a[0] shy[-2] clumsy[-1] chicago[0] based[0] architect[0] along[0] with[0] openly[0] gay[-1] partner[0] peter[0] steinberg[0] oliver[0] platt[0] fights[-2] for[0] projects[0] day[0] in[0] and[0] day[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one of these is the job of restoring a popular building for charles newman ( dylan mcdermott ) , a rich , well-known businessman . 	one of these is the job of restoring a popular building for charles newman ( dylan mcdermott ) , a rich , well-known businessman .	1	-1	 one[0] of[0] these[0] is[0] the[0] job[0] of[0] restoring[0] a[0] popular[0] building[0] for[0] charles[0] newman[0] dylan[0] mcdermott[0] a[0] rich[0] well[0] known[0] businessman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
charles immediately takes a liking to oscar , as he enjoys his personality and sense of humor . 	charles immediately takes a liking to oscar , as he enjoys his personality and sense of humor .	3	-1	 charles[0] immediately[0] takes[0] a[0] liking[2] to[0] oscar[0] as[0] he[0] enjoys[2] his[0] personality[0] and[0] sense[0] of[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
seeing oscar as someone he could trust , charles asks him to watch his girlfriend , an unpredictable , adventurous girl named amy post ( neve campbell ) , who makes a living by blowing glass . 	seeing oscar as someone he could trust , charles asks him to watch his girlfriend , an unpredictable , adventurous girl named amy post ( neve campbell ) , who makes a living by blowing glass .	1	-1	 seeing[0] oscar[0] as[0] someone[0] he[0] could[0] trust[1][-1 LastWordBoosterStrength] charles[0] asks[0] him[0] to[0] watch[0] his[0] girlfriend[0] an[0] unpredictable[0] adventurous[0] girl[0] named[0] amy[0] post[0] neve[0] campbell[0] who[0] makes[0] a[0] living[0] by[0] blowing[0] glass[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
charles wants to know who she talks to , what she does , and where she goes . 	charles wants to know who she talks to , what she does , and where she goes .	1	-1	 charles[0] wants[0] to[0] know[0] who[0] she[0] talks[0] to[0] what[0] she[0] does[0] and[0] where[0] she[0] goes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the point ? 	the point ?	1	-1	 the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to make sure she's not seeing someone else , of course . 	to make sure she's not seeing someone else , of course .	1	-1	 to[0] make[0] sure[0] she's[0] not[0] seeing[0] someone[0] else[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oscar gladly takes the job , and meets amy at an art show of hers , and sparks fly between the two from the get go . 	oscar gladly takes the job , and meets amy at an art show of hers , and sparks fly between the two from the get go .	2	-1	 oscar[0] gladly[1] takes[0] the[0] job[0] and[0] meets[0] amy[0] at[0] an[0] art[0] show[0] of[0] hers[0] and[0] sparks[0] fly[0] between[0] the[0] two[0] from[0] the[0] get[0] go[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
