alchemy is steeped in shades of blue . 	Translation	Positive	Negative	EmotionRationale
kieslowski's blue , that is . 	kieslowski's blue , that is .	1	-1	 kieslowski's[0] blue[0] that[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with its examination of death , isolation , character restoration , and recovery from loss , suzanne myers' new independent film echoes the polish director's internationally-acclaimed 1993 release . 	with its examination of death , isolation , character restoration , and recovery from loss , suzanne myers' new independent film echoes the polish director's internationally-acclaimed 1993 release .	1	-3	 with[0] its[0] examination[0] of[0] death[-2] isolation[-1] character[0] restoration[0] and[0] recovery[0] from[0] loss[-2] suzanne[0] myers'[0] new[0] independent[0] film[0] echoes[0] the[0] polish[0] director's[0] internationally[0] acclaimed[0] 1993[0] release[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
language aside , the principal difference between the films is that , while kieslowski took great pains to draw us into the main character's world , alchemy keeps its viewers at arm's length . 	language aside , the principal difference between the films is that , while kieslowski took great pains to draw us into the main character's world , alchemy keeps its viewers at arm's length .	3	-4	 language[0] aside[0] the[0] principal[0] difference[0] between[0] the[0] films[0] is[0] that[0] while[0] kieslowski[0] took[0] great[2] pains[-3] to[0] draw[0] us[0] into[0] the[0] main[0] character's[0] world[0] alchemy[0] keeps[0] its[0] viewers[0] at[0] arm's[0] length[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as a result , while we're able to appreciate the film's intellectual tapestry , it is emotionally distant . 	as a result , while we're able to appreciate the film's intellectual tapestry , it is emotionally distant .	2	-1	 as[0] a[0] result[0] while[0] we're[0] able[0] to[0] appreciate[1] the[0] film's[0] intellectual[0] tapestry[0] it[0] is[0] emotionally[0] distant[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
alchemy is divided into three chapters : " charity " , " faith " , and " hope " . 	alchemy is divided into three chapters : " charity " , " faith " , and " hope " .	3	-1	 alchemy[0] is[0] divided[0] into[0] three[0] chapters[0] charity[0] faith[1] and[0] hope[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while there are common themes and story elements running through all three , the single constant is the main character , a sculptor/russian translator named louisa ( rya kihlstedt ) . 	while there are common themes and story elements running through all three , the single constant is the main character , a sculptor/russian translator named louisa ( rya kihlstedt ) .	1	-1	 while[0] there[0] are[0] common[0] themes[0] and[0] story[0] elements[0] running[0] through[0] all[0] three[0] the[0] single[0] constant[0] is[0] the[0] main[0] character[0] a[0] sculptor/russian[0] translator[0] named[0] louisa[0] rya[0] kihlstedt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the film opens , she's living with her painter boyfriend , whom she believes to be cheating on her . 	when the film opens , she's living with her painter boyfriend , whom she believes to be cheating on her .	1	-3	 when[0] the[0] film[0] opens[0] she's[0] living[0] with[0] her[0] painter[0] boyfriend[0] whom[0] she[0] believes[0] to[0] be[0] cheating[-2] on[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
following his sudden death in an automobile accident , louisa's life is thrown into turmoil . 	following his sudden death in an automobile accident , louisa's life is thrown into turmoil .	1	-3	 following[0] his[0] sudden[0] death[-2] in[0] an[0] automobile[0] accident[-1] louisa's[0] life[0] is[0] thrown[0] into[0] turmoil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
events swirls around her , and she can't find a source of stability . 	events swirls around her , and she can't find a source of stability .	1	-2	 events[0] swirls[0] around[0] her[0] and[0] she[0] can't[0] find[0] a[0] source[-1] of[0] stability[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in her quest to make sense out of her loss , she befriends her late boyfriend's mistress , visits her ill sister , and , eventually , abandons her old life by joining a " back-to- nature " cult . 	in her quest to make sense out of her loss , she befriends her late boyfriend's mistress , visits her ill sister , and , eventually , abandons her old life by joining a " back-to- nature " cult .	1	-3	 in[0] her[0] quest[0] to[0] make[0] sense[0] out[0] of[0] her[0] loss[-2] she[0] befriends[0] her[0] late[0] boyfriend's[0] mistress[0] visits[0] her[0] ill[-1] sister[0] and[0] eventually[0] abandons[-1] her[0] old[0] life[0] by[0] joining[0] a[0] back[0] to[0] nature[0] cult[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
alchemy successfully explores a variety of compelling issues . 	alchemy successfully explores a variety of compelling issues .	3	-1	 alchemy[0] successfully[2] explores[0] a[0] variety[0] of[0] compelling[0] issues[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in addition to asking the basic question of how a person should cope with the unexpected death of a loved one , it probes beneath the surface of concepts like the importance of faith in the healing process , the meaning of love , and the nature of art . 	in addition to asking the basic question of how a person should cope with the unexpected death of a loved one , it probes beneath the surface of concepts like the importance of faith in the healing process , the meaning of love , and the nature of art .	4	-3	 in[0] addition[0] to[0] asking[0] the[0] basic[0] question[0] of[0] how[0] a[0] person[0] should[0] cope[0] with[0] the[0] unexpected[0] death[-2] of[0] a[0] loved[3] one[0] it[0] probes[0] beneath[0] the[0] surface[0] of[0] concepts[0] like[1] the[0] importance[0] of[0] faith[1] in[0] the[0] healing[0] process[0] the[0] meaning[0] of[0] love[2] and[0] the[0] nature[0] of[0] art[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
does personality restoration come through interacting with others or escaping from the familiar ? 	does personality restoration come through interacting with others or escaping from the familiar ?	1	-1	 does[0] personality[0] restoration[0] come[0] through[0] interacting[0] with[0] others[0] or[0] escaping[0] from[0] the[0] familiar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are artistic epiphanies the result of focused solitude or of living life , with all of its various distractions , to the fullest ? 	are artistic epiphanies the result of focused solitude or of living life , with all of its various distractions , to the fullest ?	1	-2	 are[0] artistic[0] epiphanies[0] the[0] result[0] of[0] focused[0] solitude[0] or[0] of[0] living[0] life[0] with[0] all[0] of[0] its[0] various[0] distractions[-1] to[0] the[0] fullest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
myers' challenge is to make these subjects , art film staples , engrossing in a new context . 	myers' challenge is to make these subjects , art film staples , engrossing in a new context .	1	-2	 myers'[0] challenge[-1] is[0] to[0] make[0] these[0] subjects[0] art[0] film[0] staples[0] engrossing[0] in[0] a[0] new[0] context[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
through louisa's struggles , she succeeds . 	through louisa's struggles , she succeeds .	3	-2	 through[0] louisa's[0] struggles[-1] she[0] succeeds[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
while alchemy isn't always emotionally appealing , it never loses its fascination . 	while alchemy isn't always emotionally appealing , it never loses its fascination .	2	-1	 while[0] alchemy[0] isn't[0] always[0] emotionally[0] appealing[0] it[0] never[0] loses[-1][NegatedDueToPreviousWord] its[0] fascination[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even when we're not connecting with louisa , who is often more of a locus for ideas than a fully-developed personality , there's enough material on-screen to hold our attention . 	even when we're not connecting with louisa , who is often more of a locus for ideas than a fully-developed personality , there's enough material on-screen to hold our attention .	1	-1	 even[0] when[0] we're[0] not[0] connecting[0] with[0] louisa[0] who[0] is[0] often[0] more[0] of[0] a[0] locus[0] for[0] ideas[0] than[0] a[0] fully[0] developed[0] personality[0] there's[0] enough[0] material[0] on[0] screen[0] to[0] hold[0] our[0] attention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cinematography is stunning . 	the cinematography is stunning .	1	-1	 the[0] cinematography[0] is[0] stunning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
city scenes are tinted with blue , adding a cold , bleak dimension to the film's early portions . 	city scenes are tinted with blue , adding a cold , bleak dimension to the film's early portions .	1	-2	 city[0] scenes[0] are[0] tinted[0] with[0] blue[0] adding[0] a[0] cold[-1] bleak[-1] dimension[0] to[0] the[0] film's[0] early[0] portions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
later , when louisa reaches the " wilderness " , we're treated to a dazzling array of autumnal splendor -- brightly-colored leaves in the trees and on the ground . 	later , when louisa reaches the " wilderness " , we're treated to a dazling array of autumnal splendor - brightly-colored leaves in the trees and on the ground .	3	-1	 later[0] when[0] louisa[0] reaches[0] the[0] wilderness[0] we're[0] treated[0] to[0] a[0] dazzling/dazling[0] array[0] of[0] autumnal[0] splendor[2] brightly[0] colored[0] leaves[0] in[0] the[0] trees[0] and[0] on[0] the[0] ground[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a startling-but-effective visual contrast that emphasizes the changes taking place in louisa's life as she travels the road back to emotional stability . 	it's a startling-but-effective visual contrast that emphasizes the changes taking place in louisa's life as she travels the road back to emotional stability .	1	-2	 it's[0] a[0] startling[-1] but[0] effective[0] visual[0] contrast[0] that[0] emphasizes[0] the[0] changes[0] taking[0] place[0] in[0] louisa's[0] life[0] as[0] she[0] travels[0] the[0] road[0] back[0] to[0] emotional[-1] stability[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the title refers to the practice of a group of mystical faith- healers who use " alchemy " to provide for the needs of the body and soul . 	the title refers to the practice of a group of mystical faith- healers who use " alchemy " to provide for the needs of the body and soul .	2	-1	 the[0] title[0] refers[0] to[0] the[0] practice[0] of[0] a[0] group[0] of[0] mystical[0] faith[1] healers[0] who[0] use[0] alchemy[0] to[0] provide[0] for[0] the[0] needs[0] of[0] the[0] body[0] and[0] soul[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and , although louisa partakes of their peculiar brand of medicine , it's ultimately love and companionship , not alchemy , that brings solace . 	and , although louisa partakes of their peculiar brand of medicine , it's ultimately love and companionship , not alchemy , that brings solace .	3	-1	 and[0] although[0] louisa[0] partakes[0] of[0] their[0] peculiar[0] brand[0] of[0] medicine[0] it's[0] ultimately[0] love[2] and[0] companionship[0] not[0] alchemy[0] that[0] brings[0] solace[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
