i suppose an argument could be made that toy story is one of those films that didn't need a sequel . 	Translation	Positive	Negative	EmotionRationale
beloved by kids and their parents , respected equally by mainstream america and geekish movie buffs , that first movie remains a landmark of recent history , the one that burst open the possibilities of computer animation and demonstrated through wild invention and giddy chutzpah just how complacent the disney animation machine had become in cranking out fluffy razzle-dazzle entertainment full of formula storytelling and banal songwriting . 	beloved by kids and their parents , respected equally by mainstream america and geekish movie buffs , that first movie remains a landmark of recent history , the one that burst open the possibilities of computer animation and demonstrated through wild invention and giddy chutzpah just how complacent the disney animation machine had become in cranking out fluffy razle-dazle entertainment full of formula storytelling and banal songwriting .	3	-2	 beloved[2] by[0] kids[0] and[0] their[0] parents[0] respected[2] equally[0] by[0] mainstream[0] america[0] and[0] geekish[0] movie[0] buffs[0] that[0] first[0] movie[0] remains[0] a[0] landmark[0] of[0] recent[0] history[0] the[0] one[0] that[0] burst[0] open[0] the[0] possibilities[0] of[0] computer[0] animation[0] and[0] demonstrated[0] through[0] wild[0] invention[0] and[0] giddy[0] chutzpah[0] just[0] how[0] complacent[0] the[0] disney[0] animation[0] machine[0] had[0] become[0] in[0] cranking[0] out[0] fluffy[0] razzle/razle[0] dazzle/dazle[0] entertainment[0] full[0] of[0] formula[0] storytelling[0] and[0] banal[-1] songwriting[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if disney was embarrassed at being beaten at its own game ( toy story was a smash hit of unexpected proportions , and one that caught the merchandising end of the business unaware as demand for action figures far outstripped supply ) , it didn't show , and as distributor and part-owner of the property , at least it had a piece of the action . 	if disney was embarrassed at being beaten at its own game ( toy story was a smash hit of unexpected proportions , and one that caught the merchandising end of the business unaware as demand for action figures far outstripped supply ) , it didn't show , and as distributor and part-owner of the property , at least it had a piece of the action .	1	-3	 if[0] disney[0] was[0] embarrassed[-2] at[0] being[0] beaten[0] at[0] its[0] own[0] game[0] toy[0] story[0] was[0] a[0] smash[-1] hit[0] of[0] unexpected[0] proportions[0] and[0] one[0] that[0] caught[0] the[0] merchandising[0] end[0] of[0] the[0] business[0] unaware[0] as[0] demand[0] for[0] action[0] figures[0] far[0] outstripped[0] supply[0] it[0] didn't[0] show[0] and[0] as[0] distributor[0] and[0] part[0] owner[0] of[0] the[0] property[0] at[0] least[0] it[0] had[0] a[0] piece[0] of[0] the[0] action[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
toy story 2 was greenlighted as a direct-to-video project , disney's standard tactic for milking a few more bucks out of hot franchises without expending the effort of developing a proper feature film . 	toy story 2 was greenlighted as a direct-to-video project , disney's standard tactic for milking a few more bucks out of hot franchises without expending the effort of developing a proper feature film .	1	-1	 toy[0] story[0] 2[0] was[0] greenlighted[0] as[0] a[0] direct[0] to[0] video[0] project[0] disney's[0] standard[0] tactic[0] for[0] milking[0] a[0] few[0] more[0] bucks[0] out[0] of[0] hot[0] franchises[0] without[0] expending[0] the[0] effort[0] of[0] developing[0] a[0] proper[0] feature[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as someone who doesn't believe sequels are necessarily a bad thing ( granted , they usually are a bad thing , but that's because they're made for the wrong reasons ) , i had to wonder what in the world they were thinking . 	as someone who doesn't believe sequels are necessarily a bad thing ( granted , they usually are a bad thing , but that's because they're made for the wrong reasons ) , i had to wonder what in the world they were thinking .	1	-2	 as[0] someone[0] who[0] doesn't[0] believe[0] sequels[0] are[0] necessarily[0] a[0] bad[-1] thing[0] granted[0] they[0] usually[0] are[0] a[0] bad[-1] thing[0] but[0] that's[0] because[0] they're[0] made[0] for[0] the[0] wrong[-1] reasons[0] i[0] had[0] to[0] wonder[0] what[0] in[0] the[0] world[0] they[0] were[0] thinking[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fortunately , disney claimed to have been so knocked-out by early animation tests that they let pixar go full-speed ahead with a theatrical sequel . 	fortunately , disney claimed to have been so knocked-out by early animation tests that they let pixar go full-speed ahead with a theatrical sequel .	1	-1	 fortunately[0] disney[0] claimed[0] to[0] have[0] been[0] so[0] knocked[0] out[0] by[0] early[0] animation[0] tests[0] that[0] they[0] let[0] pixar[0] go[0] full[0] speed[0] ahead[0] with[0] a[0] theatrical[0] sequel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lucky thing , too -- like the first movie , this one is a joy to behold on the big screen , and technically , it improves on its predecessor on just about every level . 	lucky thing , too - like the first movie , this one is a joy to behold on the big screen , and technically , it improves on its predecessor on just about every level .	3	-1	 lucky[1] thing[0] too[0] like[1] the[0] first[0] movie[0] this[0] one[0] is[0] a[0] joy[2] to[0] behold[0] on[0] the[0] big[0] screen[0] and[0] technically[0] it[0] improves[1] on[0] its[0] predecessor[0] on[0] just[0] about[0] every[0] level[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( from a business standpoint , the end credits show that the new creations are copyrighted by pixar , while the previous film's elements are shared between pixar and disney , a sign of the production house's new cachet in hollywood . ) 	 ( from a business standpoint , the end credits show that the new creations are copyrighted by pixar , while the previous film's elements are shared between pixar and disney , a sign of the production house's new cachet in hollywood .<br> )	1	-1	 from[0] a[0] business[0] standpoint[0] the[0] end[0] credits[0] show[0] that[0] the[0] new[0] creations[0] are[0] copyrighted[0] by[0] pixar[0] while[0] the[0] previous[0] film's[0] elements[0] are[0] shared[0] between[0] pixar[0] and[0] disney[0] a[0] sign[0] of[0] the[0] production[0] house's[0] new[0] cachet[0] in[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
visually , the main shortcoming of this fully computer-generated movie is that human figures are still rendered relatively poorly , making them look a little creepy . 	visually , the main shortcoming of this fully computer-generated movie is that human figures are still rendered relatively poorly , making them look a little creepy .	1	-2	 visually[0] the[0] main[0] shortcoming[-1] of[0] this[0] fully[0] computer[0] generated[0] movie[0] is[0] that[0] human[0] figures[0] are[0] still[0] rendered[0] relatively[0] poorly[-1] making[0] them[0] look[0] a[0] little[0] creepy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fortunately , that eerie unreality fits in perfectly with the perspective of the movie , where the secret world of toys is more immediate , and arguably more attractive , than the world of the humans who surround them . 	fortunately , that eerie unreality fits in perfectly with the perspective of the movie , where the secret world of toys is more immediate , and arguably more attractive , than the world of the humans who surround them .	2	-2	 fortunately[0] that[0] eerie[0] unreality[0] fits[0] in[0] perfectly[1] with[0] the[0] perspective[0] of[0] the[0] movie[0] where[0] the[0] secret[0] world[0] of[0] toys[0] is[0] more[0] immediate[0] and[0] arguably[-1] more[0] attractive[1] than[0] the[0] world[0] of[0] the[0] humans[0] who[0] surround[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as before , the story is predicated on the premise that the toys scattered around the bedroom of a little boy named andy -- and , indeed , all the toys scattered around the bedrooms of all little children -- come to life in the child's absence . 	as before , the story is predicated on the premise that the toys scattered around the bedroom of a little boy named andy - and , indeed , all the toys scattered around the bedrooms of all little children - come to life in the child's absence .	1	-2	 as[0] before[0] the[0] story[0] is[0] predicated[0] on[0] the[0] premise[0] that[0] the[0] toys[0] scattered[0] around[0] the[0] bedroom[0] of[0] a[0] little[0] boy[0] named[0] andy[0] and[0] indeed[0] all[0] the[0] toys[0] scattered[0] around[0] the[0] bedrooms[0] of[0] all[0] little[0] children[0] come[0] to[0] life[0] in[0] the[0] child's[0] absence[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while the toys scamper about and chatter endlessly among themselves , the real joy of a toy's life is to mean something to its owner . 	while the toys scamper about and chatter endlessly among themselves , the real joy of a toy's life is to mean something to its owner .	3	-1	 while[0] the[0] toys[0] scamper[0] about[0] and[0] chatter[0] endlessly[0] among[0] themselves[0] the[0] real[0] joy[2] of[0] a[0] toy's[0] life[0] is[0] to[0] mean[0] something[0] to[0] its[0] owner[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of the subjects of this new film is the sadness of toys that have been broken or abandoned , left on a shelf to gather dust , and another is the sort of emotional limbo inhabited by toys that are mere prizes of covetous collectors . 	one of the subjects of this new film is the sadness of toys that have been broken or abandoned , left on a shelf to gather dust , and another is the sort of emotional limbo inhabited by toys that are mere prizes of covetous collectors .	3	-4	 one[0] of[0] the[0] subjects[0] of[0] this[0] new[0] film[0] is[0] the[0] sadness[-3] of[0] toys[0] that[0] have[0] been[0] broken[-1] or[0] abandoned[-1] left[0] on[0] a[0] shelf[0] to[0] gather[0] dust[0] and[0] another[0] is[0] the[0] sort[0] of[0] emotional[-1] limbo[0] inhabited[0] by[0] toys[0] that[0] are[0] mere[0] prizes[2] of[0] covetous[-1] collectors[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
