call 911 for the cliche police if you must , but the eyes are the window to the soul . 	Translation	Positive	Negative	EmotionRationale
the finest actors working in films are those who can command the screen with a gaze : paul newman , ralph fiennes , anthony hopkins , morgan freeman . 	the finest actors working in films are those who can command the screen with a gaze : paul newman , ralph fiennes , anthony hopkins , morgan freeman .	1	-1	 the[0] finest[0] actors[0] working[0] in[0] films[0] are[0] those[0] who[0] can[0] command[0] the[0] screen[0] with[0] a[0] gaze[0] paul[0] newman[0] ralph[0] fiennes[0] anthony[0] hopkins[0] morgan[0] freeman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you look at these men on screen and you can tell without them saying a word that there is something going on in their minds , that the characters they play are real human beings . 	you look at these men on screen and you can tell without them saying a word that there is something going on in their minds , that the characters they play are real human beings .	1	-1	 you[0] look[0] at[0] these[0] men[0] on[0] screen[0] and[0] you[0] can[0] tell[0] without[0] them[0] saying[0] a[0] word[0] that[0] there[0] is[0] something[0] going[0] on[0] in[0] their[0] minds[0] that[0] the[0] characters[0] they[0] play[0] are[0] real[0] human[0] beings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we will never have a chance to discover if tupac shakur could have been a great actor , but he had that unique quality in his eyes . 	we will never have a chance to discover if tupac shakur could have been a great actor , but he had that unique quality in his eyes .	3	-1	 we[0] will[0] never[0] have[0] a[0] chance[0] to[0] discover[0] if[0] tupac[0] shakur[0] could[0] have[0] been[0] a[0] great[2] actor[0] but[0] he[0] had[0] that[0] unique[0] quality[0] in[0] his[0] eyes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in gridlock'd , an oddly effective combination of gritty drama and social satire , shakur and his co-star tim roth take sketchy characters and make them exciting to watch through the pure energy of their talent and chemistry . 	in gridlock'd , an oddly effective combination of gritty drama and social satire , shakur and his co-star tim roth take sketchy characters and make them exciting to watch through the pure energy of their talent and chemistry .	3	-2	 in[0] gridlock'd[0] an[0] oddly[0] effective[0] combination[0] of[0] gritty[0] drama[0] and[0] social[0] satire[0] shakur[0] and[0] his[0] co[0] star[0] tim[0] roth[0] take[0] sketchy[-1] characters[0] and[0] make[0] them[0] exciting[2] to[0] watch[0] through[0] the[0] pure[0] energy[0] of[0] their[0] talent[1] and[0] chemistry[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
shakur and roth play ezekiel " spoon " whitmore and alexander " stretch " rome , two detroit buddies who share a spoken word/jazz trio , an apartment and a drug addiction with cookie ( thandie newton ) . 	shakur and roth play ezekiel " spoon " whitmore and alexander " stretch " rome , two detroit buddies who share a spoken word/jaz trio , an apartment and a drug addiction with cookie ( thandie newton ) .	1	-2	 shakur[0] and[0] roth[0] play[0] ezekiel[0] spoon[0] whitmore[0] and[0] alexander[0] stretch[0] rome[0] two[0] detroit[0] buddies[0] who[0] share[0] a[0] spoken[0] word/jazz/word/jaz[0] trio[0] an[0] apartment[0] and[0] a[0] drug[0] addiction[-1] with[0] cookie[0] thandie[0] newton[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when a new year's eve party ends with cookie comatose after a drug overdose , spoon and stretch begin to wonder if they are living on borrowed time . 	when a new year's eve party ends with cookie comatose after a drug overdose , spoon and stretch begin to wonder if they are living on borrowed time .	1	-1	 when[0] a[0] new[0] year's[0] eve[0] party[0] ends[0] with[0] cookie[0] comatose[0] after[0] a[0] drug[0] overdose[0] spoon[0] and[0] stretch[0] begin[0] to[0] wonder[0] if[0] they[0] are[0] living[0] on[0] borrowed[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they soon make a new year's resolution to get into rehab , but that proves to be easier said than done . 	they soon make a new year's resolution to get into rehab , but that proves to be easier said than done .	1	-1	 they[0] soon[0] make[0] a[0] new[0] year's[0] resolution[0] to[0] get[0] into[0] rehab[0] but[0] that[0] proves[0] to[0] be[0] easier[0] said[0] than[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as though the temptation to fix were not hindrance enough , spoon and stretch also find their attempts to get clean hitting a road block of bureaucracy , confusion and red tape . 	as though the temptation to fix were not hindrance enough , spoon and stretch also find their attempts to get clean hitting a road block of bureaucracy , confusion and red tape .	2	-2	 as[0] though[0] the[0] temptation[-1] to[0] fix[0] were[0] not[0] hindrance[-1][NegatedDueToPreviousWord] enough[0] spoon[0] and[0] stretch[0] also[0] find[0] their[0] attempts[0] to[0] get[0] clean[0] hitting[0] a[0] road[0] block[-1] of[0] bureaucracy[0] confusion[-1] and[0] red[0] tape[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the government might be the least of their obstacles , however , as they find themselves suspects in the murder of a drug dealer , and on the run from a nasty thug ( vondie curtis hall ) . 	the government might be the least of their obstacles , however , as they find themselves suspects in the murder of a drug dealer , and on the run from a nasty thug ( vondie curtis hall ) .	1	-4	 the[0] government[0] might[0] be[0] the[0] least[0] of[0] their[0] obstacles[-1] however[0] as[0] they[0] find[0] themselves[0] suspects[0] in[0] the[0] murder[-3] of[0] a[0] drug[0] dealer[0] and[0] on[0] the[0] run[0] from[0] a[0] nasty[-2] thug[0] vondie[0] curtis[0] hall[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in order for you to buy into gridlock'd at all , you have to accept it as a surreal odyssey rather than as urban realism ; unless spoon and stretch sleep through an entire day at the hospital after bringing in cookie , they are going to government offices on new year's day , in which case they should be thankful they get any help at all . 	in order for you to buy into gridlock'd at all , you have to accept it as a surreal odyssey rather than as urban realism ; unless spoon and stretch sleep through an entire day at the hospital after bringing in cookie , they are going to government offices on new year's day , in which case they should be thankful they get any help at all .	2	-1	 in[0] order[0] for[0] you[0] to[0] buy[0] into[0] gridlock'd[0] at[0] all[0] you[0] have[0] to[0] accept[0] it[0] as[0] a[0] surreal[0] odyssey[0] rather[0] than[0] as[0] urban[0] realism[0] unless[0] spoon[0] and[0] stretch[0] sleep[0] through[0] an[0] entire[0] day[0] at[0] the[0] hospital[0] after[0] bringing[0] in[0] cookie[0] they[0] are[0] going[0] to[0] government[0] offices[0] on[0] new[0] year's[0] day[0] in[0] which[0] case[0] they[0] should[0] be[0] thankful[1] they[0] get[0] any[0] help[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gridlock'd may actually be a response to the fatuous social commentary of another urban odyssey , 1991's falling down , which found a besieged middle class white male venting his righteous anger against the system during a trek through inner city los angeles . 	gridlock'd may actually be a response to the fatuous social commentary of another urban odyssey , 1991's falling down , which found a besieged middle class white male venting his righteous anger against the system during a trek through inner city los angeles .	1	-4	 gridlock'd[0] may[0] actually[0] be[0] a[0] response[0] to[0] the[0] fatuous[0] social[0] commentary[0] of[0] another[0] urban[0] odyssey[0] 1991's[0] falling[0] down[0] which[0] found[0] a[0] besieged[-1] middle[0] class[0] white[0] male[0] venting[0] his[0] righteous[0] anger[-3] against[-1] the[0] system[0] during[0] a[0] trek[0] through[0] inner[0] city[0] los[0] angeles[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in falling down , michael douglas' d-fens ( the character's personalized license plate , echoed in gridlock'd by the drug lord d-reper's plates ) whips out a gun because he can't get breakfast at mcdonald's ; in gridlock'd , spoon and stretch are unarmed against the demands placed on them before they can get into a rehab center . 	in falling down , michael douglas' d-fens ( the character's personalized license plate , echoed in gridlock'd by the drug lord d-reper's plates ) whips out a gun because he can't get breakfast at mcdonald's ; in gridlock'd , spoon and stretch are unarmed against the demands placed on them before they can get into a rehab center .	1	-2	 in[0] falling[0] down[0] michael[0] douglas'[0] d[0] fens[0] the[0] character's[0] personalized[0] license[0] plate[0] echoed[0] in[0] gridlock'd[0] by[0] the[0] drug[0] lord[0] d[0] reper's[0] plates[0] whips[0] out[0] a[0] gun[-1] because[0] he[0] can't[0] get[0] breakfast[0] at[0] mcdonald's[0] in[0] gridlock'd[0] spoon[0] and[0] stretch[0] are[0] unarmed[0] against[-1] the[0] demands[0] placed[0] on[0] them[0] before[0] they[0] can[0] get[0] into[0] a[0] rehab[0] center[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and where the unhinged d-fens became a heroic surrogate for audiences , writer/director vondie curtis hall refuses to let spoon and stretch off the hook for their own part in the situation . 	and where the unhinged d-fens became a heroic surrogate for audiences , writer/director vondie curtis hall refuses to let spoon and stretch off the hook for their own part in the situation .	3	-2	 and[0] where[0] the[0] unhinged[0] d[0] fens[0] became[0] a[0] heroic[2] surrogate[0] for[0] audiences[0] writer/director[0] vondie[0] curtis[0] hall[0] refuses[-1] to[0] let[0] spoon[0] and[0] stretch[0] off[0] the[0] hook[0] for[0] their[0] own[0] part[0] in[0] the[0] situation[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
